Pop	LfLgthH	LfWidthH	RosediamH	RoseareaH	CrowndiamH	MassH	Trt	Origin	Latitude	Longitude	PC1
1	BG001	23	4.94117647058824	47.1764705882353	0.168689310352941	22.3135294117647	52.1875	control	nat	43.3819444444444	28.4575	-1.19694766686088
2	BG001	21.5909090909091	4.27272727272727	42.6818181818182	0.131962634545455	18.7036363636364	28.15	drought	nat	43.3819444444444	28.4575	-2.10077126632107
3	CA001	28	6.16666666666667	54.3333333333333	0.225350266666667	19.35	41.6666666666667	drought	inv	49.0149388888889	-122.882097222222	-0.410067968236079
4	CA001	31.75	5.75	64	0.2803003375	22.15	52	control	inv	49.0149388888889	-122.882097222222	0.456853583886034
5	CA008	34	6	64	0.2814784	31.3	56	control	inv	49.0120833333333	-118.645711111111	1.10933064912708
6	CA009	28.7083333333333	6.25	58.25	0.254684023	26.9733333333333	92.1666666666667	control	inv	49.2961027777778	-118.473830555556	0.691492799031954
7	CA009	23.8333333333333	6	47.6666666666667	0.169981329333333	27.6166666666667	60	drought	inv	49.2961027777778	-118.473830555556	-0.565816311701979
8	CA010	29.5526315789474	7.5	60.9210526315789	0.284562030421053	30.0426315789474	74.2666666666667	control	inv	49.3201805555556	-118.370436111111	1.21931352688333
9	CA010	27.2272727272727	7.31818181818182	55.5454545454545	0.226673504636364	29.4563636363636	84.9090909090909	drought	inv	49.3201805555556	-118.370436111111	0.713264535695351
10	GR001	20.2222222222222	5.38888888888889	37.3333333333333	0.104238897	10.1588888888889	8.74444444444444	control	nat	40.1566666666667	22.5480555555556	-2.77360039097198
11	GR001	20.5	6.16666666666667	39.6666666666667	0.117884787666667	9.36333333333333	6.23333333333333	drought	nat	40.1566666666667	22.5480555555556	-2.50668694228777
12	GR002	21.9	5.3	42.7	0.1178298114	16.835	19.4666666666667	control	nat	40.6213888888889	23.0786111111111	-2.06164725365115
13	GR002	18.3	5.1	34.8	0.0876635576	11.436	10.05	drought	nat	40.6213888888889	23.0786111111111	-3.02421605881967
14	GR003	18.25	4.75	34.5	0.0812863125	7.885	5.7	control	nat	40.8508333333333	25.7930555555556	-3.34739083574554
15	HU001	32.4	7.9	64.5	0.3208335413	28.945	94.8888888888889	control	nat	47.6419444444444	18.7825	1.85733990855912
16	HU001	42.8	8.4	87.6	0.5339293402	37.52	150.5	drought	nat	47.6419444444444	18.7825	5.02547850786481
17	RO001	30.2857142857143	7.85714285714286	61.7142857142857	0.280165701857143	27.5714285714286	69.5166666666667	drought	nat	44.1102777777778	28.6369444444444	1.19543515927209
18	RO001	28.7333333333333	6.66666666666667	58.0666666666667	0.252786033466667	29.8373333333333	76.32	control	nat	44.1102777777778	28.6369444444444	0.772134806443249
19	RO005	26.8333333333333	6.08333333333333	52.6666666666667	0.201147627166667	25.405	52.6666666666667	control	nat	45.4978611111111	27.9118055555556	-0.261431843308159
20	RO005	26.3333333333333	5.16666666666667	48	0.168096429333333	32.8666666666667	82	drought	nat	45.4978611111111	27.9118055555556	-0.177106508526417
21	RU008	35.4	7.94	70.2	0.367084275	29.81	108	control	nat	43.06000278	44.05	2.55576917811943
22	RU008	24	5.33333333333333	46	0.16241555	14.4533333333333	26.0666666666667	drought	nat	43.06000278	44.05	-1.71127685943205
23	TR001	23.0416666666667	5	44.8333333333333	0.148661670333333	11.0141666666667	11.15	control	nat	41.7511111111111	27.2477777777778	-2.22543276388639
24	TR001	20.5	3.92857142857143	39.5714285714286	0.118703821571429	10.3557142857143	16.0714285714286	drought	nat	41.7511111111111	27.2477777777778	-2.89396215320113
25	UA004	57	5	87	0.587617575	38.4	242	control	nat	48.6460277777778	30.7750833333333	6.05130786392868
26	US001	30	6	59.3333333333333	0.2871200105	25.35	83.1666666666667	drought	inv	45.6152333333333	-120.787533333333	0.709614545067643
27	US001	29.6666666666667	6.33333333333333	64.5	0.311662979416667	33.8275	115.166666666667	control	inv	45.6152333333333	-120.787533333333	1.71333870587473
28	US002	34	6.94444444444444	66.4444444444444	0.324429686111111	24.9277777777778	76.2222222222222	control	inv	46.1822666666667	-118.82615	1.45134493265417
29	US002	29.6666666666667	4.66666666666667	56.6666666666667	0.232916046	26.3366666666667	58.3333333333333	drought	inv	46.1822666666667	-118.82615	-0.0846808454950632
30	US003	31.0833333333333	7.58333333333333	60.8333333333333	0.278101287666667	23.4416666666667	65.1666666666667	control	inv	46.60415	-116.64175	0.906765154103601
31	US003	23.875	6.5	49.25	0.17723950325	16.9025	35.1	drought	inv	46.60415	-116.64175	-1.08774818806595
