"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"1020763351" "1020763351" 34.21139 -117.07667 "inv" 1994 "US" 61 121 211 31 519 60 35 17 160 112 120 135 72 26 7087 260 -11 271 91 62
"1020816088" "1020816088" 41.7339669 -122.6578404 "inv" 1999 "US" 24 100 161 41 1035 153 30 51 449 110 110 406 86 39 4700 224 7 217 48 161
"1020831584" "1020831584" 34.21139 -117.07667 "inv" 1994 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43
"1020861541" "1020861541" 40.56688549 -122.6107213 "inv" 1972 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43
"1020861615" "1020861615" 41.94897027 -121.9325265 "inv" 1967 "US" 995 50 152 -54 358 39 17 25 112 58 112 95 109 31 7998 235 -110 345 152 6
"1021134661" "1021134661" 40.88676798 -123.9946583 "inv" 1999 "US" 1288 37 137 -60 577 67 38 19 181 117 147 166 104 31 7760 226 -106 332 -53 -10
"1021149568" "1021149568" 34.21167 -117.07667 "inv" 1999 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
"1021160047" "1021160047" 38.77343848 -120.1835393 "inv" 1998 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"1021364997" "1021364997" 38.35914671 -120.1981343 "inv" 2002 "US" 1308 39 141 -61 455 52 28 22 139 94 118 127 116 33 7893 236 -112 348 -54 -6
"1021517622" "1021517622" 40.07850263 -121.5847901 "inv" 2000 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"1021662257" "1021662257" 39.31202515 -120.5475551 "inv" 1998 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
"1021720776" "1021720776" 37.13717 -118.05363 "inv" 1988 "US" 599 73 178 -33 501 59 31 21 158 101 123 145 124 34 8165 277 -82 359 -25 130
"1021730545" "1021730545" 39.1324317 -120.1585435 "inv" 1999 "US" 995 50 152 -54 358 39 17 25 112 58 112 95 109 31 7998 235 -110 345 152 6
"1021741158" "1021741158" 39.95601005 -120.9560736 "inv" 2000 "US" 935 57 160 -45 561 67 34 21 180 114 136 166 115 33 8008 255 -93 348 -38 154
"1021763504" "1021763504" 38.54064888 -119.4565192 "inv" 2000 "US" 1918 4 100 -90 391 44 22 20 117 77 109 107 106 32 7466 186 -140 326 -83 -43
"1021824372" "1021824372" 34.21167 -117.07667 "inv" 1994 "US" 1 159 255 65 445 54 17 29 153 67 69 128 112 34 7388 336 10 326 121 250
"1021824609" "1021824609" 34.21167 -117.07667 "inv" 1999 "US" 492 131 224 39 490 58 24 25 159 81 92 140 100 32 7227 297 -8 305 55 220
"1021867975" "1021867975" 40.07850263 -121.5846901 "inv" 1997 "US" 106 142 231 58 579 88 13 44 234 66 66 218 95 32 6800 302 13 289 74 231
"1021947032" "1021947032" 34.21167 -117.07667 "inv" 1999 "US" 176 106 200 3 573 69 33 23 182 107 178 121 91 29 7700 267 -40 307 185 20
"1021948581" "1021948581" 34.2115 -117.07683 "inv" 1994 "US" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28
"1021986510" "1021986510" 34.21167 -117.07667 "inv" 1999 "US" 2 121 213 26 448 49 30 14 129 95 113 108 71 25 7361 261 -17 278 88 30
"1022124251" "1022124251" 34.2 -117.06667 "inv" 1999 "US" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23
"1022146473" "1022146473" 36.06859029 -121.2977315 "inv" 1999 "US" 7 111 213 6 387 47 22 22 125 78 122 88 70 23 8129 263 -34 297 195 12
"1022182581" "1022182581" 37.47389 -119.75944 "inv" 2008 "US" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6
"1022393412" "1022393412" 38.31154707 -120.2766356 "inv" 2001 "US" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117
"1022439776" "1022439776" 38.7770377 -120.2712415 "inv" 2000 "US" 13 71 235 -102 216 24 13 17 68 44 56 54 112 23 13277 320 -162 482 -4 -92
"1022454156" "1022454156" 38.51734129 -120.4728428 "inv" 2000 "US" 41 174 285 61 200 30 3 54 79 12 12 74 119 33 8804 356 1 355 71 285
"1022527660" "1022527660" 37.78965918 -120.1400258 "inv" 2002 "US" 141 9 158 -142 662 80 29 29 221 98 221 126 86 19 11565 233 -199 432 158 -61
"1022527694" "1022527694" 40.49257367 -124.0938545 "inv" 2002 "US" 12 71 235 -102 217 24 13 17 68 44 57 54 112 23 13289 320 -162 482 -4 -93
"1022527929" "1022527929" 37.78965918 -120.1400258 "inv" 2002 "US" 224 100 219 -21 508 77 23 40 202 74 196 76 101 28 9354 290 -68 358 200 -11
"1022554094" "1022554094" 38.68994112 -120.0598354 "inv" 2001 "US" 525 88 200 -25 567 88 20 46 238 72 221 73 102 29 8829 269 -75 344 181 -17
"1022589258" "1022589258" 37.47389 -119.74278 "inv" 2008 "US" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217
"1030499212" "1030499212" 43.6 -83.71667 "inv" 1979 "US" 6 144 225 65 726 120 23 48 308 83 83 235 75 30 6308 279 33 246 88 225
"1038569168" "1038569168" 49.83898 8.56779 "nat" 2008 "DE" 1764 62 157 -44 462 62 8 47 174 30 53 139 133 36 7827 264 -104 368 56 156
"1038571715" "1038571715" 43.91919 28.62956 "nat" 2014 "RO" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187
"1038960818" "1038960818" 41.9945 -72.6788 "inv" 1925 "US" 2031 59 169 -57 539 81 15 43 208 55 55 123 115 30 8850 262 -116 378 44 169
"1041319188" "1041319188" 40.648 -105.18806 "inv" 1983 "US" 263 79 203 -49 527 63 29 21 166 110 158 134 82 23 9920 262 -92 354 186 8
"1041319204" "1041319204" 39.74706 -105.18559 "inv" 1983 "US" 218 81 205 -46 523 62 29 20 163 109 156 133 81 22 9903 264 -89 353 188 11
"1041319651" "1041319651" 39.5478 -105.09638 "inv" 2000 "US" 96 81 193 -38 621 84 35 27 221 119 221 133 81 24 9054 251 -79 330 193 -28
"1041319658" "1041319658" 39.5478 -105.09638 "inv" 2000 "US" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82
"1041320145" "1041320145" 39.46236 -104.92622 "inv" 2012 "US" 87 90 214 -39 522 61 30 21 161 107 158 137 83 23 9942 275 -81 356 198 19
"1041320850" "1041320850" 39.31706 -104.63886 "inv" 2012 "US" 52 110 214 10 419 43 27 15 118 88 118 106 93 29 8001 283 -34 317 214 47
"1041321068" "1041321068" 39.4659 -104.91648 "inv" 2012 "US" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85
"1041346521" "1041346521" 39.49345 -105.09272 "inv" 1999 "US" 0 101 217 -13 428 51 25 21 138 85 133 96 89 26 9017 284 -57 341 197 -8
"1041352458" "1041352458" 39.5478 -105.09638 "inv" 1981 "US" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193
"1041353383" "1041353383" 39.5478 -105.09638 "inv" 1981 "US" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209
"1041354053" "1041354053" 39.5478 -105.09638 "inv" 1981 "US" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179
"1041356225" "1041356225" 39.36876 -104.86373 "inv" 1976 "US" 1313 109 217 8 139 18 7 25 48 26 32 32 180 43 8153 342 -74 416 144 211
"1041356244" "1041356244" 39.25406 -104.88854 "inv" 1973 "US" 470 96 201 -10 218 31 7 39 86 25 31 77 130 35 8233 304 -62 366 -5 196
"1041357140" "1041357140" 39.82732 -104.84098 "inv" 1986 "US" 2357 49 147 -41 464 62 15 41 172 55 170 55 172 44 7354 254 -130 384 124 -41
"1041359104" "1041359104" 39.71404 -104.80303 "inv" 1991 "US" 1679 98 209 -4 410 69 13 50 175 42 150 42 155 39 8346 308 -89 397 183 -4
"1041359484" "1041359484" 40.35681 -105.59448 "inv" 1991 "US" 432 109 206 18 449 58 12 39 171 50 57 154 128 37 7316 311 -32 343 23 201
"1041359776" "1041359776" 39.76994 -105.35325 "inv" 1995 "US" 362 102 195 12 300 51 6 58 145 27 29 131 136 40 7127 301 -39 340 17 191
"1041365556" "1041365556" 40.98352 -105.40019 "inv" 2000 "US" 1422 69 196 -55 348 65 9 60 165 31 131 31 155 35 9670 307 -134 441 166 -55
"1041369992" "1041369992" 39.75659 -104.85655 "inv" 2008 "US" 1892 54 174 -58 332 56 14 46 143 43 96 43 153 36 9014 283 -139 422 93 -58
"1041371584" "1041371584" 39.54385 -105.27328 "inv" 2004 "US" 1493 93 207 -17 354 62 8 56 157 27 128 27 162 39 8698 309 -106 415 183 -17
"1041371994" "1041371994" 39.47672 -104.92311 "inv" 1961 "US" 1517 91 205 -17 357 63 8 57 159 27 130 27 161 39 8632 307 -105 412 181 -17
"1041374251" "1041374251" 39.93158 -104.87229 "inv" 1976 "US" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22
"1041374873" "1041374873" 39.405 -104.9972 "inv" 1943 "US" 1321 83 185 -10 251 29 9 26 78 40 50 65 171 43 7581 313 -83 396 115 178
"1041738302" "1041738302" 59.19856 10.87356 "nat" 1905 "NO" 1591 44 156 -60 514 88 18 50 220 69 182 69 143 36 8440 257 -136 393 128 -60
"1041738328" "1041738328" 58.1286 8.05735 "nat" 1905 "NO" 241 162 253 78 1024 195 5 80 514 29 29 512 147 42 6979 364 19 345 83 253
"1042743326" "1042743326" 38.80778 -119.77778 "inv" 2008 "US" 1258 70 170 -27 285 34 11 32 99 39 46 97 160 41 7662 290 -92 382 -21 165
"1045038462" "1045038462" 49.9775 6.96028 "nat" 1997 "DE" 1558 86 203 -25 359 62 6 67 178 22 156 22 171 39 8842 313 -115 428 176 -25
"1046606659" "1046606659" 37.13717 -118.05363 "inv" 1988 "US" 339 104 214 -6 187 30 5 45 79 22 26 70 129 34 8516 312 -61 373 0 207
"125533543" "125533543" 39.27083 -103.70972 "inv" 2000 "US" 1720 45 148 -51 457 78 15 52 203 57 171 57 145 39 7778 249 -122 371 122 -51
"126128833" "126128833" 48.60556 -120.20111 "inv" 2004 "US" 188 119 217 25 226 34 5 45 94 24 28 85 131 38 7458 318 -23 341 30 211
"126128843" "126128843" 47.09847 -120.6983 "inv" 2006 "US" 1530 93 212 -20 390 70 7 69 195 24 182 24 170 39 8992 316 -111 427 185 -20
"126128853" "126128853" 47.44978 -120.58787 "inv" 2006 "US" 1591 127 233 25 245 46 7 54 113 27 90 47 184 44 8144 339 -70 409 227 164
"164347419" "164347419" 47.59833 -122.335 "inv" 2007 "US" 1056 58 156 -36 867 120 29 36 328 116 128 312 147 39 7466 276 -93 369 -28 151
"164347423" "164347423" 48.47667 -123.03167 "inv" 2007 "US" 1390 97 217 -18 345 62 7 61 162 25 136 25 170 38 9095 324 -112 436 191 -18
"164347440" "164347440" 48.06667 -123.06167 "inv" 2005 "US" 34 153 244 64 487 64 16 35 183 66 78 158 97 32 7046 313 19 294 80 240
"164347447" "164347447" 47.54833 -120.25333 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12
