Tagged	Row	Column	Trt	Pop	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date
US014-7	19	K	drought	BG001	4	nat	4/21/2011			4/30/2011
US014-8	10	D	control	BG001	4	nat	4/21/2011			4/30/2011
US014-9	18	F	control	RO001	25	nat	4/21/2011			4/30/2011
US015-1	12	T	drought	SERG	16	sk	4/15/2011		1 LF	4/29/2011
US015-2	13	C	control	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-3	10	H	control	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-4	14	U	control	SERG	16	sk	4/15/2011			4/29/2011
US015-5	16	T	drought	SERG	16	sk	4/15/2011		1 LF	4/29/2011
US015-6	8	F	control	CA009	27	inv	4/15/2011		2 LF	4/29/2011
US015-7	14	C	control	SERG	19	sk	4/15/2011		1 LF	4/29/2011
US015-8	12	C	drought	SERG	16	sk	4/15/2011		1 LF	4/29/2011
