Tagged	Row	Column	Trt	Pop	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date
EDGE-6	9	H	control	RO005	30	nat	4/21/2011			4/28/2011
EDGE-60	1	Q	edge	GR002	15	nat	4/21/2011			4/30/2011
EDGE-61	1	R	edge	GR002	12	nat	4/21/2011			4/30/2011
EDGE-62	1	S	edge	RO001	11	nat	4/21/2011			4/30/2011
EDGE-63	1	T	edge	RU001	4	nat	4/15/2011		1 LF	4/30/2011
EDGE-64	14	L	edge	GR001	19	nat	4/21/2011			4/30/2011
EDGE-65	20	B	edge	GR002	21	nat	4/21/2011			4/30/2011
EDGE-66	20	C	edge	US001	7	inv	4/15/2011		1 LF	4/30/2011
EDGE-67	20	D	edge	RU001	4	nat	4/15/2011		2 LF	4/30/2011
EDGE-68	5	I	drought	RO001	11	nat	4/15/2011			4/30/2011
EDGE-69	20	F	edge	GR002	15	nat	4/21/2011			4/30/2011
EDGE-7	5	A	edge	CA008	5	inv	4/15/2011		2 LF	4/28/2011
EDGE-70	9	L	control	GR001	15	nat	4/21/2011			4/30/2011
EDGE-71	20	H	edge	RO001	27	nat	4/21/2011			4/30/2011
EDGE-72	20	I	edge	TR001	17	nat	4/21/2011			4/30/2011
EDGE-73	20	J	edge	UA003	1A	nat	4/15/2011		2 LF	4/30/2011
EDGE-74	20	K	edge	GR002	12	nat	4/21/2011			4/30/2011
EDGE-75	20	L	edge	RO001	27	nat	4/21/2011			4/30/2011
EDGE-76	20	M	edge	RU001	3	nat	4/15/2011		1 LF	4/30/2011
EDGE-77	20	N	edge	TR001	25	nat	4/21/2011			4/30/2011
EDGE-78	20	O	edge	GR002	24	nat	4/21/2011			4/30/2011
EDGE-79	20	P	edge	TR001	18	nat	4/21/2011			4/30/2011
EDGE-8	6	A	edge	CA008	7	inv	4/15/2011		1 LF	4/28/2011
EDGE-80	20	Q	edge	US001	30	inv	4/15/2011			4/30/2011
EDGE-81	NA	NA	NA	CA009	30	inv	4/15/2011		1 LF	4/30/2011
EDGE-82	20	S	edge	TR001	18	nat	4/21/2011			4/30/2011
EDGE-83	3	N	control	CA009	72	inv	4/21/2011			4/30/2011
EDGE-84	20	U	edge	RO005	29	nat	4/21/2011			4/30/2011
EDGE-85	13	G	edge	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-86	13	Q	edge	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-87	17	N	edge	TR001	17	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-88	18	C	edge	TR001	17	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-89	14	S	edge	RO005	29	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-9	18	U	control	CA008	7	inv	4/15/2011		1 LF	4/28/2011
EDGE-90	NA	NA	NA	RO005	29	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-91	13	S	edge	RO001	27	nat	4/21/2011	NEW PLANT		5/3/2011
EDGE-92	14	K	EDGE	RO001	29	nat	4/21/2011	NEW PLANT		5/3/2011
GR001-1	9	Q	control	GR001	29	nat	4/15/2011		1 LF	4/28/2011
GR001-2	18	N	control	GR001	27	nat	4/15/2011			4/28/2011
GR001-3	2	K	control	GR001	2	nat	4/21/2011			4/28/2011
GR001-4	16	U	drought	GR001	19	nat	4/21/2011			4/28/2011
GR001-5	9	B	control	GR001	29	nat	4/15/2011		1 LF	4/28/2011
GR001-6	NA	NA	NA	GR001	27	nat	4/15/2011			4/28/2011
GR001-7	15	C	drought	GR001	2	nat	4/21/2011			4/28/2011
GR001-8	5	D	drought	GR001	15	nat	4/21/2011			4/28/2011
GR001-9	14	E	control	GR001	25	nat	4/15/2011		1 LF	4/28/2011
GR002-1	16	O	drought	GR002	24	nat	4/21/2011	NEW PLANT		5/3/2011
GR002-2	12	M	drought	GR002	21	nat	4/15/2011			4/27/2011
GR002-3	NA	NA	NA	GR002	11	nat	4/15/2011			4/27/2011
GR002-4	18	T	control	GR002	12	nat	4/15/2011		1 LF	4/27/2011
GR002-5	NA	NA	NA	GR002	11	nat	4/15/2011			4/27/2011
GR002-6	2	H	control	GR002	21	nat	4/15/2011			4/27/2011
GR002-7	3	Q	control	GR002	27	nat	4/15/2011			4/27/2011
GR002-8	17	U	control	GR002	27	nat	4/15/2011			4/27/2011
GR002-9	15	O	drought	GR002	27	nat	4/15/2011		1 LF	4/27/2011
GR003-1	4	I	control	GR003	28	nat	4/15/2011			4/27/2011
GR003-2	1	L	edge	GR003	22	nat	4/15/2011			4/27/2011
GR003-3	NA	NA	NA	GR003	27	nat	4/15/2011		1 LF	4/27/2011
GR003-4	1	A	edge	GR003	11	nat	4/15/2011			4/27/2011
GR003-5	17	D		GR003	30	nat	4/15/2011		1 LF	4/27/2011
GR003-6	NA	NA	NA	GR003	28	nat	4/15/2011		1 LF	4/27/2011
GR003-7	18	G	control	GR003	27	nat	4/15/2011		1 LF	4/27/2011
GR003-8	NA	NA	NA	GR003	11	nat	4/15/2011			4/27/2011
GR003-9	15	G	drought	SERG	24	sk	4/15/2011	NEW PLANT		5/3/2011
HU001-1	10	S	control	HU001	3	nat	4/15/2011			4/27/2011
HU001-2	14	R	control	HU001	4	nat	4/15/2011		1 LF	4/27/2011
HU001-3	12	R	drought	HU001	5	nat	4/15/2011			4/27/2011
HU001-4	3	C	control	HU001	6	nat	4/15/2011		1 LF	4/27/2011
HU001-5	2	D	control	HU001	1	nat	4/15/2011		1 LF	4/27/2011
HU001-6	9	R	control	HU001	1	nat	4/15/2011		1 LF	4/27/2011
HU001-7	12	G	drought	HU001	3	nat	4/15/2011		1 LF	4/27/2011
HU001-8	NA	NA	NA	HU001	2	nat	4/15/2011		1 LF	4/27/2011
HU001-9	9	E	control	HU001	2	nat	4/15/2011		1 LF	4/27/2011
RO001-1	16	C	drought	RO001	11	nat	4/15/2011			4/27/2011
RO001-2	19	S	drought	RO001	11	nat	4/15/2011			4/27/2011
RO001-3	17	H	control	RO001	29	nat	4/15/2011			4/27/2011
RO001-4	16	L	drought	RO001	27	nat	4/15/2011			4/27/2011
RO001-5	3	S	control	RO001	10	nat	4/15/2011		1 LF	4/27/2011
RO001-6	17	F	control	RO001	27	nat	4/15/2011			4/27/2011
RO001-7	17	G	control	RO001	14	nat	4/15/2011		1 LF	4/27/2011
RO001-8	14	B	control	RO001	29	nat	4/15/2011		1 LF	4/27/2011
RO001-9	2	J	control	RO001	10	nat	4/15/2011		1 LF	4/27/2011
RO002-1	3	B	control	RO001	25	nat	4/21/2011			4/30/2011
RO002-2	6	P	control	BG001	5	nat	4/21/2011			4/30/2011
RO002-3	4	O	control	BG001	5	nat	4/21/2011			4/30/2011
RO002-4	NA	NA	NA	RO001	25	nat	4/21/2011			4/30/2011
RO002-5	17	S	control	CA009	10	inv	4/15/2011			4/30/2011
RO002-6	19	H	drought	CA009	72	inv	4/21/2011			4/30/2011
RO002-7	15	K	drought	RO001	25	nat	4/21/2011			4/30/2011
RO002-8	3	H	control	RO001	25	nat	4/21/2011			4/30/2011
RO002-9	NA	NA	NA	SAND	258	sk	4/15/2011		1 LF	4/30/2011
RO003-1	14	G	control	BG001	5	nat	4/21/2011			4/30/2011
RO003-2	12	B	drought	BG001	5	nat	4/21/2011			4/30/2011
RO003-3	NA	NA	NA	CA009	10	inv	4/15/2011			4/30/2011
RO003-4	NA	NA	NA	SAND	234	sk	4/15/2011			4/30/2011
RO003-5	10	K	control	BG001	5	nat	4/21/2011			4/30/2011
RO003-6	2	P	control	BG001	5	nat	4/21/2011			4/30/2011
RO003-7	NA	NA	NA	CA009	27	inv	4/15/2011		1 LF	4/30/2011
RO003-8	16	E	drought	SAND	257	sk	4/15/2011		1 LF	4/30/2011
RO003-9	3	K	control	BG001	5	nat	4/21/2011			4/30/2011
RO004-1	15	V	edge	RO004	8	nat	4/15/2011		1 LF	4/29/2011
RO004-2	NA	NA	NA	RO004	15	nat	4/15/2011			4/29/2011
RO004-3	20	R	edge	RO004	9	nat	4/21/2011			4/29/2011
RO004-4	NA	NA	NA	RO004	16	nat	4/15/2011			4/29/2011
RO004-5	15	A	edge	RO004	7	nat	4/21/2011			4/29/2011
RO004-6	NA	NA	NA	RO004	15	nat	4/15/2011			4/29/2011
RO004-7	20	A	edge	RO004	9	nat	4/15/2011		1 LF	4/29/2011
RO004-8	NA	NA	NA	RO004	16	nat	4/15/2011		1 LF	4/29/2011
RO004-9	20	G	edge	RO004	9	nat	4/21/2011			4/29/2011
RO005-1	18	I	control	RO005	18	nat	4/15/2011		1 LF	4/28/2011
RO005-2	13	P	control	RO005	29	nat	4/15/2011		1 LF	4/28/2011
RO005-3	19	D	drought	RO005	21	nat	4/15/2011		1 LF	4/28/2011
RO005-4	NA	NA	NA	RO005	29	nat	4/15/2011		1 LF	4/28/2011
RO005-5	17	R	control	RO005	18	nat	4/15/2011		1 LF	4/28/2011
RO005-6	NA	NA	NA	RO005	21	nat	4/15/2011		1 LF	4/28/2011
RO005-7	4	N	control	RO005	20	nat	4/21/2011			4/28/2011
RO005-8	14	H	control	SERG	24	sk	4/15/2011	NEW PLANT		5/3/2011
RO005-9	NA	NA	NA	RO005	24	nat	4/15/2011		1 LF	4/28/2011
RU001-1	9	U	control	BG001	2	nat	4/15/2011			4/30/2011
RU001-2	16	I	drought	BG001	5	nat	4/15/2011			4/30/2011
RU001-3	10	P	control	BG001	5	nat	4/15/2011		1 LF	4/30/2011
RU001-4	12	D	drought	HU001	1	nat	4/15/2011		2 LF	4/30/2011
RU001-5	2	E	control	CA010	1	inv	4/21/2011			4/30/2011
RU001-6	16	Q	drought	BG001	2	nat	4/15/2011			4/30/2011
RU001-7	3	M	control	HU001	4	nat	4/15/2011		2 LF	4/30/2011
RU001-8	13	D	control	HU001	4	nat	4/15/2011		2 LF	4/30/2011
RU001-9	18	L	control	CA010	1	inv	4/21/2011			4/30/2011
RU008-1	15	B	drought	RU008	7	nat	4/15/2011		2 LF	4/27/2011
RU008-2	12	H	drought	RU008	3	nat	4/15/2011		1 LF	4/27/2011
RU008-3	14	O	control	US001	4	inv	4/15/2011	NEW PLANT		5/3/2011
RU008-4	2	O	control	RU008	1	nat	4/15/2011		1 LF	4/27/2011
RU008-5	9	P	control	RU008	7	nat	4/15/2011		1 LF	4/27/2011
RU008-6	13	L	control	RU008	3	nat	4/15/2011		1 LF	4/27/2011
RU008-7	2	S	control	RU008	1	nat	4/15/2011			4/27/2011
