CrossID	Rack	Pos	Barcode	Origin	Exp	Trt	Pop	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCountH	LfLgthH	LfWdthH	BoltedatH	FlrHeadCount	CrownDiam.mm	ShootMass.g	LfCount2	LfLgth2	LfWdth2	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	DeathDay	WiltDay	TotWiltDay	m.date1	m.date2	m.dateH	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	sla	sla.log	Mass.log	Crown.log
17	BG001-18	14	29	BG001-18-7	nat	ass map	control	BG001	18	7	17	9.6	4.1	22	20.7	4.9	y	NA	1	3.234	21	18.5	3.7	NA		0.119	NA	79	84	84	NA	NA	NA	0	22	78	16A	16	A	25N	25	N	1	NA	NA	1.17371976115492	0
18	BG001-2	12	21	BG001-2-1	nat	ass map	control	BG001	2	1	21	11.7	4.2	7	19.6	4.7	y	41	0.8	2.898	15	12.7	3.9	NA		0.063	13.645	63	84	51	NA	NA	NA	0	22	78	29M	29	M	25N	25	N	1	216.587301587302	5.37799370675091	1.06402084389849	-0.22314355131421
19	BG001-3	7	1	BG001-3-2	nat	mat fx	control	BG001	3	2	11	13.5	4.4	0	NA	0	y	13	0.7	2.726	15	13.4	4.4	NA		0.075	11.876	83	86	65	NA	NA	NA	0	22	78	16N	16	N	25L	25	L	1	158.346666666667	5.06478672234734	1.00283533327434	-0.356674943938732
20	BG001-4	17	31	BG001-4-1	nat	ass map	control	BG001	4	1	17	10.2	2.2	4	14.7	4	y	12	0.8	2.209	14	12	4.1	NA		0.059	19.48	63	85	62	NA	NA	NA	0	22	78	22N	22	N	25N	25	N	1	330.169491525424	5.79960613329081	0.79253992443798	-0.22314355131421
21	BG001-5	13	5	BG001-5-4	nat	ass map	control	BG001	5	4	11	9.6	3	8	25.5	5.6	n	NA	0.4	1.232	13	11.9	3.2	NA		0.078	24.535	80	86	NA	NA	NA	NA	0	22	78	22N	22	N	29M	29	M	0	314.551282051282	5.75114712183441	0.208638865111328	-0.916290731874155
22	BG001-5	9	18	BG001-5-5	nat	mat fx	drought	BG001	5	5	14	11.8	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	5	7	0	22	78	22N	22	N	29M	29	M	NA	NA	NA	NA	NA
23	BG001-5	18	3	BG001-5-2	nat	ass map	control	BG001	5	2	16	10.6	3.2	12	23.9	5.1	y	18	0.85	4.266	19	13.7	4.5	NA		0.083	16.693	83	85	65	NA	NA	NA	0	22	78	22N	22	N	29M	29	M	1	201.120481927711	5.30390414105879	1.45067662004916	-0.162518929497775
24	BG001-5	9	36	BG001-5-6	nat	mat fx	drought	BG001	5	6	14	10.6	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	5	0	22	78	22N	22	N	29M	29	M	NA	NA	NA	NA	NA
25	BG001-6	19	12	BG001-6-3	nat	ass map	control	BG001	6	3	15	15	3.6	17	23.8	5.3	n	NA	1.2	2.824	14	20.4	2.6	NA		0.126	21.565	79	86	NA	NA	NA	NA	0	22	78	22O	22	O	25L	25	L	0	171.150793650794	5.14254500213047	1.038154319631	0.182321556793955
26	BG001-6	15	48	BG001-6-5	nat	array	control	BG001	6	5	15	16.5	2.3	0	0	0	y	66	0.6	3.899	19	16.4	2.6	NA		NA	NA	83	NA	NA	NA	NA	NA	0	22	78	22O	22	O	25L	25	L	1	NA	NA	1.36072011000046	-0.510825623765991
27	BG001-6	13	8	BG001-6-1	nat	ass map	control	BG001	6	1	14	13.2	3.7	3	19.5	1	y	15	0.7	2.338	19	15.2	2.2	NA		0.041	7.298	80	86	65	NA	NA	NA	0	22	78	22O	22	O	25L	25	L	1	178	5.18178355029209	0.849295863049877	-0.356674943938732
28	BG001-8	22	18	BG001-8-2	nat	ass map	control	BG001	8	2	9	16.2	4.9	0	0	0	y	395	0.75	6.393	0	0	0	65	purple	NA	NA	NA	86	-3	NA	NA	NA	0	22	78	25L	25	L	16N	16	N	1	NA	NA	1.85520364178459	-0.287682072451781
29	BG001-8	6	29	BG001-8-1	nat	mat fx	control	BG001	8	1	15	16.2	4.2	0	0	0	y	194	0.95	6.468	32	25.7	4.5	84	light purple	NA	30.457	84	84	45	NA	NA	NA	0	22	78	25L	25	L	16N	16	N	1	NA	NA	1.86686694171486	-0.0512932943875506
30	BG001-8	14	34	BG001-8-4	nat	ass map	control	BG001	8	4	14	18.4	4.8	1	21.9	4.5	y	53	0.7	2.937	15	18	4.6	NA		0.193	9.545	79	84	51	NA	NA	NA	0	22	78	25L	25	L	16N	16	N	1	49.4559585492228	3.90108254725496	1.07738865221648	-0.356674943938732
31	BG001-9	16	1	BG001-9-10	nat	ass map	control	BG001	9	10	16	15.1	4.3	0	0	0	y	95	0.6	3.474	6	13.1	4	45	pale purple	NA	NA	NA	80	38	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	1	NA	NA	1.24530666781891	-0.510825623765991
32	BG001-9	9	23	BG001-9-1	nat	mat fx	drought	BG001	9	1	11	20.9	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2	5	0	22	78	25L	25	L	22N	22	N	NA	NA	NA	NA	NA
33	BG001-9	23	5	BG001-9-12	nat	ass map	control	BG001	9	12	11	16.8	3.8	6	24	5.2	y	16	0.8	2.515	14	22.4	7	NA		0.087	24.436	84	85	65	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	1	280.873563218391	5.63790461511507	0.922272803551703	-0.22314355131421
34	BG001-9	19	31	BG001-9-9	nat	ass map	control	BG001	9	9	10	11	3	0	0	0	y	62	0.55	2.248	7	15	3.6	86	light purple	NA	NA	79	86	51	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	1	NA	NA	0.810040932031445	-0.59783700075562
35	BG001-9	13	16	BG001-9-8	nat	ass map	control	BG001	9	8	16	12.6	4.4	3	20.5	2.5	y	49	0.5	3.536	17	19.4	3.8	NA		NA	NA	80	86	65	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	1	NA	NA	1.2629961447754	-0.693147180559945
36	BG001-9	22	8	BG001-9-7	nat	ass map	control	BG001	9	7	14	17.5	4.1	17	23.1	5.5	n	NA	0.9	2.828	20	20.8	4.7	NA		0.133	NA	80	86	NA	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	0	NA	NA	1.03956974803433	-0.105360515657826
37	BG001-9	21	47	BG001-9-6	nat	ass map	control	BG001	9	6	14	17.2	4.7	0	0	0	y	220	0.5	4.187	3	14.1	3.1	45	light purple	NA	NA	NA	86	13	NA	NA	NA	0	22	78	25L	25	L	22N	22	N	1	NA	NA	1.43198448703701	-0.693147180559945
38	BG3-1	17	9	BG3-1-4	sk	ass map	control	BG3	1	4	14	16.5	3.7	5	21.5	4.3	y	18	0.75	4.397	12	16.4	2.1	NA		0.147	21.222	63	85	45	NA	NA	NA	0	22	78	1	1	NA	NA	NA	NA	1	144.367346938776	4.9723610716548	1.48092249019867	-0.287682072451781
39	BG3-1	17	30	BG3-1-2	sk	ass map	control	BG3	1	2	9	17.5	4.6	14	25.5	5.3	n	NA	0.8	3.968	8	20	3.8	NA		0.338	42.449	63	85	NA	NA	NA	NA	0	22	78	1	1	NA	NA	NA	NA	0	125.58875739645	4.83301273885297	1.37826218942263	-0.22314355131421
40	BG3-1	18	30	BG3-1-3	sk	ass map	control	BG3	1	3	11	3.6	4	12	20.1	5.7	n	NA	0.8	4.161	15	15	5.5	NA		0.252	37.406	83	85	NA	NA	NA	NA	0	22	78	1	1	NA	NA	NA	NA	0	148.436507936508	5.00015731083152	1.4257554300008	-0.22314355131421
41	BG3-1	22	36	BG3-1-1	sk	ass map	control	BG3	1	1	10	11.6	4.3	12	23.1	6.7	n	NA	0.9	4.448	12	18.1	5.6	NA		0.336	65.972	80	86	NA	NA	NA	NA	0	22	78	1	1	NA	NA	NA	NA	0	196.345238095238	5.27987452860484	1.49245455694828	-0.105360515657826
42	BG3-2	13	38	BG3-2-1	sk	ass map	control	BG3	2	1	9	14.2	4.3	7	25.7	7.3	n	NA	0.8	3.774	11	19.2	6.5	NA		0.384	60.717	80	86	NA	NA	NA	NA	0	22	78	2	2	NA	NA	NA	NA	0	158.1171875	5.06333645114659	1.32813544694636	-0.22314355131421
43	BG3-2	15	8	BG3-2-2	sk	ass map	control	BG3	2	2	7	20.2	6.1	10	27.4	6.5	n	NA	0.8	4.268	9	19.7	5.8	NA		0.377	53.937	83	86	NA	NA	NA	NA	0	22	78	2	2	NA	NA	NA	NA	0	143.068965517241	4.96332679034639	1.45114533343951	-0.22314355131421
44	BG3-3	14	32	BG3-3-1	sk	ass map	control	BG3	3	1	9	10.4	3.6	12	25.4	6.2	n	NA	0.7	3.264	9	21.9	6.6	NA		0.16	33.269	79	84	NA	NA	NA	NA	0	22	78	3	3	NA	NA	NA	NA	0	207.93125	5.33720749621847	1.18295343710186	-0.356674943938732
45	CA001-1	21	30	CA001-1-2	inv	ass map	control	CA001	1	2	13	18.5	5.2	22	26.3	3.1	n	NA	0.8	4.098	15	22.9	5.3	NA		0.167	10.44	79	86	NA	NA	NA	NA	0	22	78	4L	4	L	3N	3	N	0	62.5149700598802	4.13540604901987	1.41049904981671	-0.22314355131421
46	CA001-1	23	14	CA001-1-3	inv	ass map	control	CA001	1	3	10	23	4.5	16	28.6	6.4	n	NA	0.8	4.77	9	29.3	6.2	NA		NA	NA	NA	85	NA	NA	NA	NA	0	22	78	4L	4	L	3N	3	N	0	NA	NA	1.56234630490025	-0.22314355131421
47	CA001-1	13	30	CA001-1-1	inv	ass map	control	CA001	1	1	13	19.6	3.6	10	29.1	3.5	n	NA	0.85	3.105	14	24.8	4.4	NA		0.132	NA	80	86	NA	NA	NA	NA	0	22	78	4L	4	L	3N	3	N	0	NA	NA	1.13301371538544	-0.162518929497775
48	CA001-10	14	15	CA001-10-2	inv	ass map	control	CA001	10	2	11	18.6	4.3	21	24.1	4.5	y	NA	1	3.968	11	16.6	5.9	NA		0.134	17.837	79	84	84	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	1	133.111940298507	4.89119043060739	1.37826218942263	0
49	CA001-10	13	3	CA001-10-1	inv	ass map	control	CA001	10	1	6	17.7	2.9	8	24.1	4.7	n	NA	0.3	1.367	7	18.3	4.7	NA		0.095	30.866	80	86	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	324.905263157895	5.78353364186024	0.312618557741813	-1.20397280432594
50	CA001-10	23	40	CA001-10-3	inv	ass map	control	CA001	10	3	7	23.5	5.5	11	18.2	4.1	n	0	0.9	2.677	8	23.3	6.1	NA		0.217	29.486	84	85	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	135.880184331797	4.91177349986931	0.984696764538215	-0.105360515657826
51	CA001-10	21	14	CA001-10-5	inv	ass map	control	CA001	10	5	8	20.2	3.9	14	27	4.6	n	NA	0.4	2.807	10	23.1	4.7	NA		0.223	31.916	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	143.121076233184	4.96369095896805	1.03211629737975	-0.916290731874155
52	CA001-10	16	21	CA001-10-7	inv	ass map	control	CA001	10	7	14	15.6	3	19	26.4	6.5	n	0	1	3.408	10	20.9	4.5	NA		0.148	24.594	78	80	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	166.175675675676	5.11304551596828	1.22612560896707	0
53	CA001-10	17	3	CA001-10-6	inv	ass map	control	CA001	10	6	9	161	4.2	17	22.8	5.1	n	NA	0.8	3.469	13	23.9	3.5	NA		0.312	30.633	63	85	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	98.1826923076923	4.58682995041416	1.24386636798761	-0.22314355131421
54	CA001-10	13	48	CA001-10-4	inv	array	control	CA001	10	4	9	15	3.6	21	28.1	5.6	n	NA	1.1	4.472	16	22	4.7	NA		0.158	NA	80	NA	NA	NA	NA	NA	0	22	78	3N	3	N	7L	7	L	0	NA	NA	1.4978357358528	0.0953101798043249
55	CA001-11	15	45	CA001-11-6	inv	ass map	control	CA001	11	6	12	13.2	3.8	18	24.4	4.1	n	NA	0.8	2.668	14	16.4	3.2	NA		0.253	NA	83	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	NA	NA	0.981329128053377	-0.22314355131421
56	CA001-11	21	43	CA001-11-3	inv	ass map	control	CA001	11	3	11	15.1	3.6	15	27	3.5	n	NA	0.8	3.475	12	16.7	3.9	NA		0.135	26.005	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	192.62962962963	5.26076932776874	1.24559447901676	-0.22314355131421
57	CA001-11	20	14	CA001-11-7	inv	ass map	control	CA001	11	7	9	14.3	4.2	26	23.7	4.4	n	NA	1	4.537	18	24.7	5	NA		0.275	43.432	80	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	157.934545454545	5.06218067791872	1.51226600068183	0
58	CA001-11	23	21	CA001-11-4	inv	ass map	control	CA001	11	4	13	15.2	4.7	22	23.1	5.2	n	NA	0.8	3.78	NA	NA	NA	NA		0.134	NA	84	85	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	NA	NA	1.3297240096315	-0.22314355131421
59	CA001-11	15	43	CA001-11-11	inv	ass map	control	CA001	11	11	16	16.4	3.5	31	22	3.6	n	NA	0.7	3.811	15	17.5	4.8	NA		0.128	23.001	83	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	179.6953125	5.19126270830739	1.33789162189172	-0.356674943938732
60	CA001-11	15	10	CA001-11-9	inv	ass map	control	CA001	11	9	12	16.5	3.6	34	18.6	4.1	n	NA	0.7	3.785	13	15.8	3.8	NA		0.099	17.137	83	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	173.10101010101	5.15387529752626	1.33104588688941	-0.356674943938732
61	CA001-11	19	14	CA001-11-2	inv	ass map	control	CA001	11	2	12	15	4	16	29.2	6.8	n	NA	1	3.957	14	25.2	5.4	NA		0.248	NA	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	NA	NA	1.37548616240329	0
62	CA001-11	21	45	CA001-11-8	inv	ass map	control	CA001	11	8	10	14.1	4.5	13	23.5	2.5	n	NA	0.8	2.623	17	19.2	4.1	NA		0.119	19.98	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	167.899159663866	5.12336355909102	0.964318700884737	-0.22314355131421
63	CA001-11	17	32	CA001-11-5	inv	ass map	control	CA001	11	5	11	14.5	3.5	22	22.5	4.8	n	NA	0.85	4.092	11	27.6	4.7	NA		0.135	10.479	63	85	NA	NA	NA	NA	0	22	78	3N	3	N	2M	2	M	0	77.6222222222222	4.35185375503651	1.40903384808938	-0.162518929497775
64	CA001-12	21	27	CA001-12-3	inv	ass map	control	CA001	12	3	11	15.6	3.9	17	31	5.2	n	NA	0.6	4.398	20	24.6	4.6	NA		0.161	NA	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	NA	NA	1.48114989213257	-0.510825623765991
65	CA001-12	12	30	CA001-12-8	inv	ass map	control	CA001	12	8	14	14.1	3.2	19	23.7	4.3	n	NA	0.9	3.68	14	24.4	3.8	NA		0.161	24.992	63	84	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	155.229813664596	5.04490668765495	1.30291275218084	-0.105360515657826
66	CA001-12	21	11	CA001-12-15	inv	ass map	control	CA001	12	15	9	17.9	4.1	16	29	4.8	n	NA	0.6	2.658	8	23.5	4.1	NA		0.201	32.022	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	159.313432835821	5.07087353750292	0.977573960291054	-0.510825623765991
67	CA001-12	18	14	CA001-12-5	inv	ass map	control	CA001	12	5	10	16	3.7	14	26	5.8	n	NA	0.8	4.165	14	21.7	4.2	NA		0.278	33.499	83	85	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	120.5	4.79164975293071	1.42671627561881	-0.22314355131421
68	CA001-12	23	35	CA001-12-17	inv	ass map	control	CA001	12	17	12	17.4	3.9	11	24.6	4.6	n	NA	0.75	3.002	16	22.2	4.8	NA		0.155	26.702	84	85	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	172.270967741935	5.14906863103079	1.09927873321127	-0.287682072451781
69	CA001-12	22	31	CA001-12-11	inv	ass map	control	CA001	12	11	11	15.9	3.3	15	27.9	5.2	n	NA	1	4.233	9	21.4	4.6	NA		0.163	22.643	80	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	138.914110429448	4.93385583156576	1.44291096153879	0
70	CA001-12	13	9	CA001-12-12	inv	ass map	control	CA001	12	12	12	19	3.2	5	24	3.1	y	11	0.9	2.685	19	22	4.2	NA		0.083	17.152	80	86	73	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	1	206.650602409639	5.33102945607393	0.987680727960828	-0.105360515657826
71	CA001-12	19	49	CA001-12-16	inv	ass map	control	CA001	12	16	11	20.6	3.2	14	24	3.6	n	NA	0.75	3.181	9	19.1	3.3	NA		0.185	22.755	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	123	4.81218435537242	1.15719561276701	-0.287682072451781
