Row	Column	tagged	Trt	Wilt	TotWilt	Yellow	Ending	Death.date	BoltedatH	comments	Harvest.date	Bolt.date
91	5	E	UA008-6	drought	39	NA	53	H	NA	no		117	NA
92	5	F	CORY1-6	drought	35	NA	42	H	NA	Yes		53	50
93	5	G	UA003-1	drought	NA	NA	NA	H	NA	Yes		42	42
94	5	H	US003-9	drought	NA	NA	NA	DEAD	29			NA	NA
95	5	I	EDGE-68	drought	NA	NA	NA	DEAD	29			NA	NA
96	5	J	UA003-5	drought	42	71	50	H	NA	no		117	NA
97	5	K	US001-2	drought	39	71	50	H	NA	no		117	NA
98	5	L	US023-9	drought	50	71	39	H	NA	no		117	NA
99	5	M	TR001-7	drought	35	74	50	H	NA	no		117	NA
100	5	N	UA003-7	drought	35	78	50	H	NA	No		117	NA
101	5	O	EDGE-2	drought	39	78	50	H	NA	No		117	NA
102	5	P	TR004-4	drought	35	74	50	H	NA	No		117	NA
103	5	Q	US023-7	drought	35	NA	NA	H	NA	Yes		42	42
104	5	R	CA008-4	drought	35	NA	50	H	NA	No		117	NA
105	5	S	US017-4	drought	35	NA	50	H	NA	No		117	NA
106	5	T	CA001-1	drought	NA	NA	NA	DEAD	29			NA	NA
107	5	U	US019-3	drought	NA	NA	NA	DEAD	29			NA	NA
108	5	V	EDGE-28	edge	NA	NA	NA	H	NA	Yes		46	46
109	6	A	EDGE-8	edge	71	NA	74	edge	NA			NA	NA
110	6	B	CA010-8	control	53	NA	50	H	NA	Yes	REPOUSSE	57	57
111	6	C	US001-4	control	39	74	42	H	NA	No		117	NA
112	6	D	TR004-8	control	NA	NA	NA	DEAD	29			NA	NA
113	6	E	CA001-9	control	42	NA	42	H	NA	Yes		57	53
114	6	F	UA006-5	control	NA	NA	NA	DEAD	29			NA	NA
115	6	G	UA006-2	control	NA	NA	NA	DEAD	29			NA	NA
116	6	H	UA007-7	control	50	NA	50	H	NA	Yes	REPOUSSE	50	50
117	6	I	RU008-8	control	50	NA	39	H	NA	No		117	NA
118	6	J	US017-7	control	39	NA	42	H	NA	No		117	NA
119	6	K	CA009-6	control	NA	NA	42	H	NA	Yes		42	42
120	6	L	EDGE-16	control	NA	NA	NA	DEAD	18			NA	NA
121	6	M	TR004-5	control	53	NA	71	H	NA	No		117	NA
122	6	N	UA004-4	control	NA	NA	NA	DEAD	29			NA	NA
123	6	O	TR003-2	control	53	NA	53	H	NA	No		117	NA
124	6	P	RO002-2	control	NA	NA	NA	DEAD	29			NA	NA
125	6	Q	UA008-9	control	NA	NA	NA	DEAD	29			NA	NA
126	6	R	UA007-5	control	53	NA	39	H	NA	No		117	NA
127	6	S	US018-7	control	53	78	53	H	NA	No		117	NA
128	6	T	CA010-4	control	42	NA	53	H	NA	No		117	NA
129	6	U	TR003-5	control	53	74	42	H	NA	No		117	NA
130	6	V	EDGE-29	edge	NA	NA	NA	H	NA	Yes	REPOUSSE	46	46
131	8	A	EDGE-21	edge	NA	NA	NA	H	NA	Yes		42	42
132	8	B	US001-5	control	NA	NA	NA	H	NA	Yes		42	42
133	8	C	CA001-2	control	39	NA	50	H	NA	Yes	REPOUSSE	50	50
134	8	D	US003-6	control	39	NA	NA	H	NA	Yes		42	39
135	8	E	US023-6	control	71	78	NA	H	NA	No		117	NA
136	8	F	US015-6	control	50	NA	50	H	NA	No		117	NA
137	8	G	TR001-3	control	39	NA	NA	H	NA	Yes		42	39
138	8	H	US001-3	control	50	74	50	H	NA	No		117	NA
139	8	I	CA009-1	control	50	NA	50	H	NA	Yes		61	61
140	8	J	US020-2	control	NA	NA	42	H	NA	Yes		42	39
141	8	K	UA006-3	control	50	NA	50	H	NA	Yes	REPOUSSE	61	46
142	8	L	US003-7	control	NA	NA	NA	DEAD	29			NA	NA
143	8	M	US002-2	control	50	NA	53	H	NA	Yes		60	57
144	8	N	US019-5	control	39	74	53	H	NA	No		117	NA
145	8	O	UA006-6	control	50	NA	50	H	NA	Yes		72	71
146	8	P	UA003-3	control	35	NA	50	H	NA	No		117	NA
147	8	Q	CA008-7	control	NA	NA	39	H	NA	Yes		42	42
148	8	R	US003-8	control	50	NA	50	H	NA	No		117	NA
149	8	S	US019-6	control	39	NA	50	H	NA	No	ETIQ INVERSEE AVEC 8T	117	NA
150	8	T	UA003-8	control	NA	NA	NA	DEAD	29		ETIQ INVERSEE AVEC 8S	NA	NA
151	8	U	UA008-1	control	NA	NA	NA	H	NA	Yes		42	42
152	8	V	EDGE-31	edge	NA	NA	NA	H	NA	Yes		42	42
153	9	A	EDGE-11	edge	71	71	71	edge	NA			NA	NA
154	9	B	GR001-5	control	NA	NA	NA	DEAD	29			NA	NA
155	9	C	US023-2	control	39	57	42	H	NA	No		117	NA
156	9	D	TR001-1	control	NA	NA	NA	DEAD	29			NA	NA
157	9	E	HU001-9	control	NA	NA	NA	H	NA	Yes		61	57
158	9	F	CA010-1	control	39	74	39	H	NA	No		117	NA
159	9	G	US014-3	control	50	NA	42	H	NA	No		117	NA
160	9	H	EDGE-6	control	35	NA	50	H	NA	Yes		53	53
161	9	I	CA009-4	control	50	NA	50	H	NA	No		117	NA
162	9	J	UA003-9	control	NA	NA	46	H	NA	Yes	REPOUSSE	46	46
163	9	K	US013-5	control	50	NA	50	H	NA	No		117	NA
164	9	L	EDGE-70	control	NA	NA	NA	H	NA	Yes		42	39
165	9	M	CA010-5	control	39	NA	42	H	NA	No		117	NA
166	9	N	US026-8	control	NA	NA	NA	H	NA	Yes	REPOUSSE / FLO / arrachée 16/08	42	35
167	9	O	US001-1	control	50	NA	42	H	NA	No		117	NA
168	9	P	RU008-5	control	35	NA	NA	H	NA	Yes		50	50
169	9	Q	GR001-1	control	57	NA	NA	H	NA	Yes		71	71
170	9	R	HU001-6	control	39	NA	50	H	NA	No		117	NA
171	9	S	UA007-9	control	50	74	50	H	NA	No		117	NA
172	9	T	CORY2-1	control	NA	NA	NA	DEAD	29			NA	NA
173	9	U	RU001-1	control	39	74	53	H	NA	No		117	NA
174	9	V	EDGE-32	edge	71	NA	NA	H	NA	Yes		71	71
175	10	A	EDGE-12	edge	57	78	78	edge	NA			NA	NA
176	10	B	US022-7	control	50	NA	NA	H	NA	Yes		50	50
