Row	Column	tagged	Trt	Image	lfArea	lfMass
8	N	US019-5	control	montSLA-1-12-1.jpg	16.025	0.113
8	O	UA006-6	control	montSLA-1-12-1.jpg	14.123	0.095
8	P	UA003-3	control	montSLA-1-12-1.jpg	29.859	0.262
8	Q	CA008-7	control	montSLA-1-12.jpg	35.59	0.280
8	R	US003-8	control	montSLA-1-12.jpg	20.83	0.157
8	S	US019-6	control	montSLA-1-12.jpg	29.497	0.240
8	U	UA008-1	control	montSLA-1-11-3.jpg	20.814	0.165
9	C	US023-2	control	montSLA-1-13-14.jpg	11.511	0.103
9	E	HU001-9	control	montSLA-1-13-14.jpg	1.316	0.012
9	F	CA010-1	control	montSLA-1-13-14.jpg	19.965	0.168
9	G	US014-3	control	montSLA-1-13-13.jpg	6.634	0.054
9	H	EDGE-6	control	montSLA-1-13-13.jpg	19.645	0.182
9	I	CA009-4	control	montSLA-1-13-13.jpg	14.771	0.137
9	J	UA003-9	control	montSLA-1-13-11.jpg	24.269	0.199
9	K	US013-5	control	montSLA-1-13-11.jpg	13.268	0.111
9	L	EDGE-70	control	montSLA-1-13-11.jpg	12.341	0.120
9	M	CA010-5	control	montSLA-1-13-10.jpg	12.562	0.091
9	N	US026-8	control	montSLA-1-13-10.jpg	28.22	0.290
9	O	US001-1	control	montSLA-1-13-10.jpg	11.139	0.124
9	P	RU008-5	control	montSLA-1-13-9.jpg	21.782	0.175
9	Q	GR001-1	control	montSLA-1-13-8.jpg	0.086	
9	R	HU001-6	control	montSLA-1-13-8.jpg	27.705	0.243
9	S	UA007-9	control	montSLA-1-13-6.jpg	14.563	0.120
9	U	RU001-1	control	montSLA-1-13-6.jpg	15.473	0.096
10	B	US022-7	control	montSLA-1-13-1.jpg	5.853	0.055
10	C	US022-4	control	montSLA-1-13-1.jpg	16.357	0.153
10	D	US014-8	control	montSLA-1-13-2.jpg	13.324	0.102
10	E	US022-8	control	montSLA-1-13-2.jpg	10.933	0.085
10	F	US012-1	control	montSLA-1-13-2.jpg	11.718	0.078
10	G	CA010-2	control	montSLA-1-13-3.jpg	22.163	0.178
10	I	TR001-9	control	montSLA-1-13-3.jpg	33.363	0.314
10	J	US017-6	control	montSLA-1-13-3.jpg	15.465	0.101
10	K	RO003-5	control	montSLA-1-13-4.jpg	11.921	0.107
10	N	US023-1	control	montSLA-1-13-4.jpg	11.604	0.106
10	O	US002-6	control	montSLA-1-13-4.jpg	19.464	0.036
10	R	TR003-3	control	montSLA-1-13-5.jpg	13.979	0.103
10	S	HU001-1	control	montSLA-1-13-5.jpg	6.971	0.056
10	T	TR003-6	control	montSLA-1-13-5.jpg	24.971	0.210
10	U	SAND-6	control	montSLA-1-13-6.jpg	36.128	0.323
12	B	RO003-2	drought	montSLA-1-13.jpg	6.587	0.046
12	D	RU001-4	drought	montSLA-1-13.jpg	19.43	0.135
12	E	US014-5	drought	montSLA-1-13.jpg	14.983	0.120
12	G	HU001-7	drought	montSLA-1-13-1.jpg	19.995	0.153
12	H	RU008-2	drought			0.196
12	I	US017-1	drought			0.200
12	J	CA001-7	drought			0.174
12	K	CA009-9	drought			0.163
12	L	CA001-8	drought			0.058
12	M	GR002-2	drought			0.004
12	N	CA010-9	drought			0.163
12	O	CA010-7	drought			0.144
12	P	UA008-3	drought			0.115
12	R	HU001-3	drought			0.065
12	S	US003-1	drought			0.099
12	U	SERG-7	drought			0.112
13	B	US019-2	control			0.053
13	F	US013-8	control			0.008
13	G	EDGE-85	edge			0.120
13	J	US017-5	control			0.224
13	K	US020-1	control			0.059
13	L	RU008-6	control			0.187
13	M	TR001-4	control			0.138
13	N	US026-3	control			0.190
13	O	US022-1	control			0.123
13	P	RO005-2	control			0.163
13	Q	EDGE-86	edge			0.096
13	S	EDGE-91	edge			0.102
13	T	SERG-6	control			0.174
13	U	BG001-1	control			0.098
14	B	RO001-8	control			0.140
14	C	US015-7	control			0.070
14	D	CA008-8	control			0.273
14	E	GR001-9	control			0.154
14	F	US014-4	control			0.109
14	G	RO003-1	control			0.085
14	I	US017-3	control			0.218
14	J	US001-6	control			0.240
14	K	EDGE-92	EDGE			0.025
14	M	TR004-7	control			0.193
14	N	SAND-1	control			0.238
14	O	RU008-3	control			0.037
14	P	TR004-3	control			0.185
14	R	HU001-2	control			0.143
14	S	EDGE-89	edge			0.118
14	T	SAND-3	control			0.130
14	U	US015-4	control			0.122
15	B	RU008-1	drought			0.144
15	C	GR001-7	drought			0.149
15	D	US018-5	drought			0.118
15	E	SAND-8	drought			0.176
15	F	US001-7	drought			0.216
15	H	US018-4	drought			0.226
15	I	US020-8	drought			0.112
15	J	US023-5	drought			0.102
15	K	RO002-7	drought			0.036
15	L	US013-4	drought			0.154
15	M	SERG-9	drought			0.131
15	N	BG001-2	drought			0.048
15	O	GR002-9	drought			0.117
15	P	US019-9	drought			0.109
15	R	US022-5	drought			0.186
15	S	TR003-8	drought			0.267
15	T	UA008-7	drought			0.130
15	U	US013-3	drought			0.041
16	B	SERG-3	drought			0.078
16	C	RO001-1	drought			0.205
16	D	SAND-2	drought			0.165
16	F	US022-6	drought			0.127
16	G	US018-3	drought			0.067
16	H	UA003-6	drought			0.132
16	I	RU001-2	drought			0.052
16	J	TR001-5	drought			0.143
16	K	US020-7	drought			0.131
16	L	RO001-4	drought			0.135
16	N	UA006-4	drought			0.097
16	P	RU008-9	drought			0.107
16	R	US003-4	drought			0.189
16	S	CA009-7	drought			0.165
16	T	US015-5	drought			0.087
16	U	GR001-4	drought			0.181
17	C	US015-9	control			0.022
17	F	RO001-6	control			0.186
17	G	RO001-7	control			0.232
17	H	RO001-3	control			0.123
17	I	US018-9	control			0.319
17	J	US003-5	control			0.122
17	K	US014-6	control			0.063
17	M	SERG-4	control			0.108
17	N	EDGE-87	edge			0.085
17	O	US022-2	control			0.180
17	P	CA009-5	control			0.334
17	Q	US013-9	control			0.125
17	R	RO005-5	control			0.143
17	T	US019-8	control			0.400
17	U	GR002-8	control			0.087
18	B	UA006-9	control			0.225
18	C	EDGE-88	edge			0.060
18	E	BG001-4	control			0.141
18	G	GR003-7	control			0.082
18	H	TR001-6	control			0.161
18	I	RO005-1	control			0.189
18	J	US023-4	control			0.182
18	L	RU001-9	control			0.027
18	M	CORY2-6	control			0.022
18	N	GR001-2	control			0.057
18	O	US022-3	control			0.188
18	P	US023-8	control			0.164
18	Q	US012-8	control			0.266
18	R	EDGE-34	control			0.168
18	S	SERG-8	control			0.159
18	T	GR002-4	control			0.204
18	U	EDGE-9	control			0.081
19	B	CORY2-9	drought			0.078
19	C	US014-1	drought			0.049
19	E	US022-9	drought			0.069
19	F	SAND-5	drought			0.177
19	G	US017-2	drought			0.163
19	H	RO002-6	drought			0.180
19	I	TR001-2	drought			0.160
19	J	US020-6	drought			0.136
19	K	US014-7	drought			0.110
19	L	TR004-2	drought			0.069
19	N	US002-1	drought			0.231
19	O	UA003-4	drought			0.041
19	P	CA009-3	drought			0.150
19	Q	UA006-8	drought			0.188
19	R	US026-2	drought			0.162
19	S	RO001-2	drought			0.132
19	U	UA007-6	drought			0.172
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
