Origin	Pop	alt	Latitude	Longitude	PC1	CrossID	Rack	Pos	Barcode	Exp	Trt	CrossNum	Indiv	BoltedatH	ShootMass.g	HarvestDay	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	Mass.log	PC2	PC3	time	m.date	lfl	lfw	lfc
CA001-12-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	18	14	CA001-12-5	ass map	control	12	5	n	4.165	85	3N	3	N	4L	4	L	0	1.42671627561881	-5.95971149091243	1.21481333797062	1	0	16	3.7	10
CA001-12-17.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	23	35	CA001-12-17	ass map	control	12	17	n	3.002	85	3N	3	N	4L	4	L	0	1.09927873321127	-5.95971149091243	1.21481333797062	1	0	17.4	3.9	12
CA001-12-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	22	31	CA001-12-11	ass map	control	12	11	n	4.233	86	3N	3	N	4L	4	L	0	1.44291096153879	-5.95971149091243	1.21481333797062	1	0	15.9	3.3	11
CA001-12-12.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	13	9	CA001-12-12	ass map	control	12	12	y	2.685	86	3N	3	N	4L	4	L	1	0.987680727960828	-5.95971149091243	1.21481333797062	1	0	19	3.2	12
CA001-12-16.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	19	49	CA001-12-16	ass map	control	12	16	n	3.181	86	3N	3	N	4L	4	L	0	1.15719561276701	-5.95971149091243	1.21481333797062	1	0	20.6	3.2	11
CA001-12-10.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	16	9	CA001-12-10	ass map	control	12	10	y	3.205	80	3N	3	N	4L	4	L	1	1.16471209037263	-5.95971149091243	1.21481333797062	1	0	17.8	4.3	11
CA001-12-13.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	20	47	CA001-12-13	ass map	control	12	13	n	3.357	86	3N	3	N	4L	4	L	0	1.2110477179979	-5.95971149091243	1.21481333797062	1	0	18.9	4.5	11
CA001-12-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	13	25	CA001-12-9	ass map	control	12	9	y	4.081	86	3N	3	N	4L	4	L	1	1.40634205642367	-5.95971149091243	1.21481333797062	1	0	16.7	2.9	12
CA001-12-18.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	19	41	CA001-12-18	ass map	control	12	18	n	3.238	86	3N	3	N	4L	4	L	0	1.17495585525544	-5.95971149091243	1.21481333797062	1	0	15.6	3.2	10
CA001-12-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-12	17	14	CA001-12-2	ass map	control	12	2	n	3.935	85	3N	3	N	4L	4	L	0	1.36991088186937	-5.95971149091243	1.21481333797062	1	0	15.9	2.8	8
CA001-13-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-13	16	5	CA001-13-2	ass map	control	13	2	n	2.338	80	3N	3	N	3O	3	O	0	0.849295863049877	-5.95971149091243	1.21481333797062	1	0	15.1	3	8
CA001-13-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-13	7	29	CA001-13-1	mat fx	control	13	1	n	3.77	86	3N	3	N	3O	3	O	0	1.32707500145992	-5.95971149091243	1.21481333797062	1	0	21	4.3	10
CA001-13-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-13	22	3	CA001-13-3	ass map	control	13	3	n	2.7	86	3N	3	N	3O	3	O	0	0.993251773010283	-5.95971149091243	1.21481333797062	1	0	13.3	2.6	8
CA001-14-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-14	6	12	CA001-14-1	mat fx	control	14	1	n	4.045	84	4L	4	L	7L	7	L	0	1.39748155051045	-5.95971149091243	1.21481333797062	1	0	12.7	2.6	14
CA001-15-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	23	12	CA001-15-4	ass map	control	15	4	y	4.895	85	4L	4	L	3O	3	O	1	1.58821427598247	-5.95971149091243	1.21481333797062	1	0	16.5	4.2	13
CA001-15-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	12	7	CA001-15-1	ass map	control	15	1	n	2.563	84	4L	4	L	3O	3	O	0	0.941178447381934	-5.95971149091243	1.21481333797062	1	0	13.4	3.5	12
CA001-15-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	12	32	CA001-15-5	ass map	control	15	5	n	3.152	84	4L	4	L	3O	3	O	0	1.14803717199563	-5.95971149091243	1.21481333797062	1	0	12.9	2.6	15
CA001-15-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	18	9	CA001-15-7	ass map	control	15	7	n	4.894	85	4L	4	L	3O	3	O	0	1.58800996502048	-5.95971149091243	1.21481333797062	1	0	15.5	3.9	13
CA001-15-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	19	3	CA001-15-2	ass map	control	15	2	n	3.818	86	4L	4	L	3O	3	O	0	1.33972672530356	-5.95971149091243	1.21481333797062	1	0	15.4	3.6	14
CA001-15-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	20	11	CA001-15-3	ass map	control	15	3	n	3.77	86	4L	4	L	3O	3	O	0	1.32707500145992	-5.95971149091243	1.21481333797062	1	0	16.5	4.4	12
