Origin	Pop	alt	Latitude	Longitude	PC1	CrossID	Rack	Pos	Barcode	Exp	Trt	CrossNum	Indiv	BoltedatH	ShootMass.g	HarvestDay	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	Mass.log	PC2	PC3	time	m.date	lfl	lfw	lfc
BG001-2-1.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-2	12	21	BG001-2-1	ass map	control	2	1	y	2.898	84	29M	29	M	25N	25	N	1	1.06402084389849	0.177040498419896	-3.48475502810461	1	0	11.7	4.2	21
BG001-3-2.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-3	7	1	BG001-3-2	mat fx	control	3	2	y	2.726	86	16N	16	N	25L	25	L	1	1.00283533327434	0.177040498419896	-3.48475502810461	1	0	13.5	4.4	11
BG001-4-1.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-4	17	31	BG001-4-1	ass map	control	4	1	y	2.209	85	22N	22	N	25N	25	N	1	0.79253992443798	0.177040498419896	-3.48475502810461	1	0	10.2	2.2	17
BG001-5-4.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-5	13	5	BG001-5-4	ass map	control	5	4	n	1.232	86	22N	22	N	29M	29	M	0	0.208638865111328	0.177040498419896	-3.48475502810461	1	0	9.6	3	11
BG001-5-5.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-5	9	18	BG001-5-5	mat fx	drought	5	5	NA	NA	NA	22N	22	N	29M	29	M	NA	NA	0.177040498419896	-3.48475502810461	1	0	11.8	2.6	14
BG001-5-2.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-5	18	3	BG001-5-2	ass map	control	5	2	y	4.266	85	22N	22	N	29M	29	M	1	1.45067662004916	0.177040498419896	-3.48475502810461	1	0	10.6	3.2	16
BG001-5-6.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-5	9	36	BG001-5-6	mat fx	drought	5	6	NA	NA	NA	22N	22	N	29M	29	M	NA	NA	0.177040498419896	-3.48475502810461	1	0	10.6	2.8	14
BG001-6-3.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-6	19	12	BG001-6-3	ass map	control	6	3	n	2.824	86	22O	22	O	25L	25	L	0	1.038154319631	0.177040498419896	-3.48475502810461	1	0	15	3.6	15
BG001-6-5.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-6	15	48	BG001-6-5	array	control	6	5	y	3.899	NA	22O	22	O	25L	25	L	1	1.36072011000046	0.177040498419896	-3.48475502810461	1	0	16.5	2.3	15
BG001-6-1.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-6	13	8	BG001-6-1	ass map	control	6	1	y	2.338	86	22O	22	O	25L	25	L	1	0.849295863049877	0.177040498419896	-3.48475502810461	1	0	13.2	3.7	14
BG001-8-2.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-8	22	18	BG001-8-2	ass map	control	8	2	y	6.393	86	25L	25	L	16N	16	N	1	1.85520364178459	0.177040498419896	-3.48475502810461	1	0	16.2	4.9	9
BG001-8-1.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-8	6	29	BG001-8-1	mat fx	control	8	1	y	6.468	84	25L	25	L	16N	16	N	1	1.86686694171486	0.177040498419896	-3.48475502810461	1	0	16.2	4.2	15
BG001-8-4.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-8	14	34	BG001-8-4	ass map	control	8	4	y	2.937	84	25L	25	L	16N	16	N	1	1.07738865221648	0.177040498419896	-3.48475502810461	1	0	18.4	4.8	14
BG001-9-10.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	16	1	BG001-9-10	ass map	control	9	10	y	3.474	80	25L	25	L	22N	22	N	1	1.24530666781891	0.177040498419896	-3.48475502810461	1	0	15.1	4.3	16
BG001-9-1.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	9	23	BG001-9-1	mat fx	drought	9	1	NA	NA	NA	25L	25	L	22N	22	N	NA	NA	0.177040498419896	-3.48475502810461	1	0	20.9	3.7	11
BG001-9-12.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	23	5	BG001-9-12	ass map	control	9	12	y	2.515	85	25L	25	L	22N	22	N	1	0.922272803551703	0.177040498419896	-3.48475502810461	1	0	16.8	3.8	11
BG001-9-9.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	19	31	BG001-9-9	ass map	control	9	9	y	2.248	86	25L	25	L	22N	22	N	1	0.810040932031445	0.177040498419896	-3.48475502810461	1	0	11	3	10
BG001-9-8.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	13	16	BG001-9-8	ass map	control	9	8	y	3.536	86	25L	25	L	22N	22	N	1	1.2629961447754	0.177040498419896	-3.48475502810461	1	0	12.6	4.4	16
BG001-9-7.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	22	8	BG001-9-7	ass map	control	9	7	n	2.828	86	25L	25	L	22N	22	N	0	1.03956974803433	0.177040498419896	-3.48475502810461	1	0	17.5	4.1	14
BG001-9-6.1	nat	BG001	61	43.3819444444444	28.4575	-0.71784676238345	BG001-9	21	47	BG001-9-6	ass map	control	9	6	y	4.187	86	25L	25	L	22N	22	N	1	1.43198448703701	0.177040498419896	-3.48475502810461	1	0	17.2	4.7	14
GR002-1-1.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-1	7	16	GR002-1-1	mat fx	control	1	1	n	3.468	86	25L	25	L	17M	17	M	0	1.2435780589183	-0.558044513621231	-2.49902718195585	1	0	17.5	3.9	14
GR002-1-2.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-1	6	34	GR002-1-2	mat fx	control	1	2	n	4.238	84	25L	25	L	17M	17	M	0	1.44409145984611	-0.558044513621231	-2.49902718195585	1	0	17.8	3.8	12
GR002-10-2.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-10	20	43	GR002-10-2	ass map	control	10	2	n	2.525	86	23N	23	N	20L	20	L	0	0.926241062727323	-0.558044513621231	-2.49902718195585	1	0	13	4.4	15
GR002-10-1.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-10	9	16	GR002-10-1	mat fx	drought	10	1	NA	NA	NA	23N	23	N	20L	20	L	NA	NA	-0.558044513621231	-2.49902718195585	1	0	16.9	4.2	11
GR002-10-4.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-10	7	25	GR002-10-4	mat fx	control	10	4	n	3.069	86	23N	23	N	20L	20	L	0	1.1213517756376	-0.558044513621231	-2.49902718195585	1	0	13.5	3.6	13
GR002-3-2.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-3	7	47	GR002-3-2	mat fx	control	3	2	n	2.67	86	25M	25	M	13K	13	K	0	0.982078472412158	-0.558044513621231	-2.49902718195585	1	0	15.5	3.7	14
GR002-4-1.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-4	9	9	GR002-4-1	mat fx	drought	4	1	NA	NA	NA	13K	13	K	25L	25	L	NA	NA	-0.558044513621231	-2.49902718195585	1	0	15	3.2	14
GR002-6-1.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-6	7	43	GR002-6-1	mat fx	control	6	1	n	4.044	86	13K	13	K	17M	17	M	0	1.39723430115822	-0.558044513621231	-2.49902718195585	1	0	15.9	5.2	20
GR002-9-7.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-9	16	35	GR002-9-7	ass map	control	9	7	y	4.328	80	25K	25	K	13K	13	K	1	1.46510554154418	-0.558044513621231	-2.49902718195585	1	0	13.9	3.1	16
GR002-9-2.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-9	9	12	GR002-9-2	mat fx	drought	9	2	NA	NA	NA	25K	25	K	13K	13	K	NA	NA	-0.558044513621231	-2.49902718195585	1	0	14.9	3.2	15
GR002-9-4.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-9	6	41	GR002-9-4	mat fx	control	9	4	n	3.371	84	25K	25	K	13K	13	K	0	1.21520943625192	-0.558044513621231	-2.49902718195585	1	0	21.3	4.2	16
GR002-9-6.1	nat	GR002	492	40.6213888888889	23.0786111111111	1.92252082908119	GR002-9	12	38	GR002-9-6	ass map	control	9	6	y	4.478	84	25K	25	K	13K	13	K	1	1.49917651817656	-0.558044513621231	-2.49902718195585	1	0	16.3	2.7	15
RU008-1-2.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-1	6	9	RU008-1-2	mat fx	control	1	2	n	3.713	84	17K	17	K	21N	21	N	0	1.31184017519494	3.31949691839123	0.98864914506155	1	0	16.1	3.2	15
RU008-11-1.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-11	6	25	RU008-11-1	mat fx	control	11	1	n	3.944	84	12M	12	M	16N	16	N	0	1.37219543674039	3.31949691839123	0.98864914506155	1	0	14.3	3.4	14
RU008-4-1.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-4	9	49	RU008-4-1	mat fx	drought	4	1	NA	NA	NA	17L	17	L	21N	21	N	NA	NA	3.31949691839123	0.98864914506155	1	0	16.5	4.9	15
RU008-5-2.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-5	6	23	RU008-5-2	mat fx	control	5	2	y	4.758	84	21N	21	N	17K	17	K	1	1.55982741188077	3.31949691839123	0.98864914506155	1	0	16.4	3.9	14
RU008-5-1.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-5	7	27	RU008-5-1	mat fx	control	5	1	y	5.523	86	21N	21	N	17K	17	K	1	1.70892119091905	3.31949691839123	0.98864914506155	1	0	16	4.2	25
RU008-5-9.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-5	7	38	RU008-5-9	mat fx	control	5	9	y	4.146	86	21N	21	N	17K	17	K	1	1.42214401401359	3.31949691839123	0.98864914506155	1	0	17.6	3.2	18
RU008-5-6.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-5	9	20	RU008-5-6	mat fx	drought	5	6	NA	NA	NA	21N	21	N	17K	17	K	NA	NA	3.31949691839123	0.98864914506155	1	0	14.9	3.7	16
RU008-8-2.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-8	6	47	RU008-8-2	mat fx	control	8	2	y	NA	84	21M	21	M	17K	17	K	1	NA	3.31949691839123	0.98864914506155	1	0	19.5	4.7	13
RU008-8-7.1	nat	RU008	525	44.05	43.06000278	-0.469780586418445	RU008-8	9	43	RU008-8-7	mat fx	drought	8	7	NA	NA	NA	21M	21	M	17K	17	K	NA	NA	3.31949691839123	0.98864914506155	1	0	19.5	5.3	14
TR001-1-1.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-1	9	38	TR001-1-1	mat fx	drought	1	1	NA	NA	NA	12M	12	M	29K	29	K	NA	NA	-1.53645349867689	-1.90305562924508	1	0	16.8	3.5	14
TR001-3-1.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-3	7	9	TR001-3-1	mat fx	control	3	1	n	2.177	86	12M	12	M	10A	10	A	0	0.77794778225241	-1.53645349867689	-1.90305562924508	1	0	14.8	2.9	12
TR001-3-2.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-3	9	29	TR001-3-2	mat fx	drought	3	2	NA	NA	NA	12M	12	M	10A	10	A	NA	NA	-1.53645349867689	-1.90305562924508	1	0	14.9	3.5	11
TR001-7-1.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-7	20	1	TR001-7-1	ass map	control	7	1	n	2.05	86	1K	1	K	12M	12	M	0	0.717839793150317	-1.53645349867689	-1.90305562924508	1	0	18.1	3.5	12
TR001-9-6.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	7	20	TR001-9-6	mat fx	control	9	6	n	1.9	86	29K	29	K	12M	12	M	0	0.641853886172395	-1.53645349867689	-1.90305562924508	1	0	15.1	4.5	17
TR001-9-4.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	21	10	TR001-9-4	ass map	control	9	4	n	2.001	86	29K	29	K	12M	12	M	0	0.693647055601596	-1.53645349867689	-1.90305562924508	1	0	15	3.2	14
TR001-9-8.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	15	20	TR001-9-8	ass map	control	9	8	n	2.776	86	29K	29	K	12M	12	M	0	1.02101104264456	-1.53645349867689	-1.90305562924508	1	0	20.6	4	12
TR001-9-23.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	7	49	TR001-9-23	mat fx	control	9	23	y	2.954	86	29K	29	K	12M	12	M	1	1.08316018410919	-1.53645349867689	-1.90305562924508	1	0	15.9	2.9	15
TR001-9-11.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	18	25	TR001-9-11	ass map	control	9	11	n	2.835	85	29K	29	K	12M	12	M	0	1.04204193717972	-1.53645349867689	-1.90305562924508	1	0	19.9	4.8	13
TR001-9-2.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	9	14	TR001-9-2	mat fx	drought	9	2	NA	NA	NA	29K	29	K	12M	12	M	NA	NA	-1.53645349867689	-1.90305562924508	1	0	13.5	3.1	13
TR001-9-9.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	7	36	TR001-9-9	mat fx	control	9	9	y	2.697	86	29K	29	K	12M	12	M	1	0.992140044157593	-1.53645349867689	-1.90305562924508	1	0	16.1	2.5	16
TR001-9-18.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	7	3	TR001-9-18	mat fx	control	9	18	n	1.695	86	29K	29	K	12M	12	M	0	0.527682740832414	-1.53645349867689	-1.90305562924508	1	0	17.5	3.3	13
TR001-9-13.1	nat	TR001	253	41.7511111111111	27.2477777777778	1.37041207262903	TR001-9	6	21	TR001-9-13	mat fx	control	9	13	y	3.595	84	29K	29	K	12M	12	M	1	1.27954399117301	-1.53645349867689	-1.90305562924508	1	0	17.3	3.3	16
BG3-1-4.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-1	17	9	BG3-1-4	ass map	control	1	4	y	4.397	85	1	1	NA	NA	NA	NA	1	1.48092249019867	1.95205205073174	0.598526979685275	1	0	16.5	3.7	14
BG3-1-2.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-1	17	30	BG3-1-2	ass map	control	1	2	n	3.968	85	1	1	NA	NA	NA	NA	0	1.37826218942263	1.95205205073174	0.598526979685275	1	0	17.5	4.6	9
BG3-1-3.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-1	18	30	BG3-1-3	ass map	control	1	3	n	4.161	85	1	1	NA	NA	NA	NA	0	1.4257554300008	1.95205205073174	0.598526979685275	1	0	3.6	4	11
BG3-1-1.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-1	22	36	BG3-1-1	ass map	control	1	1	n	4.448	86	1	1	NA	NA	NA	NA	0	1.49245455694828	1.95205205073174	0.598526979685275	1	0	11.6	4.3	10
BG3-2-1.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-2	13	38	BG3-2-1	ass map	control	2	1	n	3.774	86	2	2	NA	NA	NA	NA	0	1.32813544694636	1.95205205073174	0.598526979685275	1	0	14.2	4.3	9
BG3-2-2.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-2	15	8	BG3-2-2	ass map	control	2	2	n	4.268	86	2	2	NA	NA	NA	NA	0	1.45114533343951	1.95205205073174	0.598526979685275	1	0	20.2	6.1	7
BG3-3-1.1	sk	BG3	1110	42.1153	23.3203	-1.95098432518568	BG3-3	14	32	BG3-3-1	ass map	control	3	1	n	3.264	84	3	3	NA	NA	NA	NA	0	1.18295343710186	1.95205205073174	0.598526979685275	1	0	10.4	3.6	9
SAND-1-9.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-1	6	18	SAND-1-9	mat fx	control	1	9	n	5.41	84	1	1	NA	NA	NA	NA	0	1.68824909285839	1.3409223210014	-0.242716009796549	1	0	23.6	7.4	13
SAND-1-2.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-1	6	32	SAND-1-2	mat fx	control	1	2	n	5.238	84	1	1	NA	NA	NA	NA	0	1.65593974608552	1.3409223210014	-0.242716009796549	1	0	21.5	7.6	14
SAND-1-8.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-1	17	47	SAND-1-8	ass map	control	1	8	n	4.734	85	1	1	NA	NA	NA	NA	0	1.55477051109179	1.3409223210014	-0.242716009796549	1	0	21.9	6.9	31
SAND-1-6.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-1	7	21	SAND-1-6	mat fx	control	1	6	n	4.645	86	1	1	NA	NA	NA	NA	0	1.5357913722658	1.3409223210014	-0.242716009796549	1	0	20.9	7.2	15
SAND-1-1.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-1	7	45	SAND-1-1	mat fx	control	1	1	n	4.675	86	1	1	NA	NA	NA	NA	0	1.54222916274065	1.3409223210014	-0.242716009796549	1	0	27.1	7.9	13
SAND-2-5.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-2	9	1	SAND-2-5	mat fx	drought	2	5	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	1.3409223210014	-0.242716009796549	1	0	16.9	5.2	16
SAND-2-1.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-2	9	45	SAND-2-1	mat fx	drought	2	1	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	1.3409223210014	-0.242716009796549	1	0	28	7.6	12
SAND-2-4.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-2	9	47	SAND-2-4	mat fx	drought	2	4	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	1.3409223210014	-0.242716009796549	1	0	24.3	7.8	19
SAND-3-3.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-3	7	34	SAND-3-3	mat fx	control	3	3	n	5.459	86	3	3	NA	NA	NA	NA	0	1.69726562279962	1.3409223210014	-0.242716009796549	1	0	22.2	6.4	14
SAND-3-5.1	sk	SAND	151	48.2009166666667	16.97415	-2.05100619747996	SAND-3	7	41	SAND-3-5	mat fx	control	3	5	n	3.896	86	3	3	NA	NA	NA	NA	0	1.35995038578029	1.3409223210014	-0.242716009796549	1	0	21.6	7.9	18
SERG-1-5.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	18	11	SERG-1-5	array	control	1	5	y	4.657	NA	1	1	NA	NA	NA	NA	1	1.53837146400024	2.43644947799996	0.603805432221479	1	0	17.9	4.2	13
SERG-1-3.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	14	43	SERG-1-3	ass map	control	1	3	y	2.593	84	1	1	NA	NA	NA	NA	1	0.952815506556527	2.43644947799996	0.603805432221479	1	0	9.5	2.5	16
SERG-1-4.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	14	7	SERG-1-4	ass map	control	1	4	y	3.386	84	1	1	NA	NA	NA	NA	1	1.21964928371094	2.43644947799996	0.603805432221479	1	0	11.7	4.2	16
SERG-1-7.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	17	43	SERG-1-7	array	control	1	7	y	4.779	NA	1	1	NA	NA	NA	NA	1	1.56423131959602	2.43644947799996	0.603805432221479	1	0	11.4	3.5	11
SERG-1-6.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	20	15	SERG-1-6	ass map	control	1	6	y	3.014	86	1	1	NA	NA	NA	NA	1	1.1032681002043	2.43644947799996	0.603805432221479	1	0	10.1	3.6	33
SERG-1-1.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	19	15	SERG-1-1	ass map	control	1	1	y	4.41	86	1	1	NA	NA	NA	NA	1	1.48387468945875	2.43644947799996	0.603805432221479	1	0	13.6	4.7	15
SERG-1-2.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-1	23	41	SERG-1-2	ass map	control	1	2	y	3.299	85	1	1	NA	NA	NA	NA	1	1.19361939224644	2.43644947799996	0.603805432221479	1	0	11.2	4.2	11
SERG-2-1.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	14	27	SERG-2-1	ass map	control	2	1	n	2.768	84	2	2	NA	NA	NA	NA	0	1.01812503775542	2.43644947799996	0.603805432221479	1	0	22.7	4.8	13
SERG-2-2.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	23	16	SERG-2-2	ass map	control	2	2	y	2.788	85	2	2	NA	NA	NA	NA	1	1.02532449289828	2.43644947799996	0.603805432221479	1	0	17.7	2.3	18
SERG-2-4.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	17	29	SERG-2-4	ass map	control	2	4	y	4.135	85	2	2	NA	NA	NA	NA	1	1.41948732847565	2.43644947799996	0.603805432221479	1	0	17.7	3.8	17
SERG-2-7.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	23	27	SERG-2-7	ass map	control	2	7	y	3.705	85	2	2	NA	NA	NA	NA	1	1.30968325874805	2.43644947799996	0.603805432221479	1	0	14.1	2.7	18
SERG-2-8.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	17	36	SERG-2-8	ass map	control	2	8	y	2.788	85	2	2	NA	NA	NA	NA	1	1.02532449289828	2.43644947799996	0.603805432221479	1	0	12.6	3.8	14
SERG-2-9.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	22	38	SERG-2-9	ass map	control	2	9	n	2.272	86	2	2	NA	NA	NA	NA	0	0.820660500858905	2.43644947799996	0.603805432221479	1	0	15.8	4.6	15
SERG-2-3.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	22	16	SERG-2-3	ass map	control	2	3	y	1.724	86	2	2	NA	NA	NA	NA	1	0.544647172241501	2.43644947799996	0.603805432221479	1	0	16.9	3.6	12
SERG-2-6.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	15	16	SERG-2-6	ass map	control	2	6	y	2.802	86	2	2	NA	NA	NA	NA	1	1.03033344791482	2.43644947799996	0.603805432221479	1	0	15.4	3.7	17
SERG-2-5.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-2	16	48	SERG-2-5	array	control	2	5	y	2.258	NA	2	2	NA	NA	NA	NA	1	0.81447946572747	2.43644947799996	0.603805432221479	1	0	13.2	3.4	17
SERG-3-6.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	21	8	SERG-3-6	ass map	control	3	6	y	2.639	86	3	3	NA	NA	NA	NA	1	0.970400057521187	2.43644947799996	0.603805432221479	1	0	14.2	3.6	15
SERG-3-1.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	15	5	SERG-3-1	ass map	control	3	1	y	2.224	86	3	3	NA	NA	NA	NA	1	0.799307376388336	2.43644947799996	0.603805432221479	1	0	13.6	2.2	12
SERG-3-7.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	17	11	SERG-3-7	ass map	control	3	7	y	3.711	85	3	3	NA	NA	NA	NA	1	1.31130138207846	2.43644947799996	0.603805432221479	1	0	13.2	4.7	11
SERG-3-2.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	22	32	SERG-3-2	ass map	control	3	2	y	1.776	86	3	3	NA	NA	NA	NA	1	0.574363644569978	2.43644947799996	0.603805432221479	1	0	20.5	3.7	11
SERG-3-5.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	21	5	SERG-3-5	ass map	control	3	5	y	2.578	86	3	3	NA	NA	NA	NA	1	0.947013904516996	2.43644947799996	0.603805432221479	1	0	12.9	3.7	13
SERG-3-4.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	18	45	SERG-3-4	ass map	control	3	4	y	2.086	85	3	3	NA	NA	NA	NA	1	0.735248356578581	2.43644947799996	0.603805432221479	1	0	15.4	4.2	10
SERG-3-8.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	14	5	SERG-3-8	ass map	control	3	8	y	1.801	84	3	3	NA	NA	NA	NA	1	0.588342066193819	2.43644947799996	0.603805432221479	1	0	13.8	3.7	20
SERG-3-9.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	12	1	SERG-3-9	ass map	control	3	9	y	3.517	84	3	3	NA	NA	NA	NA	1	1.25760835349185	2.43644947799996	0.603805432221479	1	0	16.2	4.3	12
SERG-3-10.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	23	38	SERG-3-10	ass map	control	3	10	y	3.213	85	3	3	NA	NA	NA	NA	1	1.16720508013372	2.43644947799996	0.603805432221479	1	0	16.6	3.6	12
SERG-3-3.1	sk	SERG	997	43.1751666666667	22.6669333333333	-3.50389090862938	SERG-3	20	12	SERG-3-3	ass map	control	3	3	y	4.523	86	3	3	NA	NA	NA	NA	1	1.50917549049571	2.43644947799996	0.603805432221479	1	0	17.9	5.2	14
CA001-1-2.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	21	30	CA001-1-2	ass map	control	1	2	n	4.098	86	4L	4	L	3N	3	N	0	1.41049904981671	-5.95971149091243	1.21481333797062	2	22	22.9	5.3	15
CA001-1-3.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	23	14	CA001-1-3	ass map	control	1	3	n	4.77	85	4L	4	L	3N	3	N	0	1.56234630490025	-5.95971149091243	1.21481333797062	2	22	29.3	6.2	9
CA001-1-1.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-1	13	30	CA001-1-1	ass map	control	1	1	n	3.105	86	4L	4	L	3N	3	N	0	1.13301371538544	-5.95971149091243	1.21481333797062	2	22	24.8	4.4	14
CA001-10-2.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	14	15	CA001-10-2	ass map	control	10	2	y	3.968	84	3N	3	N	7L	7	L	1	1.37826218942263	-5.95971149091243	1.21481333797062	2	22	16.6	5.9	11
CA001-10-1.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	13	3	CA001-10-1	ass map	control	10	1	n	1.367	86	3N	3	N	7L	7	L	0	0.312618557741813	-5.95971149091243	1.21481333797062	2	22	18.3	4.7	7
CA001-10-3.2	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-10	23	40	CA001-10-3	ass map	control	10	3	n	2.677	85	3N	3	N	7L	7	L	0	0.984696764538215	-5.95971149091243	1.21481333797062	2	22	23.3	6.1	8
