Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
CA009-9	12	K	drought	CA009	10	inv		Tuesday, September 06, 2011	No	NA	48	42	0.1583316	25	4	43.6	80	NA	3.87120101090789	3.73766961828337	-1.84306371104395	3.2188758248682	1.38629436111989	3.77505715035499	4.38202663467388	0.310731591912924
CA010-1	9	F	control	CA010	6	inv		Tuesday, September 06, 2011	No	NA	69	69	0.373917038	31	6	37.3	6	NA	4.23410650459726	4.23410650459726	-0.983721329703495	3.43398720448515	1.79175946922805	3.61899332664977	1.79175946922805	-2.13032009791832
CA010-2	10	G	control	CA010	1	inv		Tuesday, September 06, 2011	No	NA	78	75	0.459444375	40	6	37	160	NA	4.35670882668959	4.31748811353631	-0.777737400009306	3.68887945411394	1.79175946922805	3.61091791264422	5.07517381523383	-2.93220820800163
CA010-3	4	C	drought	CA010	3	inv		Tuesday, September 06, 2011	No	NA	48	42	0.1583316	23	6	26.9	74	NA	3.87120101090789	3.73766961828337	-1.84306371104395	3.13549421592915	1.79175946922805	3.29212628660779	4.30406509320417	0.353428960270489
CA010-4	6	T	control	CA010	6	inv		Tuesday, September 06, 2011	No	NA	78	74	0.45331845	37	12	30.6	NA	NA	4.35670882668959	4.30406509320417	-0.791160420341447	3.61091791264422	2.484906649788	3.42100000895834	NA	-3.31012704232295
CA010-5	9	M	control	CA010	2	inv		Tuesday, September 06, 2011	No	NA	64	59	0.2965576	30.5	7.5	32	92	NA	4.15888308335967	4.07753744390572	-1.21551381296982	3.41772668361337	2.01490302054226	3.46573590279973	4.52178857704904	-1.71607281971396
CA010-6	4	S	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	55	53	0.228936813	23	6	30.7	106	NA	4.00733318523247	3.97029191355212	-1.47430923926661	3.13549421592915	1.79175946922805	3.42426265459315	4.66343909411207	-0.526946424505206
CA010-7	12	O	drought	CA010	4	inv		Tuesday, September 06, 2011	No	NA	56	56	0.2462936	32	7	31.2	76	NA	4.02535169073515	4.02535169073515	-1.40123095876491	3.46573590279973	1.94591014905531	3.44041809481544	4.33073334028633	-1.29095477988473
CA010-8	6	B	control	CA010	2	inv	Friday, July 08, 2011	Friday, July 08, 2011	Yes	21	61	61	0.292238038	33	9	13.5	30	86	4.11087386417331	4.11087386417331	-1.23018661017765	3.49650756146648	2.19722457733622	2.60268968544438	3.40119738166216	-1.42283347405809
CA010-9	12	N	drought	CA010	3	inv		Tuesday, September 06, 2011	No	NA	60	57	0.26859825	26	7	34.2	142	NA	4.0943445622221	4.04305126783455	-1.31453851017856	3.25809653802148	1.94591014905531	3.53222564406856	4.95582705760126	-1.25396319877211
CORY1-6	5	F	drought	CA001	1	inv	Friday, July 01, 2011	Monday, July 04, 2011	Yes	19	52	52	0.2123654	25	7	16.04	30	96	3.95124371858143	3.95124371858143	-1.54944690307235	3.2188758248682	1.94591014905531	2.77508560243837	3.40119738166216	-0.216881747496274
CORY2-6	18	M	control	US003	20	inv		Tuesday, September 06, 2011	No	NA	82	72	0.4636854	43.5	11	43.2	110	NA	4.40671924726425	4.27666611901606	-0.7685489739549	3.77276093809464	2.39789527279837	3.76584049525006	4.70048036579242	-3.72225553601959
CORY2-8	3	T	control	US003	25	inv	Friday, July 01, 2011	Friday, July 01, 2011	Yes	7.5	55	48	0.207339	27.5	7.5	23.27	24	121	4.00733318523247	3.87120101090789	-1.57340014409485	3.31418600467253	2.01490302054226	3.1471649773142	3.17805383034795	-0.598461422968812
CORY2-9	19	B	drought	US003	7	inv		Tuesday, September 06, 2011	No	NA	68	52	0.2777086	32	4	28	70	NA	4.21950770517611	3.95124371858143	-1.28118291647767	3.46573590279973	1.38629436111989	3.3322045101752	4.24849524204936	-1.00037899764006
EDGE-1	2	I	control	CA009	72	inv		Tuesday, September 06, 2011	No	NA	67	65	0.342030813	28	5	31	112	NA	4.20469261939097	4.17438726989564	-1.07285444948675	3.3322045101752	1.6094379124341	3.43398720448515	4.71849887129509	-1.51753663585941
EDGE-2	5	O	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	40	35	0.1099525	21	3.5	24.7	50	NA	3.68887945411394	3.55534806148941	-2.20770682463186	3.04452243772342	1.25276296849537	3.20680324363393	3.91202300542815	1.82021537508682
