Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
RU008-3	14	O	control	US001	4	inv		Tuesday, September 06, 2011	No	NA	37	30	0.087176625	21	3.5	21.2	22	NA	3.61091791264422	3.40119738166216	-2.43981904592883	3.04452243772342	1.25276296849537	3.05400118167797	3.09104245335832	2.41579854133605
RU008-4	2	O	control	RU008	1	nat		Tuesday, September 06, 2011	No	NA	90	84	0.5937435	43	7.7	46	256	NA	4.49980967033027	4.43081679884331	-0.52130787106163	3.76120011569356	2.04122032885964	3.8286413964891	5.54517744447956	-3.95654923563371
RU008-5	9	P	control	RU008	7	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13	54	50	0.21205125	30	7	12.6	20	35	3.98898404656427	3.91202300542815	-1.55092728824279	3.40119738166216	1.94591014905531	2.53369681395743	2.99573227355399	-0.324196697923793
RU008-6	13	L	control	RU008	3	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	10	66	62	0.32137545	32	8	14.15	24	46	4.18965474202643	4.12713438504509	-1.13514521316369	3.46573590279973	2.07944154167984	2.64971462408925	3.17805383034795	-1.51515405760574
RU008-8	6	I	control	RU008	2	nat		Tuesday, September 06, 2011	No	NA	82	74	0.47656555	40	5	30.4	146	NA	4.40671924726425	4.30406509320417	-0.741149999766786	3.68887945411394	1.6094379124341	3.41444260841218	4.98360662170834	-2.73117062783392
RU008-9	16	P	drought	RU008	2	nat	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	13.5	34	25	0.066756875	19	4	8.8	14	67	3.52636052461616	3.2188758248682	-2.70669799075085	2.94443897916644	1.38629436111989	2.17475172148416	2.63905732961526	3.54824289600772
TR001-2	19	I	drought	TR001	20	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	23	37	32	0.0929884	18.5	3.5	7.44	8	17	3.61091791264422	3.46573590279973	-2.37528052479126	2.91777073208428	1.25276296849537	2.006870848845	2.07944154167984	3.09738111290181
TR001-3	8	G	control	TR001	17	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	26.5	55	52.5	0.226777031	27.5	4.5	10.87	8	44	4.00733318523247	3.96081316959758	-1.48378798650756	3.31418600467253	1.50407739677627	2.38600670113312	2.07944154167984	0.144221441684959
TR001-4	13	M	control	TR001	18	nat	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	31	60	50	0.2356125	30	5	23.78	44	92	4.0943445622221	3.91202300542815	-1.44556677258496	3.40119738166216	1.6094379124341	3.16884489126264	3.78418963391826	-0.646953230080141
TR001-5	16	J	drought	TR001	22	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21	31	29	0.070605213	17.5	4	6.36	4.5	15	3.43398720448515	3.36729582998647	-2.65065129868196	2.86220088092947	1.38629436111989	1.85002837735203	1.50407739677627	3.75827753820477
TR001-6	18	H	control	TR001	17	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	18	40	32	0.100528	20.5	4	8.76	14	47	3.68887945411394	3.46573590279973	-2.29731898332155	3.02042488614436	1.38629436111989	2.1701959049483	2.63905732961526	2.55662754055115
TR001-7	5	M	drought	TR001	18	nat		Tuesday, September 06, 2011	No	NA	48	46	0.1734108	25	3.5	20	46	NA	3.87120101090789	3.8286413964891	-1.75209193283822	3.2188758248682	1.25276296849537	2.99573227355399	3.8286413964891	0.718472745585536
TR001-8	2	G	control	TR001	20	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	10	37	32	0.0929884	20	5	7.7	1.7	10	3.61091791264422	3.46573590279973	-2.37528052479126	2.99573227355399	1.6094379124341	2.04122032885964	0.53062825106217	2.64398328217564
TR001-9	10	I	control	TR001	22	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	9	60	59	0.27802275	30	8	10.04	12	22	4.0943445622221	4.07753744390572	-1.28005233410739	3.40119738166216	2.07944154167984	2.30657711426358	2.484906649788	-0.894429680858818
TR003-2	6	O	control	CA009	30	inv		Tuesday, September 06, 2011	No	NA	40	38	0.119377	21	4	16.5	50	NA	3.68887945411394	3.63758615972639	-2.12546872639489	3.04452243772342	1.38629436111989	2.80336038090653	3.91202300542815	1.77289450453842
TR003-3	10	R	control	CA009	30	inv		Tuesday, September 06, 2011	No	NA	63	58	0.286976025	32	9	24.4	120	NA	4.14313472639153	4.06044301054642	-1.24835660329726	3.46573590279973	2.19722457733622	3.19458313229916	4.78749174278205	-1.71027423487134
TR003-5	6	U	control	CA009	72	inv		Tuesday, September 06, 2011	No	NA	80	78	0.490074	32	5	54	168	NA	4.38202663467388	4.35670882668959	-0.713198878871735	3.46573590279973	1.6094379124341	3.98898404656427	5.12396397940326	-2.82960718622621
TR003-6	10	T	control	CA009	72	inv		Tuesday, September 06, 2011	No	NA	74	60	0.3487065	37	4.5	45	204	NA	4.30406509320417	4.0943445622221	-1.05352468480894	3.61091791264422	1.50407739677627	3.80666248977032	5.31811999384422	-2.09295251338861
TR003-7	2	M	control	CA009	72	inv	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13.5	46	45	0.162572625	24.5	8	15.1	32	122	3.8286413964891	3.80666248977032	-1.81663045397579	3.19867311755068	2.07944154167984	2.71469474382088	3.46573590279973	0.309743947573627
TR003-8	15	S	drought	CA009	70	inv		Tuesday, September 06, 2011	No	NA	51	49	0.196265213	23	7	32	76	NA	3.93182563272433	3.89182029811063	-1.62828840685268	3.13549421592915	1.94591014905531	3.46573590279973	4.33073334028633	-0.355764297672032
TR004-2	19	L	drought	HU001	4	nat		Tuesday, September 06, 2011	No	NA	71	67	0.373602888	33	8	36.9	132	NA	4.26267987704132	4.20469261939097	-0.984561842464608	3.49650756146648	2.07944154167984	3.60821155104648	4.88280192258637	-2.47484047979424
TR004-3	14	P	control	HU001	4	nat		Tuesday, September 06, 2011	No	NA	65	63	0.321611063	31	9.5	42.7	124	NA	4.17438726989564	4.14313472639153	-1.13441234239337	3.43398720448515	2.2512917986065	3.75419892023458	4.82028156560504	-2.30394687295047
TR004-4	5	P	drought	HU001	2	nat		Tuesday, September 06, 2011	No	NA	85	77	0.514027938	42	8	32	210	NA	4.44265125649032	4.34380542185368	-0.665477660918499	3.73766961828337	2.07944154167984	3.46573590279973	5.34710753071747	-3.42303790999932
TR004-5	6	M	control	HU001	3	nat		Tuesday, September 06, 2011	No	NA	80	68	0.427244	45	9.5	32.4	124	NA	4.38202663467388	4.21950770517611	-0.85040000038522	3.80666248977032	2.2512917986065	3.47815842279828	4.82028156560504	-3.28285273560633
TR004-7	14	M	control	HU001	1	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	10	51	50	0.200270625	28.5	8	13.55	20	68	3.93182563272433	3.91202300542815	-1.60808570208274	3.3499040872746	2.07944154167984	2.60638654732571	2.99573227355399	-0.289446095037137
UA003-1	5	G	drought	CA010	1	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	7	39	31	0.094951838	21.5	8	8.32	8	23	3.66356164612965	3.43398720448515	-2.35438548435459	3.06805293513362	2.07944154167984	2.11866225483312	2.07944154167984	2.01618803413899
UA003-2	3	I	control	CA010	1	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	7	52	47	0.19194565	27	7.5	11.02	8	27	3.95124371858143	3.85014760171006	-1.65054301994372	3.29583686600433	2.01490302054226	2.39971180372477	2.07944154167984	0.0570860624697582
UA003-3	8	P	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	74	73	0.424259575	38	9	45.7	142	NA	4.30406509320417	4.29045944114839	-0.857409805882648	3.63758615972639	2.19722457733622	3.82209829790016	4.95582705760126	-3.18307080559346
UA003-4	19	O	drought	CA010	3	inv		Tuesday, September 06, 2011	No	NA	61	39	0.186840713	33	13	32.6	78	NA	4.11087386417331	3.66356164612965	-1.67749882725617	3.49650756146648	2.56494935746154	3.48431228837266	4.35670882668959	-1.35555503964265
UA003-5	5	J	drought	CA010	1	inv		Tuesday, September 06, 2011	No	NA	44	40	0.138226	21	7	27.2	54	NA	3.78418963391826	3.68887945411394	-1.97886525220301	3.04452243772342	1.94591014905531	3.30321697330195	3.98898404656427	0.632708197717285
UA003-6	16	H	drought	CA010	1	inv	Monday, June 27, 2011	Monday, June 27, 2011	Yes	16	49	48	0.1847202	25	10	11.9	14	37	3.89182029811063	3.87120101090789	-1.68891303121669	3.2188758248682	2.30258509299405	2.47653840011748	2.63905732961526	-0.0546279219697273
UA003-7	5	N	drought	CA010	4	inv		Tuesday, September 06, 2011	No	NA	70	66	0.36284325	32	6.5	35.3	138	NA	4.24849524204936	4.18965474202643	-1.01378435615942	3.46573590279973	1.87180217690159	3.56388296393925	4.92725368515721	-2.15228832916964
UA003-9	9	J	control	CA010	1	inv	Monday, June 27, 2011	Monday, June 27, 2011	Yes	13	46	46	0.16618535	25	9	12.2	12.8	48	3.8286413964891	3.8286413964891	-1.79465154725702	3.2188758248682	2.19722457733622	2.50143595173921	2.54944517092557	0.259123952192865
UA004-2	4	H	control	UA004	11	nat		Tuesday, September 06, 2011	No	NA	87	86	0.587617575	57	5	38.4	242	NA	4.46590811865458	4.45434729625351	-0.531678925327117	4.04305126783455	1.6094379124341	3.64805745959368	5.48893772615669	-3.81557011221435
UA006-3	8	K	control	RO001	27	nat	Monday, June 27, 2011	Tuesday, July 12, 2011	Yes	39	43	43	0.145215838	24	7	22.04	46	118	3.76120011569356	3.76120011569356	-1.92953410540493	3.17805383034795	1.94591014905531	3.09285898428471	3.8286413964891	0.476798126859286
UA006-4	16	N	drought	RO001	10	nat		Tuesday, September 06, 2011	No	NA	87	81	0.553453763	42	10.5	59.4	132	NA	4.46590811865458	4.39444915467244	-0.591577066004768	3.73766961828337	2.35137525716348	4.0842942263686	4.88280192258637	-4.20929161304769
UA006-6	8	O	control	RO001	14	nat	Friday, July 22, 2011	Friday, July 22, 2011	Yes	57	55	51	0.220297688	28	6	22.1	53	185	4.00733318523247	3.93182563272433	-1.51277552000876	3.3322045101752	1.79175946922805	3.09557760852371	3.97029191355212	-0.516499330924772
UA006-8	19	Q	drought	RO001	27	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	17	44	43	0.14859295	21	7	10.16	7.5	58	3.78418963391826	3.76120011569356	-1.90654459062339	3.04452243772342	1.94591014905531	2.31845844215034	2.01490302054226	1.08426385369077
UA006-9	18	B	control	RO001	14	nat		Tuesday, September 06, 2011	No	NA	54	45	0.190846125	29	7	36.1	84	NA	3.98898404656427	3.80666248977032	-1.65628780390061	3.36729582998647	1.94591014905531	3.58629286533884	4.43081679884331	-0.700834242095156
UA007-5	6	R	control	RU008	3	nat		Tuesday, September 06, 2011	No	NA	59	50	0.231685625	32	12	45.9	94	NA	4.07753744390572	3.91202300542815	-1.46237389090134	3.46573590279973	2.484906649788	3.8264651170665	4.54329478227	-1.89778052375905
UA007-6	19	U	drought	RO001	29	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	18	52	47	0.19194565	33	7	8.68	11.6	61	3.95124371858143	3.85014760171006	-1.65054301994372	3.49650756146648	1.94591014905531	2.16102152867226	2.45100509811232	-0.0114242800175569
UA007-7	6	H	control	RO001	11	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	17	54	52	0.2205333	26	7	16.07	16	75	3.98898404656427	3.95124371858143	-1.51170657508951	3.25809653802148	1.94591014905531	2.77695417974942	2.77258872223978	-0.358018434672338
UA007-9	9	S	control	RO001	11	nat		Tuesday, September 06, 2011	No	NA	53	48	0.1997994	26	7	28.1	126	NA	3.97029191355212	3.87120101090789	-1.6104414157752	3.25809653802148	1.94591014905531	3.3357695763397	4.83628190695148	-0.489624089745869
UA008-1	8	U	control	RO005	24	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	5.5	51	49	0.196265213	27	8	10.55	8	16	3.93182563272433	3.89182029811063	-1.62828840685268	3.29583686600433	2.07944154167984	2.35612585992208	2.07944154167984	-0.0185900340513871
UA008-3	12	P	drought	RO005	24	nat		Tuesday, September 06, 2011	No	NA	52	48	0.1960296	36	4.5	30.7	94	NA	3.95124371858143	3.87120101090789	-1.62948961074589	3.58351893845611	1.50407739677627	3.42426265459315	4.54329478227	-0.548968800744697
UA008-5	4	G	drought	GR002	21	nat		Tuesday, September 06, 2011	No	NA	29	27	0.061494863	16	4	11.9	10	NA	3.36729582998647	3.29583686600433	-2.78880163611365	2.77258872223978	1.38629436111989	2.47653840011748	2.30258509299405	3.80008685916917
UA008-6	5	E	drought	RO005	20	nat		Tuesday, September 06, 2011	No	NA	49	45	0.173175188	23	4	32.2	70	NA	3.89182029811063	3.80666248977032	-1.75345154946701	3.13549421592915	1.38629436111989	3.47196645255036	4.24849524204936	0.41978079181058
UA008-7	15	T	drought	RO005	29	nat		Tuesday, September 06, 2011	No	NA	43	40	0.1350845	20	7	35.7	NA	NA	3.76120011569356	3.68887945411394	-2.00185477042771	2.99573227355399	1.94591014905531	3.57515068878559	NA	0.585662998973739
US001-1	9	O	control	US001	9	inv		Tuesday, September 06, 2011	No	NA	77	69	0.417269738	33	6	48.3	166	NA	4.34380542185368	4.23410650459726	-0.874022412586	3.49650756146648	1.79175946922805	3.87743156065853	5.11198778835654	-2.62449096312578
US001-2	5	K	drought	US001	30	inv		Tuesday, September 06, 2011	No	NA	61	59	0.282656463	32	4.5	30.7	108	NA	4.11087386417331	4.07753744390572	-1.26352303038725	3.46573590279973	1.50407739677627	3.42426265459315	4.68213122712422	-1.18332793743926
US001-3	8	H	control	US001	30	inv		Tuesday, September 06, 2011	No	NA	77	71	0.429364513	39	7	39.5	218	NA	4.34380542185368	4.26267987704132	-0.845449040175698	3.66356164612965	1.94591014905531	3.67630067190708	5.38449506278909	-2.93271563542141
US001-4	6	C	control	US001	29	inv		Tuesday, September 06, 2011	No	NA	77	77	0.465648838	44	7	45.2	170	NA	4.34380542185368	4.34380542185368	-0.76432349545407	3.78418963391826	1.94591014905531	3.81109708683819	5.13579843705026	-3.35321847114722
US001-5	8	B	control	US001	4	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	5.5	50	42	0.16492875	27	5.5	9.23	14	56	3.91202300542815	3.73766961828337	-1.80224171652369	3.29583686600433	1.70474809223843	2.22245904851476	2.63905732961526	0.774008094284391
US001-6	14	J	control	US001	29	inv		Tuesday, September 06, 2011	No	NA	58	52	0.2368691	28	9	31.9	74	NA	4.06044301054642	3.95124371858143	-1.44024761110736	3.3322045101752	2.19722457733622	3.4626060097908	4.30406509320417	-1.27198244154256
US001-7	15	F	drought	US001	7	inv	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21.5	46	46	0.16618535	25	8	8.8	10	46	3.8286413964891	3.8286413964891	-1.79465154725702	3.2188758248682	2.07944154167984	2.17475172148416	2.30258509299405	0.566618248475181
US001-9	4	B	drought	US001	7	inv		Tuesday, September 06, 2011	No	NA	32	29	0.0728828	16	4.5	15.6	22	NA	3.46573590279973	3.36729582998647	-2.61890260744901	2.77258872223978	1.50407739677627	2.74727091425549	3.09104245335832	3.15274803646182
US002-1	19	N	drought	US002	15	inv		Tuesday, September 06, 2011	No	NA	51	42	0.168227325	29	4.5	23.6	44	NA	3.93182563272433	3.73766961828337	-1.78243908922751	3.36729582998647	1.50407739677627	3.16124671203156	3.78418963391826	0.236961602983677
US002-2	8	M	control	US002	10	inv	Friday, July 08, 2011	Monday, July 11, 2011	Yes	35	59	54	0.250220475	28	6	13.74	32	76	4.07753744390572	3.98898404656427	-1.38541284976521	3.3322045101752	1.79175946922805	2.6203112867942	3.46573590279973	-0.504920784695988
US002-3	3	L	control	US002	9	inv		Tuesday, September 06, 2011	No	NA	65	64	0.326716	36	7	28	92	NA	4.17438726989564	4.15888308335967	-1.1186639869799	3.58351893845611	1.94591014905531	3.3322045101752	4.52178857704904	-2.00742484419582
US002-6	10	O	control	US002	10	inv	Friday, July 01, 2011	Friday, July 01, 2011	Yes	12.5	58	51	0.232313925	32	6	19.11	14	42	4.06044301054642	3.93182563272433	-1.45966569696446	3.46573590279973	1.79175946922805	2.95021175825218	2.63905732961526	-0.732742358191166
US002-7	2	N	control	US002	9	inv		Tuesday, September 06, 2011	No	NA	54	49	0.207810225	31	5	14.7	16	NA	3.98898404656427	3.89182029811063	-1.57112999556031	3.43398720448515	1.6094379124341	2.68784749378469	2.77258872223978	-0.115453948310975
US002-8	3	O	control	US002	3	inv		Tuesday, September 06, 2011	No	NA	82	69	0.444365175	39	7	27.9	94	NA	4.40671924726425	4.23410650459726	-0.811108588373696	3.66356164612965	1.94591014905531	3.32862668882732	4.54329478227	-2.8021931898565
US003-1	12	S	drought	US003	27	inv	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	17	44	43	0.14859295	22	8	10.1	10.4	66	3.78418963391826	3.76120011569356	-1.90654459062339	3.09104245335832	2.07944154167984	2.31253542384721	2.34180580614733	0.902058078591568
US003-4	16	R	drought	US003	25	inv	Monday, July 04, 2011	Monday, July 04, 2011	Yes	37.5	49	47	0.180871863	23.5	9	12.01	26	79	3.89182029811063	3.85014760171006	-1.70996643765014	3.15700042115011	2.19722457733622	2.48573963609189	3.25809653802148	0.165546043314644
US003-5	17	J	control	US003	20	inv	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	51	44	0.17623815	24.5	5	9.84	20	76	3.93182563272433	3.78418963391826	-1.73591907359262	3.19867311755068	1.6094379124341	2.28645571106416	2.99573227355399	0.812906003448327
US003-6	8	D	control	US003	7	inv	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	26	42	41.5	0.136890863	24	5	10.84	17	48	3.73766961828337	3.72569342723665	-1.98857129106264	3.17805383034795	1.6094379124341	2.3832429960115	2.83321334405622	1.3463335629155
US003-8	8	R	control	US003	20	inv		Tuesday, September 06, 2011	No	NA	65	63	0.321611063	33	8	27	96	NA	4.17438726989564	4.14313472639153	-1.13441234239337	3.49650756146648	2.07944154167984	3.29583686600433	4.56434819146784	-1.9530187891478
US012-1	10	F	control	US003	20	inv		Tuesday, September 06, 2011	No	NA	70	66	0.36284325	34	9	26.5	124	NA	4.24849524204936	4.18965474202643	-1.01378435615942	3.52636052461616	2.19722457733622	3.27714473299218	4.82028156560504	-2.35635137924575
US012-5	5	B	drought	US003	27	inv		Tuesday, September 06, 2011	No	NA	36	36	0.1017846	18	5	17.5	34	NA	3.58351893845611	3.58351893845611	-2.28489646332299	2.89037175789616	1.6094379124341	2.86220088092947	3.52636052461616	2.10034175939402
US012-8	18	Q	control	US002	10	inv		Tuesday, September 06, 2011	No	NA	82	82	0.52808615	36	7.5	36.5	124	NA	4.40671924726425	4.40671924726425	-0.638495845706702	3.58351893845611	2.01490302054226	3.59731226058845	4.82028156560504	-3.28267398461383
US013-3	15	U	drought	US002	5	inv		Tuesday, September 06, 2011	No	NA	64	60	0.301584	31	4.5	44.5	104	NA	4.15888308335967	4.0943445622221	-1.19870669465344	3.43398720448515	1.50407739677627	3.79548918917219	4.64439089914137	-1.5115253277762
US013-4	15	L	drought	US002	9	inv	Monday, July 04, 2011	Monday, July 04, 2011	Yes	20	55	53	0.228936813	29	5	10.91	27	118	4.00733318523247	3.97029191355212	-1.47430923926661	3.36729582998647	1.6094379124341	2.38967979984498	3.29583686600433	-0.047332225781662
US013-5	9	K	control	US002	9	inv		Tuesday, September 06, 2011	No	NA	54	43	0.182364075	28	8	21.1	74	NA	3.98898404656427	3.76120011569356	-1.70175017797737	3.3322045101752	2.07944154167984	3.04927304048202	4.30406509320417	-0.348620158158769
US013-7	4	T	control	US002	9	inv		Tuesday, September 06, 2011	No	NA	67	64	0.3367688	39	8	34.7	166	NA	4.20469261939097	4.15888308335967	-1.08835863748457	3.66356164612965	2.07944154167984	3.54673968695281	5.11198778835654	-2.44005221792495
US013-8	13	F	control	US002	9	inv		Tuesday, September 06, 2011	No	NA	77	68	0.41122235	37	8	28.6	74	NA	4.34380542185368	4.21950770517611	-0.888621213205418	3.61091791264422	2.07944154167984	3.35340671782581	4.30406509320417	-2.69235991137914
US014-1	19	C	drought	BG001	4	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21	29	27	0.061494863	15.5	3.5	9.74	5.5	31	3.36729582998647	3.29583686600433	-2.78880163611365	2.7408400239252	1.25276296849537	2.27624111765444	1.70474809223843	4.08832531381433
US014-3	9	G	control	RO001	25	nat		Tuesday, September 06, 2011	No	NA	50	48	0.18849	26	6	29.3	52	NA	3.91202300542815	3.87120101090789	-1.66871032389917	3.25809653802148	1.79175946922805	3.37758751602302	3.95124371858143	-0.242689946036451
US014-4	14	F	control	BG001	4	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	13.5	33	30	0.077752125	17	3	11.91	12	71	3.49650756146648	3.40119738166216	-2.55422939710657	2.83321334405622	1.09861228866811	2.47737838336721	2.484906649788	3.46190571223235
US014-5	12	E	drought	BG001	4	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	6	33	32	0.0829356	16.5	3.5	7.73	6	22	3.49650756146648	3.46573590279973	-2.489690875969	2.80336038090653	1.25276296849537	2.04510886259933	1.79175946922805	3.49210488681378
US014-6	17	K	control	RO001	25	nat		Tuesday, September 06, 2011	No	NA	66	59	0.305825025	31	9	32.2	64	NA	4.18965474202643	4.07753744390572	-1.18474215430306	3.43398720448515	2.19722457733622	3.47196645255036	4.15888308335967	-1.97814220957018
US014-7	19	K	drought	BG001	4	nat		Tuesday, September 06, 2011	No	NA	48	31	0.1168638	23	4	18.4	20	NA	3.87120101090789	3.43398720448515	-2.14674612484217	3.13549421592915	1.38629436111989	2.91235066461494	2.99573227355399	1.59503244927081
US014-8	10	D	control	BG001	4	nat		Tuesday, September 06, 2011	No	NA	70	65	0.357345625	30	7	37.9	136	NA	4.24849524204936	4.17438726989564	-1.02905182829021	3.40119738166216	1.94591014905531	3.63495111208838	4.91265488573605	-2.14182160793798
US015-6	8	F	control	CA009	27	inv		Tuesday, September 06, 2011	No	NA	62	55	0.267812875	37	5	46.9	148	NA	4.12713438504509	4.00733318523247	-1.31746676995765	3.61091791264422	1.6094379124341	3.84801767545223	4.99721227376411	-1.62894885455458
US017-1	12	I	drought	US001	30	inv		Tuesday, September 06, 2011	No	NA	93	84	0.61353495	44	5	50	198	NA	4.53259949315326	4.43081679884331	-0.488518048238639	3.78418963391826	1.6094379124341	3.91202300542815	5.28826703069454	-3.72118831263179
US017-2	19	G	drought	US001	7	inv		Tuesday, September 06, 2011	No	NA	66	65	0.336925875	35	8	24.8	100	NA	4.18965474202643	4.17438726989564	-1.08789232831315	3.55534806148941	2.07944154167984	3.21084365317094	4.60517018598809	-2.08283490465635
US017-3	14	I	control	US001	9	inv		Tuesday, September 06, 2011	No	NA	77	63	0.380985413	33	7	38.3	126	NA	4.34380542185368	4.14313472639153	-0.964994190677606	3.49650756146648	1.94591014905531	3.6454498961866	4.83628190695148	-2.4307746485291
US017-4	5	S	drought	US001	4	inv		Tuesday, September 06, 2011	No	NA	58	55	0.250534625	28	6	22.2	61	NA	4.06044301054642	4.00733318523247	-1.38415814445632	3.3322045101752	1.79175946922805	3.10009228887823	4.11087386417331	-0.798993869014247
US017-5	13	J	control	US001	29	inv		Tuesday, September 06, 2011	No	NA	61	56	0.2682841	33	7	40.6	102	NA	4.11087386417331	4.02535169073515	-1.31570878532675	3.49650756146648	1.94591014905531	3.70376806660769	4.62497281328427	-1.68929409257356
US017-6	10	J	control	US001	14	inv		Tuesday, September 06, 2011	No	NA	68	67	0.35781685	30	7	43.5	166	NA	4.21950770517611	4.20469261939097	-1.02773401566814	3.40119738166216	1.94591014905531	3.77276093809464	5.11198778835654	-2.22434785630489
US017-7	6	J	control	US001	9	inv		Tuesday, September 06, 2011	No	NA	75	69	0.406431563	35	6	40.2	142	NA	4.31748811353631	4.23410650459726	-0.900339720871419	3.55534806148941	1.79175946922805	3.69386699562498	4.95582705760126	-2.53355138032294
US017-8	4	J	control	US001	30	inv		Tuesday, September 06, 2011	No	NA	51	47	0.188254388	28	5	21.9	56	NA	3.93182563272433	3.85014760171006	-1.66996110314484	3.3322045101752	1.6094379124341	3.08648663682246	4.02535169073515	-0.00146817028710615
US017-9	2	F	control	US001	7	inv		Tuesday, September 06, 2011	No	NA	66	65	0.336925875	5	6	26.1	126	33	4.18965474202643	4.17438726989564	-1.08789232831315	1.6094379124341	1.79175946922805	3.26193531432865	4.83628190695148	0.839970971871876
US018-2	3	P	control	BG001	4	nat	Friday, July 15, 2011	Friday, July 15, 2011	Yes	15	42	40	0.131943	20	6.5	9.5	19	52	3.73766961828337	3.68887945411394	-2.0253852678379	2.99573227355399	1.87180217690159	2.2512917986065	2.94443897916644	1.5184216644704
US018-3	16	G	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	35	35	0.096208438	20	4.5	19.8	26	NA	3.55534806148941	3.55534806148941	-2.34123821205933	2.99573227355399	1.50407739677627	2.98568193770049	3.25809653802148	2.09801938730737
US018-4	15	H	drought	BG001	25	nat		Tuesday, September 06, 2011	No	NA	50	47	0.184563125	25	5	30.8	62	NA	3.91202300542815	3.85014760171006	-1.689763733097	3.2188758248682	1.6094379124341	3.42751468997953	4.12713438504509	-0.00882817062201802
US018-5	15	D	drought	BG001	5	nat		Tuesday, September 06, 2011	No	NA	47	44	0.16241555	21	4	26.4	NA	NA	3.85014760171006	3.78418963391826	-1.81759710460689	3.04452243772342	1.38629436111989	3.27336401015227	NA	0.809456979832416
US018-7	6	S	control	BG001	4	nat		Tuesday, September 06, 2011	No	NA	40	37	0.1162355	19	6	27.8	NA	NA	3.68887945411394	3.61091791264422	-2.15213697347705	2.94443897916644	1.79175946922805	3.32503602069659	NA	1.27878493334187
US018-9	17	I	control	BG001	25	nat		Tuesday, September 06, 2011	No	NA	63	57	0.282028163	28	3.5	36.3	104	NA	4.14313472639153	4.04305126783455	-1.26574834423625	3.3322045101752	1.25276296849537	3.5918177412708	4.64439089914137	-0.8733262042091
US019-2	13	B	control	CA010	1	inv		Tuesday, September 06, 2011	No	NA	68	66	0.3524763	32	7	44.9	180	NA	4.21950770517611	4.18965474202643	-1.04277189303268	3.46573590279973	1.94591014905531	3.80443779474821	5.19295685089021	-2.30138839928462
US019-4	3	G	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	29	29	0.066050038	16	4	17.3	16	NA	3.36729582998647	3.36729582998647	-2.71734267269224	2.77258872223978	1.38629436111989	2.85070650150373	2.77258872223978	3.42005500564861
US019-5	8	N	control	CA010	5	inv		Tuesday, September 06, 2011	No	NA	51	50	0.200270625	27	5	50	88	NA	3.93182563272433	3.91202300542815	-1.60808570208274	3.29583686600433	1.6094379124341	3.91202300542815	4.47733681447821	-0.587803324194978
US019-6	8	S	control	CA010	4	inv		Tuesday, September 06, 2011	No	NA	70	64	0.351848	32	7.5	46	154	NA	4.24849524204936	4.15888308335967	-1.04455601482618	3.46573590279973	2.01490302054226	3.8286413964891	5.03695260241363	-2.38000097423003
US019-7	2	B	control	CA010	3	inv		Tuesday, September 06, 2011	No	NA	54	51	0.216292275	27	9	31.5	98	NA	3.98898404656427	3.93182563272433	-1.53112466094661	3.29583686600433	2.19722457733622	3.44998754583159	4.58496747867057	-1.01069886374892
US019-8	17	T	control	CA010	3	inv		Tuesday, September 06, 2011	No	NA	85	57	0.380514188	36	11.5	39.2	92	NA	4.44265125649032	4.04305126783455	-0.966231814596331	3.58351893845611	2.4423470353692	3.66867674679642	4.52178857704904	-3.03065755463002
