Pop	tagged	Row	Column	Trt	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	m1.comments	Shoot.mass.gH	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	m2.comment	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	comments	bio19	bio4	bio7	Latitude	Longitude	PC1	PC2	PC3	PC4
18	SERG	SERG-6	13	T	control	19	sk	4/15/2011		1 LF	4/27/2011	7	2.9	2.1	14	EATEN	78	20.5	14	11.6	4		NA	117	No	NA	NA	NA	NA	NA	60	50	0.2356125	NA	27	5.5	24.2		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
19	SERG	SERG-2	3	D	control	21	sk	4/15/2011		1 LF	4/27/2011	9	7.5	2.2	13		18	30.4	25	16	4.2		50	50	Yes	32	NA	NA	NA	NA	40	40	0.12566	88	21	4	20.51	bolt date missed	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
20	SERG	SERG-8	18	S	control	24	sk	4/15/2011			4/27/2011	8	6	2.1	14	EATEN	48	25.4	12	13.1	5.6		NA	117	No	NA	NA	NA	NA	NA	50	29	0.113879375	NA	24	7.5	28.1		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
21	SERG	SERG-4	17	M	control	21	sk	4/15/2011		1 LF	4/27/2011	11	6.6	2.5	14		6	28.5	56	13.2	7.4	BROKE LF	39	42	Yes	21	NA	NA	NA	NA	28	27	0.05937435	55	16	3	9.47		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
22	SERG	US013-9	17	Q	control	24	sk	4/15/2011		2 LF	4/29/2011	9	5	1.4	14		60	26	22	13.5	4.6		NA	117	No	NA	NA	NA	NA	NA	53	42	0.174824475	NA	23	7	22.5		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
23	SERG	SERG-7	12	U	drought	24	sk	4/15/2011		1 LF	4/27/2011	11	4.9	1.5	12		98	26.5	28	13.7	4.6		NA	117	No	NA	NA	NA	NA	NA	57	46	0.205925325	NA	31	6	30.8		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
24	SERG	US015-2	13	C	control	19	sk	4/15/2011		1 LF	4/29/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
25	SERG	SERG-9	15	M	drought	16	sk	4/15/2011		1 LF	4/27/2011	9	6.2	2.4	12		12	23.7	21	12.4	4.8		50	50	Yes	13	NA	NA	NA	NA	34	34	0.09078935	56	17	7	15.47	bolt date missed	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
26	SERG	US015-4	14	U	control	16	sk	4/15/2011			4/29/2011	7	4.8	1.3	14		16	24.4	14	12.4	5.7		50	50	Yes	18.5	NA	NA	NA	NA	40	37	0.1162355	42	20	9	14.81		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
27	SERG	US015-1	12	T	drought	16	sk	4/15/2011		1 LF	4/29/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
28	SERG	US015-7	14	C	control	19	sk	4/15/2011		1 LF	4/29/2011	9	4.9	1.5	14		10	22.3	58	11.6	5.2		39	42	Yes	16	NA	NA	NA	NA	27	24	0.0508923	52	16.5	4.5	9.12		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
29	SERG	US015-3	10	H	control	19	sk	4/15/2011		1 LF	4/29/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
30	SERG	US015-9	17	C	control	23	sk	4/15/2011		1 LF	4/29/2011	4	0.8	0.6	14		22	7.2	7	5	2.2		NA	117	No	NA	NA	NA	NA	NA	44	38	0.1313147	NA	22	6	17.2		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
31	SERG	US015-5	16	T	drought	16	sk	4/15/2011		1 LF	4/29/2011	6	3.2	1.2	12	EATEN	32	18.2	17	10.5	3.7		88	92	Yes	35	33	32	NA	NA	21	24	0.0395829	142	17	5	32.15		93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
32	SERG	US015-8	12	C	drought	16	sk	4/15/2011		1 LF	4/29/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	7612	346	43.17516667	22.66693333	1.58979259808942	4.444249497086	0.559469076632323	1.44265601411834
