Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
UA008-6	5	E	drought	RO005	20	nat	5	4.3	0.9	5/24/2011	black	1.45861502269952	-0.105360515657826	2.23606797749979	1.6950111674587
UA008-7	15	T	drought	RO005	29	nat	6	5.5	1.6	5/24/2011	black	1.70474809223843	0.470003629245736	2.44948974278318	0.442244493314543
US014-1	19	C	drought	BG001	4	nat	8	6.2	1.8	5/24/2011	black	1.82454929205105	0.587786664902119	2.82842712474619	-0.180974895635922
US014-3	9	G	control	RO001	25	nat	6	4.1	0.9	5/25/2011	black	1.41098697371026	-0.105360515657826	2.44948974278318	1.59562684495351
US014-4	14	F	control	BG001	4	nat	12	6.5	1.2	5/26/2011	black	1.87180217690159	0.182321556793955	3.46410161513775	-0.242739679530867
US014-5	12	E	drought	BG001	4	nat	7	7.8	1.6	5/24/2011	black	2.05412373369555	0.470003629245736	2.64575131106459	-0.223383349943663
US014-6	17	K	control	RO001	25	nat	4	2.5	0.8	5/26/2011	black	0.916290731874155	-0.22314355131421	2	2.82223348276925
US014-7	19	K	drought	BG001	4	nat	7	5.2	1.2	5/24/2011	black	1.64865862558738	0.182321556793955	2.64575131106459	0.730972977416604
US014-8	10	D	control	BG001	4	nat	6	4.8	1.1	5/25/2011	black	1.56861591791385	0.0953101798043249	2.44948974278318	1.11277852941076
US018-2	3	P	control	BG001	4	nat	6	8.4	4.3	5/25/2011	black	2.12823170584927	1.45861502269952	2.44948974278318	-1.42084691890148
US018-3	16	G	drought	BG001	5	nat	8	4.5	1	5/24/2011	black	1.50407739677627	0	2.82842712474619	1.02705784178142
US018-4	15	H	drought	BG001	25	nat	8	7.2	2.1	5/24/2011	black	1.97408102602201	0.741937344729377	2.82842712474619	-0.593431853422906
US018-5	15	D	drought	BG001	5	nat	8	7.1	1.2	5/24/2011	black	1.96009478404727	0.182321556793955	2.82842712474619	0.1315106421792
US018-7	6	S	control	BG001	4	nat	9	8.2	2.1	5/25/2011	black	2.10413415427021	0.741937344729377	3	-0.91919344596424
US018-9	17	I	control	BG001	25	nat	8	8.7	1.6	5/26/2011	black	2.16332302566054	0.470003629245736	2.82842712474619	-0.527476850603169
US020-2	8	J	control	TR001	22	nat	9	7.9	2.5	5/25/2011	black	2.06686275947298	0.916290731874155	3	-1.08425642235926
US020-7	16	K	drought	TR001	22	nat	5	6.3	1.1	5/24/2011	black	1.84054963339749	0.0953101798043249	2.23606797749979	0.884562328579431
US022-1	13	O	control	TR001	18	nat	9	7.1	1.5	5/26/2011	black	1.96009478404727	0.405465108108164	3	-0.285228595390861
US022-2	17	O	control	TR001	20	nat	8	7.2	1.3	5/26/2011	black	1.97408102602201	0.262364264467491	2.82842712474619	0.0103156743789296
US022-3	18	O	control	TR001	25	nat	8	9.2	2.2	5/26/2011	black	2.21920348405499	0.78845736036427	2.82842712474619	-1.01000080194993
US022-4	10	C	control	TR001	25	nat	7	7.1	1.2	5/25/2011	black	1.96009478404727	0.182321556793955	2.64575131106459	0.276117555830866
US022-5	15	R	drought	TR001	17	nat	10	7.2	1.4	5/24/2011	black	1.97408102602201	0.336472236621213	3.16227766016838	-0.347258292492563
US022-6	16	F	drought	TR001	20	nat	7	7.1	1.2	5/24/2011	black	1.96009478404727	0.182321556793955	2.64575131106459	0.276117555830866
US022-7	10	B	control	GR002	11	nat	6	3.9	1.2	5/25/2011	black	1.3609765531356	0.182321556793955	2.44948974278318	1.30649678626268
US022-8	10	E	control	TR001	18	nat	7	6.1	1.2	5/25/2011	black	1.80828877117927	0.182321556793955	2.64575131106459	0.497831657121451
US022-9	19	E	drought	TR001	17	nat	6	3.7	0.8	5/24/2011	black	1.30833281965018	-0.22314355131421	2.44948974278318	1.89383444760016
US023-1	10	N	control	GR002	15	nat	7	5.4	2.1	5/25/2011	black	1.68639895357023	0.741937344729377	2.64575131106459	-0.0286625829183596
US023-2	9	C	control	GR002	21	nat	7	4.9	1	5/25/2011	black	1.58923520511658	0	2.64575131106459	1.04729098006449
US023-3	3	R	control	GR002	12	nat	8	8.9	1.8	5/25/2011	black	2.18605127673809	0.587786664902119	2.82842712474619	-0.708951924578393
US023-4	18	J	control	GR002	12	nat	9	7	1.5	5/26/2011	black	1.94591014905531	0.405465108108164	3	-0.264511803348433
US023-5	15	J	drought	GR001	2	nat	10	8.2	2.8	5/24/2011	black	2.10413415427021	1.02961941718116	3.16227766016838	-1.40982384428935
US023-6	8	E	control	GR002	24	nat	3	7.3	1.4	5/25/2011	black	1.98787434815435	0.336472236621213	1.73205080756888	0.764769798176678
US023-7	5	Q	drought	GR002	21	nat	6	6	1.5	5/24/2011	black	1.79175946922805	0.405465108108164	2.44948974278318	0.396412854248647
US023-8	18	P	control	GR002	24	nat	10	8.2	2.2	5/26/2011	black	2.10413415427021	0.78845736036427	3.16227766016838	-1.10621840521155
US023-9	5	L	drought	GR002	15	nat	10	8.1	2.2	5/24/2011	black	2.09186406167839	0.78845736036427	3.16227766016838	-1.0882978202469
US026-2	19	R	drought	GR001	19	nat	8	7.6	1.6	5/24/2011	black	2.02814824729229	0.470003629245736	2.82842712474619	-0.330052822813637
US026-3	13	N	control	GR001	19	nat	6	9.1	1.9	5/26/2011	black	2.2082744135228	0.641853886172395	2.44948974278318	-0.50950734590516
US026-6	4	F	drought	GR001	15	nat	8	7.6	1.6	5/24/2011	black	2.02814824729229	0.470003629245736	2.82842712474619	-0.330052822813637
US026-8	9	N	control	GR001	15	nat	9	9.4	2.8	5/25/2011	black	2.24070968927596	1.02961941718116	3	-1.48083403749494
US026-9	4	P	control	GR001	2	nat	9	9.9	2.4	5/25/2011	black	2.29253475714054	0.8754687373539	3	-1.36246057162163
