Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
TR003-8	15	S	drought	CA009	70	inv	8	8.2	1.6	5/24/2011	red	2.10413415427021	0.470003629245736	2.82842712474619	-0.441030950478505
UA003-1	5	G	drought	CA010	1	inv	9	7.3	2	5/24/2011	red	1.98787434815435	0.693147180559945	3	-0.687971654102426
UA003-2	3	I	control	CA010	1	inv	8	6.8	2.2	5/25/2011	red	1.91692261218206	0.78845736036427	2.82842712474619	-0.568516762033043
UA003-3	8	P	control	CA010	4	inv	12	8.1	2.3	5/25/2011	red	2.09186406167839	0.832909122935104	3.46410161513775	-1.3831844116468
UA003-4	19	O	drought	CA010	3	inv	4	2.2	0.7	5/24/2011	red	0.78845736036427	-0.356674943938732	2	3.17704160067695
UA003-5	5	J	drought	CA010	1	inv	8	7	2.1	5/24/2011	red	1.94591014905531	0.741937344729377	2.82842712474619	-0.552288024194814
UA003-6	16	H	drought	CA010	1	inv	10	6.6	2.4	5/24/2011	red	1.88706964903238	0.8754687373539	3.16227766016838	-0.898734642586479
UA003-7	5	N	drought	CA010	4	inv	6	8.4	3.2	5/24/2011	red	2.12823170584927	1.16315080980568	2.44948974278318	-1.04887902614329
UA003-9	9	J	control	CA010	1	inv	11	7	1.7	5/25/2011	red	1.94591014905531	0.53062825106217	3.3166247903554	-0.672724536742122
US001-1	9	O	control	US001	9	inv	9	8.6	2.8	5/25/2011	red	2.15176220325946	1.02961941718116	3	-1.35092540244403
US001-2	5	K	drought	US001	30	inv	9	10.6	2.4	5/24/2011	red	2.36085400111802	0.8754687373539	3	-1.46224146628547
US001-3	8	H	control	US001	30	inv	10	12.2	3.7	5/25/2011	red	2.50143595173921	1.30833281965018	3.16227766016838	-2.34096667879822
US001-4	6	C	control	US001	29	inv	15	7.4	2.7	5/25/2011	red	2.00148000021012	0.993251773010283	3.87298334620742	-1.77670977932846
US001-5	8	B	control	US001	4	inv	16	4.6	1.1	5/25/2011	red	1.52605630349505	0.0953101798043249	4	-0.0524529524364437
US001-6	14	J	control	US001	29	inv	22	8.7	3	5/26/2011	red	2.16332302566054	1.09861228866811	4.69041575982343	-2.79280704342143
US001-7	15	F	drought	US001	7	inv	7	6.6	1.6	5/24/2011	red	1.88706964903238	0.470003629245736	2.64575131106459	0.0206007027843408
US001-9	4	B	drought	US001	7	inv	1	6.9	1.5	5/24/2011	red	1.93152141160321	0.405465108108164	1	1.33971117900775
US002-1	19	N	drought	US002	15	inv	9	5.4	1.5	5/24/2011	red	1.68639895357023	0.405465108108164	3	0.114506724276355
US002-2	8	M	control	US002	10	inv	9	6.4	2.2	5/25/2011	red	1.85629799036563	0.78845736036427	3	-0.615791717629042
US002-3	3	L	control	US002	9	inv	5	5.5	1.5	5/25/2011	red	1.70474809223843	0.405465108108164	2.23606797749979	0.692439317372766
US002-6	10	O	control	US002	10	inv	8	9.5	1.9	5/25/2011	red	2.2512917986065	0.641853886172395	2.82842712474619	-0.872303004708652
US002-7	2	N	control	US002	9	inv	2	1.2	0.2	5/25/2011	red	0.182321556793955	-1.6094379124341	1.4142135623731	6.10315672543034
US002-8	3	O	control	US002	3	inv	7	8.1	1.6	5/25/2011	red	2.09186406167839	0.470003629245736	2.64575131106459	-0.278503451862184
US003-1	12	S	drought	US003	27	inv	8	6.2	1.6	5/24/2011	red	1.82454929205105	0.470003629245736	2.82842712474619	-0.0326946448851824
US003-4	16	R	drought	US003	25	inv	9	5.7	1.5	5/24/2011	red	1.7404661748405	0.405465108108164	3	0.0355410420431915
US003-5	17	J	control	US003	20	inv	24	6.4	1.8	5/26/2011	red	1.85629799036563	0.587786664902119	4.89897948556636	-1.86640179760813
US003-6	8	D	control	US003	7	inv	14	7.4	2.2	5/25/2011	red	2.00148000021012	0.78845736036427	3.74165738677394	-1.41493039044654
US003-8	8	R	control	US003	20	inv	7	6.1	1.2	5/25/2011	red	1.80828877117927	0.182321556793955	2.64575131106459	0.497831657121451
US012-1	10	F	control	US003	20	inv	5	5.1	1.2	5/25/2011	red	1.62924053973028	0.182321556793955	2.23606797749979	1.08364025878832
US012-5	5	B	drought	US003	27	inv	6	6	1.5	5/24/2011	red	1.79175946922805	0.405465108108164	2.44948974278318	0.396412854248647
US012-8	18	Q	control	US002	10	inv	12	8.8	2.1	5/26/2011	red	2.17475172148416	0.741937344729377	3.46410161513775	-1.3897157806092
US013-3	15	U	drought	US002	5	inv	5	3.3	1.6	5/24/2011	red	1.19392246847243	0.470003629245736	2.23606797749979	1.35725562682764
US013-4	15	L	drought	US002	9	inv	9	7.4	1.8	5/24/2011	red	2.00148000021012	0.587786664902119	3	-0.575201631976635
US013-5	9	K	control	US002	9	inv	9	7.5	1.3	5/25/2011	red	2.01490302054226	0.262364264467491	3	-0.185123012976607
US013-7	4	T	control	US002	9	inv	7	5.7	1.4	5/25/2011	red	1.7404661748405	0.336472236621213	2.64575131106459	0.402822731173225
US013-8	13	F	control	US002	9	inv	1	1	0.3	5/26/2011	red	0	-1.20397280432594	1	6.18688120051151
US015-6	8	F	control	CA009	27	inv	8	5.4	1.5	5/25/2011	red	1.68639895357023	0.405465108108164	2.82842712474619	0.250324506919657
US017-1	12	I	drought	US001	30	inv	9	8.1	2	5/24/2011	red	2.09186406167839	0.693147180559945	3	-0.839849603083912
US017-2	19	G	drought	US001	7	inv	10	7.1	1.6	5/24/2011	red	1.96009478404727	0.470003629245736	3.16227766016838	-0.494937538789214
US017-3	14	I	control	US001	9	inv	14	9.5	2.2	5/26/2011	red	2.2512917986065	0.78845736036427	3.74165738677394	-1.77978285792683
US017-4	5	S	drought	US001	4	inv	9	4.6	0.9	5/24/2011	red	1.52605630349505	-0.105360515657826	3	0.991780864532566
US017-5	13	J	control	US001	29	inv	8	9.1	2.2	5/26/2011	red	2.2082744135228	0.78845736036427	2.82842712474619	-0.994038792242893
US017-6	10	J	control	US001	14	inv	9	4	1	5/25/2011	red	1.38629436111989	0	3	1.06326328407149
US017-7	6	J	control	US001	9	inv	9	9	2.2	5/25/2011	red	2.19722457733622	0.78845736036427	3	-1.11371818581167
US017-8	4	J	control	US001	30	inv	1	6.5	1.2	5/25/2011	red	1.87180217690159	0.182321556793955	1	1.7078531346346
US017-9	2	F	control	US001	7	inv	9	6.8	1.7	5/25/2011	red	1.91692261218206	0.53062825106217	3	-0.379746502220987
US019-2	13	B	control	CA010	1	inv	12	9.1	2.7	5/26/2011	red	2.2082744135228	0.993251773010283	3.46410161513775	-1.7550625200263
