"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"164347462" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91 2.69984448230613 -6.30685357075428 3.22525233280236
"174504460" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148 0.124107962563454 2.45633372386875 0.740254820644165
"176910247" "176910247" 38.31639 -103.34917 "inv" 2000 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106 0.765178634231293 2.37355588570415 4.36180323147043
"176910249" "176910249" 39.28789 -102.98763 "inv" 1972 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186 -1.55424088675124 1.02919720656094 -2.01059463637569
"185840776" "185840776" 39.422 -104.9571 "inv" NA "US" 142 110 199 24 525 103 5 76 282 30 30 263 125 39 6888 295 -25 320 29 199 -3.3615455416706 -0.3350219699583 -1.26650214348558
"185840779" "185840779" 39.6467 -105.1551 "inv" NA "US" 994 82 165 7 235 33 10 38 93 33 45 84 162 47 6210 288 -55 343 11 162 -1.58523444224336 2.08332413040864 -1.02232591839598
"185840781" "185840781" 40.2669 -105.539 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -0.453254548599381 3.43665792161558 0.442473837647755
"185841559" "185841559" 39.6468 -104.8314 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -0.460780353036002 3.45152190362713 0.441590391731886
"185841852" "185841852" 40.42973 -105.34095 "inv" NA "US" 696 89 180 3 320 46 9 46 136 36 39 121 125 38 6933 280 -46 326 8 179 -1.29624969012481 1.13852123522157 -1.2943083222095
"199563807" "199563807" 49.64 6.14 "nat" 1948 "LU" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182 -1.3684841363718 0.887590967381462 -1.57906448420782
"20713174" "20713174" 59.18695 10.95151 "nat" 1905 "NO" 559 90 177 6 470 78 8 57 219 41 42 205 140 42 6704 288 -45 333 10 175 -2.10475747268011 0.269318337418398 -0.520010392496849
"20713176" "20713176" 58.15342 7.97459 "nat" 1893 "NO" 887 72 167 -18 769 105 25 39 303 96 111 285 127 37 7219 275 -66 341 -12 162 -0.629072043737252 -0.514788747246101 1.34154324533579
"20713184" "20713184" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192 -2.27724588585076 2.46616422151262 -2.03039772825828
"209943324" "209943324" 35.9829 -105.9237 "inv" 2004 "US" 1539 75 176 -18 227 25 9 25 69 39 48 59 175 44 7560 303 -93 396 105 170 -0.900445639568598 3.62895260004215 -1.24237387098268
"216492645" "216492645" 39.1 -104.8 "inv" 1997 "US" 1888 50 152 -47 334 39 16 27 107 54 66 96 178 43 7728 283 -130 413 -36 148 -0.345580961299098 4.23284334277409 0.930184622248606
"216492992" "216492992" 38.594 -109.29 "inv" 1999 "US" 2311 55 163 -55 412 45 23 18 129 88 111 88 179 41 8475 277 -154 431 157 95 0.922363248385225 4.02119770283511 0.898186826178319
"216493121" "216493121" 47.332 -116.663 "inv" 1949 "US" 1145 42 130 -45 1211 199 36 57 569 124 124 518 104 34 6882 212 -89 301 -38 130 -0.828184395996977 -2.24327798431825 5.63156064377624
"216493128" "216493128" 41.906 -118.964 "inv" 1978 "US" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193 -1.51573815540639 2.18186377582744 -2.40997966536533
"216493161" "216493161" 41.919 -115.424 "inv" 1985 "US" 1139 60 150 -26 717 98 18 44 289 77 88 268 133 39 6887 262 -76 338 -20 148 -1.00327150525102 0.572522838587673 1.92502921539723
"216493162" "216493162" 41.39 -82.551 "inv" 1998 "US" 942 61 166 -46 412 68 11 52 190 47 53 171 122 33 8299 265 -98 363 -39 163 -0.449883420651299 2.24781000381672 0.595737190973132
"217906593" "217906593" 38.1 -3.1 "nat" NA "ES" 421 90 188 -8 256 42 6 53 118 27 32 109 141 39 7621 292 -64 356 -3 183 -1.57727981795242 2.12780740441049 -1.63757360414599
"217911153" "217911153" 38.1 -3.1 "nat" NA "ES" 1084 45 151 -65 475 76 21 45 206 71 77 190 130 34 8413 250 -124 374 -57 146 0.324199289238327 2.54686508827885 1.86486649018955
"217911777" "217911777" 38.1 -3.1 "nat" NA "ES" 1043 52 148 -43 765 135 15 64 380 69 70 349 115 34 7481 240 -91 331 -37 146 -1.30185722142833 0.405597388348947 2.98043340578723
"224897438" "224897438" 41 -124 "inv" NA "US" 3 110 174 51 945 149 20 58 434 85 85 393 86 38 4893 239 16 223 55 174 -2.54600663019953 -4.39427653778817 0.767818993812345
"224897443" "224897443" 39 -120 "inv" NA "US" 741 74 178 -26 624 88 24 39 251 83 98 226 127 35 7957 284 -74 358 -20 171 -0.577677254482195 0.791529497386872 0.456980001595756
"224897455" "224897455" 39 -120 "inv" NA "US" 67 97 154 42 583 88 18 46 247 72 72 226 89 41 4454 220 6 214 45 154 -1.20141031885007 -2.88542077358688 0.110599485848377
"224897484" "224897484" 38 -120 "inv" NA "US" 127 120 221 21 211 31 5 43 86 24 27 78 130 37 7748 320 -29 349 26 214 -1.92481666965966 1.37192900286787 -3.77981525339011
"224897620" "224897620" 40 -122 "inv" NA "US" 1999 93 194 -3 378 74 9 72 193 29 193 29 167 43 7701 288 -96 384 194 -3 -0.963093786443905 2.35581179139289 -0.602882930493059
"224897634" "224897634" 38 -120 "inv" NA "US" 1293 111 234 -10 314 61 7 65 150 22 142 22 181 40 9450 339 -111 450 209 -10 -1.21545552851326 3.62623478355996 -2.62424265016777
