"Pop" "Origin" "Latitude" "Longitude" "Row" "Column" "Trt" "Mom" "tagged" "Bolt.date" "BoltedatH" "MaxBoltHtH" "Rose.AreaH.m2" "CrownDiam.mm" "Shoot.mass.gH" "bolt.bin" "time" "m.date" "lfl" "lfw" "lfc" "rd" "alt" "PC1" "PC2" "PC3"
"15" "BG001" "nat" 43.3819444444444 28.4575 12 "B" "drought" 5 "RO003-2" NA "No" NA 0.239539375 21.1 56 0 1 13 4.4 0.5 9 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"16" "BG001" "nat" 43.3819444444444 28.4575 12 "E" "drought" 4 "US014-5" 42 "Yes" 6 0.0829356 7.73 6 1 1 17 7.8 1.6 7 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"17" "BG001" "nat" 43.3819444444444 28.4575 13 "U" "control" 2 "BG001-1" 92 "Yes" 23 0.2004277 41.3 74 1 1 13 6.2 2 10 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"18" "BG001" "nat" 43.3819444444444 28.4575 14 "F" "control" 4 "US014-4" 39 "Yes" 13.5 0.077752125 11.91 12 1 1 17 6.5 1.2 12 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"19" "BG001" "nat" 43.3819444444444 28.4575 14 "G" "control" 5 "RO003-1" NA "No" NA 0.11340815 19.2 26 0 1 13 4.2 1.2 5 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"20" "BG001" "nat" 43.3819444444444 28.4575 15 "D" "drought" 5 "US018-5" NA "No" NA 0.16241555 26.4 NA 0 1 17 7.1 1.2 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"21" "BG001" "nat" 43.3819444444444 28.4575 15 "H" "drought" 25 "US018-4" NA "No" NA 0.184563125 30.8 62 0 1 13 7.2 2.1 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"22" "BG001" "nat" 43.3819444444444 28.4575 15 "N" "drought" 5 "BG001-2" NA "No" NA 0.1922598 24.4 40 0 1 17 5.4 1.5 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"23" "BG001" "nat" 43.3819444444444 28.4575 16 "G" "drought" 5 "US018-3" NA "No" NA 0.096208438 19.8 26 0 1 13 4.5 1 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"24" "BG001" "nat" 43.3819444444444 28.4575 16 "I" "drought" 5 "RU001-2" NA "No" NA 0.079715563 13.4 8 0 1 17 4.2 0.7 4 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"25" "BG001" "nat" 43.3819444444444 28.4575 17 "I" "control" 25 "US018-9" NA "No" NA 0.282028163 36.3 104 0 1 13 8.7 1.6 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"26" "BG001" "nat" 43.3819444444444 28.4575 18 "E" "control" 4 "BG001-4" NA "No" NA 0.18849 32.9 74 0 1 17 7.2 2.1 9 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"27" "BG001" "nat" 43.3819444444444 28.4575 19 "C" "drought" 4 "US014-1" 39 "Yes" 21 0.061494863 9.74 5.5 1 1 13 6.2 1.8 8 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"28" "BG001" "nat" 43.3819444444444 28.4575 19 "K" "drought" 4 "US014-7" NA "No" NA 0.1168638 18.4 20 0 1 17 5.2 1.2 7 NA 61 0.930732145179002 1.19301447853028 2.95606253906668
"29" "BG001" "nat" 43.3819444444444 28.4575 9 "U" "control" 2 "RU001-1" NA "No" NA 0.408395 42.2 168 0 2 32 12.7 4.2 14 23.5 61 0.930732145179002 1.19301447853028 2.95606253906668
"30" "BG001" "nat" 43.3819444444444 28.4575 10 "D" "control" 4 "US014-8" NA "No" NA 0.357345625 37.9 136 0 2 31 12.4 1.2 14 23.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"31" "BG001" "nat" 43.3819444444444 28.4575 10 "K" "control" 5 "RO003-5" NA "No" NA 0.250220475 14.5 40 0 2 32 16.8 3.6 16 32.2 61 0.930732145179002 1.19301447853028 2.95606253906668
