gbifID	species	basisOfRecord	year	eventDate	countryCode	decimalLongitude	decimalLatitude	locality	genus	specificEpithet	collectionCode	institutionCode	datasetKey
1	1041320145	Centaurea diffusa	PRESERVED_SPECIMEN	2012	2012-09-06T22:00:00.000+0000	US	-104.92622	39.46236	Cherokee Ranch & Castle property. Ca. 2.6 miles NE of Sedalia and .6 miles due east of N. Daniels Park Road. Sedalia quad.	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
2	1041320850	Centaurea diffusa	PRESERVED_SPECIMEN	2012	2012-09-05T22:00:00.000+0000	US	-104.63886	39.31706	1250 Stage Run Trail, Chisholm subdivision, ca. 4 miles S of town of Elizabeth	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
3	1041321068	Centaurea diffusa	PRESERVED_SPECIMEN	2012	2012-09-07T22:00:00.000+0000	US	-104.91648	39.4659	Cherokee Ranch & Castle property, N of US 85 and Sedalia, and W of Daniels Park Rd. Just west of Daniels Park Road and north of private property on top of sandstone ridge.	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
4	918965084	Centaurea diffusa	PRESERVED_SPECIMEN	2009	2009-09-02T22:00:00.000+0000	US	-118.06294	44.6922	Baker County, Sumpter Valley , along State Highway 7 ca. 2.3 miles southeast of McEwen, where highway crosses over Deer Creek	Centaurea	diffusa	UBC	University of British Columbia	07fd0d79-4883-435f-bba1-58fef110cd13
5	727817614	Centaurea diffusa	PRESERVED_SPECIMEN	2009	2009-09-02T22:00:00.000+0000	US	-118.06294	44.6922	Baker County, Sumpter Valley , along State Highway 7 ca. 2.3 miles southeast of McEwen, where highway crosses over Deer Creek	Centaurea	diffusa	UBC	University of British Columbia	07fd0d79-4883-435f-bba1-58fef110cd13
6	1022548282	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-07-21T22:00:00.000+0000	US	-119.77778	38.80778	Eastern Sierra Nevada Mountains Carson River Road at its east junction with CA-88 and Diamond Valley Road	Centaurea	diffusa	VascularPlants	UCR	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
7	1022589258	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-07-04T22:00:00.000+0000	US	-119.74278	37.47389	Private property - Cold Springs Ranch. North side of Chowchilla Mountain Road south of two ponds used as water sources for the Oliver Fire.	Centaurea	diffusa	VascularPlants	CDA	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
8	1042743326	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-07-21T22:00:00.000+0000	US	-119.77778	38.80778	Eastern Sierra Nevada Mountains: Carson River Road at its east junction with CA-88 and Diamond Valley Road	Centaurea	diffusa	VascularPlants	SD	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
9	1022182581	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-07-04T22:00:00.000+0000	US	-119.75944	37.47389	Cold Springs Ranch (private property). North side of Chowchilla Mountain Road south of two ponds used as water sources for the Oliver fire	Centaurea	diffusa	VascularPlants	CHSC	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
10	216493443	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-07-31T22:00:00.000+0000	US	-111.318	41.506	Monte Cristo Range of the Wasatch Rangem near the back of Birch Creek Reservoir, 1.8 km (1.1 mi) from the Monte Cristo Highway (State Route 39), the turnoff for which is 12.2 km (7.6 mi) west of State Route 16, in the town of Woodruff	Centaurea	diffusa	Herbarium	NY	7133ff0a-f762-11e1-a439-00145eb45e9a
11	1041369992	Centaurea diffusa	PRESERVED_SPECIMEN	2008	2008-09-16T22:00:00.000+0000	US	-104.85655	39.75659	Denver, Bluff Lake Nature Center; garden area near path	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
12	441720897	Centaurea diffusa	PRESERVED_SPECIMEN	2007	2007-06-25T22:00:00.000+0000	US	-122.335	47.59833	Near Alaska Way South and South Jackson Street, Seattle.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
13	164347419	Centaurea diffusa	PRESERVED_SPECIMEN	2007	2007-06-25T22:00:00.000+0000	US	-122.335	47.59833	Near Alaska Way South and South Jackson Street, Seattle.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
14	164347423	Centaurea diffusa	PRESERVED_SPECIMEN	2007	2007-08-11T22:00:00.000+0000	US	-123.03167	48.47667	Puget Sound, San Juan Island.  About 0.7 km south of Rosler Road on Cattle Point Road.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
15	441720901	Centaurea diffusa	PRESERVED_SPECIMEN	2007	2007-08-11T22:00:00.000+0000	US	-123.03167	48.47667	Puget Sound, San Juan Island.  About 0.7 km south of Rosler Road on Cattle Point Road.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
16	126128853	Centaurea diffusa	PRESERVED_SPECIMEN	2006	2006-07-08T22:00:00.000+0000	US	-120.58787	47.44978	Wenatchee National Forest. 5 miles from U.S. Highway 97 on Forest Road 7200 about 2 miles south of Camas Meadows. (Camas Land).	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
17	441720893	Centaurea diffusa	PRESERVED_SPECIMEN	2006	2006-07-08T22:00:00.000+0000	US	-120.58787	47.44978	Wenatchee National Forest. 5 miles from U.S. Highway 97 on Forest Road 7200 about 2 miles south of Camas Meadows. (Camas Land).	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
18	441720885	Centaurea diffusa	PRESERVED_SPECIMEN	2006	2006-09-05T22:00:00.000+0000	US	-120.6983	47.09847	Across highway from Locust Grove Farm, 15021 North Thorp Highway.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
19	126128843	Centaurea diffusa	PRESERVED_SPECIMEN	2006	2006-09-05T22:00:00.000+0000	US	-120.6983	47.09847	Across highway from Locust Grove Farm, 15021 North Thorp Highway.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
20	441720927	Centaurea diffusa	PRESERVED_SPECIMEN	2005	2005-09-24T22:00:00.000+0000	US	-120.25333	47.54833	East side of Columbia River, Routes 2 and 97, 0.5 kilometers east of Turtle Rock.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
