Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
US013-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	67	64	0.3367688	NA	39	8	34.7		166
US013-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	77	68	0.41122235	NA	37	8	28.6		74
US013-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	53	42	0.174824475	NA	23	7	22.5		60
US014-1	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21	NA	NA	NA	NA	29	27	0.061494863	31	15.5	3.5	9.74		5.5
US014-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	50	48	0.18849	NA	26	6	29.3		52
US014-4	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	13.5	NA	NA	NA	NA	33	30	0.077752125	71	17	3	11.91		12
US014-5	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	6	NA	NA	NA	NA	33	32	0.0829356	22	16.5	3.5	7.73		6
US014-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	66	59	0.305825025	NA	31	9	32.2		64
US014-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	48	31	0.1168638	NA	23	4	18.4		20
US014-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	70	65	0.357345625	NA	30	7	37.9		136
US015-4	Friday, July 01, 2011	Friday, July 01, 2011	Yes	18.5	NA	NA	NA	NA	40	37	0.1162355	42	20	9	14.81		16
US015-5	Monday, August 08, 2011	Friday, August 12, 2011	Yes	35	33	32	NA	NA	21	24	0.0395829	142	17	5	32.15		32
US015-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	62	55	0.267812875	NA	37	5	46.9		148
US015-7	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	16	NA	NA	NA	NA	27	24	0.0508923	52	16.5	4.5	9.12		10
US015-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	44	38	0.1313147	NA	22	6	17.2		22
US017-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	93	84	0.61353495	NA	44	5	50		198
US017-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	66	65	0.336925875	NA	35	8	24.8		100
US017-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	77	63	0.380985413	NA	33	7	38.3		126
US017-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	58	55	0.250534625	NA	28	6	22.2		61
US017-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	61	56	0.2682841	NA	33	7	40.6		102
US017-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	68	67	0.35781685	NA	30	7	43.5		166
US017-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	75	69	0.406431563	NA	35	6	40.2		142
US017-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	51	47	0.188254388	NA	28	5	21.9		56
US017-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	66	65	0.336925875	33	5	6	26.1		126
US018-2	Friday, July 15, 2011	Friday, July 15, 2011	Yes	15	NA	NA	NA	NA	42	40	0.131943	52	20	6.5	9.5		19
US018-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	35	35	0.096208438	NA	20	4.5	19.8		26
US018-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	50	47	0.184563125	NA	25	5	30.8		62
US018-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	47	44	0.16241555	NA	21	4	26.4		NA
US018-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	40	37	0.1162355	NA	19	6	27.8		NA
US018-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	63	57	0.282028163	NA	28	3.5	36.3		104
US019-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	68	66	0.3524763	NA	32	7	44.9		180
US019-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	29	29	0.066050038	NA	16	4	17.3		16
US019-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	51	50	0.200270625	NA	27	5	50		88
US019-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	70	64	0.351848	NA	32	7.5	46		154
US019-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	51	0.216292275	NA	27	9	31.5		98
US019-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	85	57	0.380514188	NA	36	11.5	39.2		92
US019-9	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	32	NA	NA	NA	NA	48	39	0.1470222	36	25	6	14.4	no flow	26
US020-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	53	46	0.191474425	NA	24	9	22.3		58
US020-2	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	28.5	NA	NA	NA	NA	41	36	0.11592135	30	20.5	4.5	10.07		8
US020-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	46	0.19508715	NA	23	4.5	23.5		56
US020-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	68	61	0.32577355	NA	36	7	31.3		84
US020-7	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	15	NA	NA	NA	NA	30	25	0.058903125	10	17	5.5	5.64		4
US020-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	58	52	0.2368691	NA	30	8	27.1		44
US022-1	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	24	NA	NA	NA	NA	44	43	0.14859295	25	21.5	6.5	12.14		7.2
US022-2	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	25	21	17	11	NA	52	48	0.1960296	63	26	7	12.44		14
US022-3	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	32	NA	NA	NA	NA	36	34	0.0961299	13	20	3.5	10.97		7
US022-4	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	28	NA	NA	NA	NA	31	27	0.065735888	26	17	4	7.08		6
US022-5	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	31.5	NA	NA	NA	NA	38	36	0.1074393	32	20	3.5	10.07		8
US022-6	Friday, July 22, 2011	Friday, July 22, 2011	Yes	31	NA	NA	NA	NA	58	52	0.2368691	165	29	4	16.5		38
US022-7	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13.5	NA	NA	NA	NA	34	32	0.0854488	33	17.5	4.5	10.45		6.5
US022-8	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	8	NA	NA	NA	NA	38	34	0.10147045	13	20.5	4	7		3.9
US022-9	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	19	NA	NA	NA	NA	35	33	0.090710813	49	16.5	3.5	6.48		4
US023-1	Monday, June 27, 2011	Monday, June 27, 2011	Yes	6	NA	NA	NA	NA	42	41	0.135241575	19	22	8	9.35		6.2
US023-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	43	9	0.030394013	NA	21	6	18.3	improbable diameter measure?	34
US023-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	63	50	0.247393125	NA	30	7.5	32.4		50
US023-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	52	41	0.16744195	NA	30	3.5	40.1		28
US023-5	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	31.5	NA	NA	NA	NA	29	25	0.056939688	24	15.5	4	9.06		8
US023-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	33	32	0.0829356	NA	18	4	13.3		NA
US023-7	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	8.5	NA	NA	NA	NA	41	38	0.122361425	13	22.5	5.5	7.51		4.2
US023-8	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	29	NA	NA	NA	NA	33	31	0.080343863	21	17.5	5	9.13		9
US023-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	40	35	0.1099525	NA	21	4	18.6		22
US026-2	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	45	36	0.12723075	16	23	5	6.65		6.7
US026-3	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	17.5	NA	NA	NA	NA	47.5	41.5	0.154817047	16	26	6	8.61		11
US026-6	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	30.5	NA	NA	NA	NA	41	38	0.122361425	23	20	6	10.78		6
US026-8	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	28	NA	NA	NA	NA	34	33	0.088119075	10	18.5	5	11.04		14
US026-9	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	41	NA	NA	NA	NA	34.5	34	0.092124488	14	17	6.5	10.27		10
