Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
EDGE-85	Friday, July 22, 2011	Friday, July 22, 2011	Yes	29	NA	NA	NA	NA	60	57	0.26859825	127	30	5	24.5		40
EDGE-86		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	53	48	0.1997994	NA	30	5	26.8		68
EDGE-87	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	46	45	0.162572625	46	23.5	4	8.27		10
EDGE-88	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	12.5	6	NA	NA	NA	35	34	0.093459625	25	19	5	8		3.4
EDGE-89		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	58	55	0.250534625	NA	28	5	38.9		74
EDGE-9	Monday, August 01, 2011	Monday, August 01, 2011	Yes	19	NA	NA	NA	NA	64	56	0.2814784	241	34	6	31.3	several rosettes	56
EDGE-91	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	14	NA	NA	NA	NA	48	46	0.1734108	42	25.5	3	8.36		7.8
EDGE-92		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	46	41	0.148121725	NA	19	5	19.4		32
GR001-1	Friday, July 22, 2011	Friday, July 22, 2011	Yes	23	NA	NA	NA	NA	22	21	0.036284325	26	12	4	8		4
GR001-2	Friday, July 01, 2011	Friday, July 01, 2011	Yes	21.5	NA	NA	NA	NA	33	31	0.080343863	14	20	7	14.8	bolt date missed	6
GR001-3	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	33	NA	NA	NA	NA	42	35	0.115450125	18	23	6.5	10.6		8.7
GR001-4	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	15	NA	NA	NA	NA	52	49	0.20011355	30	28	8	12.48		5
GR001-7	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	29	NA	NA	NA	NA	29	28	0.06377245	18	13.5	5	7.96		6
GR001-8	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	20	NA	NA	NA	NA	42	41.5	0.136890863	NA	23	9	9.25		5.7
GR001-9	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	22	NA	NA	NA	NA	42	41	0.135241575	52	21	3.5	11.58		12
GR002-2	Friday, July 15, 2011	Friday, July 22, 2011	Yes	20	NA	NA	NA	NA	26	24	0.0490074	25	13	5	8		4
GR002-4	Friday, July 01, 2011	Friday, July 01, 2011	Yes	9.5	NA	NA	NA	NA	43	40	0.1350845	24	21	5.5	16.55		23
GR002-7	Monday, June 27, 2011	Monday, June 27, 2011	Yes	6	NA	NA	NA	NA	41	35	0.112701313	38	20	3	9.16		8.5
GR002-8	Monday, July 04, 2011	Monday, July 04, 2011	Yes	12	NA	NA	NA	NA	43	30	0.101313375	60	22	6	9.61		10
GR002-9	Monday, June 27, 2011	Monday, June 27, 2011	Yes	14	9	8	NA	NA	38	32	0.0955016	42	19	7	11.17		NA
GR003-1	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	14	NA	NA	NA	NA	32	30	0.075396	20	18	5	7.01		3.4
GR003-5	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	23	NA	NA	NA	NA	53	47	0.195636913	17	27.5	5	9.16		12
GR003-7	Monday, July 04, 2011	Monday, July 04, 2011	Yes	29	NA	NA	NA	NA	37	30	0.087176625	41	18.5	4.5	8.76		8
HU001-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	60	54	0.2544615	NA	32	10	29		64
HU001-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	78	67	0.410436975	NA	33	6.5	31.5		82
HU001-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	80	61	0.383263	NA	42	5	30.9		116
HU001-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	67	58	0.305196725	NA	36.5	7	27.9		88
HU001-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	69	64	0.3468216	NA	37.5	6.5	18.5		52
HU001-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	98	96	0.7388808	NA	44	11	66.4		264
HU001-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	92	80	0.578036	NA	45	10	36.8		144
HU001-9	Friday, July 08, 2011	Tuesday, July 12, 2011	Yes	15	NA	NA	NA	NA	35	26	0.071469125	27	17.5	6	8.3		NA
RO001-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	72	60	0.339282	NA	32	8.5	34.7		80
RO001-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	74	60	0.3487065	NA	33	10	36.5		142
RO001-3	Monday, June 27, 2011	Monday, June 27, 2011	Yes	17	12.5	12.5	11	6.5	40	39	0.1225185	96	20	5	9		11.8
RO001-4	Monday, July 04, 2011	Monday, July 04, 2011	Yes	14	NA	NA	NA	NA	46	43	0.155347175	102	24	6	20.26		NA
RO001-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	76	69	0.41185065	NA	33	8	53.3		176
RO001-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	58	50	0.22775875	NA	28	8	41.5		60
RO001-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	78	74	0.45331845	NA	34	5	48.5		136
RO001-8	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	14	NA	NA	NA	NA	43	37	0.124953163	19	22.5	7	9.15		6
RO001-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	86	79	0.533583775	NA	44.5	7	47.7		170
RO002-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	54	50	0.21205125	NA	27	6	27.1		82
RO002-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	45	44	0.15550425	NA	24	7	15.1		28
RO002-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	52	51	0.20828145	NA	27	7	27.8		76
RO002-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	57	50	0.223831875	NA	27	6	23.3		44
RO002-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	61	49	0.234748588	NA	32	5	25.4		62
RO003-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	38	38	0.11340815	NA	19	4	19.2		26
RO003-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	61	50	0.239539375	NA	30	6	21.1		56
RO003-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	59	54	0.250220475	NA	28	4.5	14.5		40
RO003-6	Friday, July 01, 2011	Friday, July 01, 2011	Yes	14	NA	NA	NA	NA	36	34.5	0.097543575	57	19	5.5	11.9		6
RO003-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	34	31	0.082778525	NA	14	2.5	15		16
RO005-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	49	40	0.1539335	NA	23	5.5	37.4		54
RO005-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	56	52	0.2287012	NA	28	5	26.5		74
RO005-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	56	55	0.2418955	NA	29	5.5	27.3		72
RO005-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	63	52	0.25728885	NA	33	5.5	37.4		86
RU001-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	80	65	0.408395	NA	40	8	42.2		168
RU001-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	35	29	0.079715563	NA	18	4	13.4		8
RU001-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	110	95	0.820716875	NA	52	11	51		NA
