"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"40" "1041319658" 39.5478 -105.09638 "inv" 2000 "US" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82
"41" "1041320145" 39.46236 -104.92622 "inv" 2012 "US" 87 90 214 -39 522 61 30 21 161 107 158 137 83 23 9942 275 -81 356 198 19
"42" "1041320850" 39.31706 -104.63886 "inv" 2012 "US" 52 110 214 10 419 43 27 15 118 88 118 106 93 29 8001 283 -34 317 214 47
"43" "1041321068" 39.4659 -104.91648 "inv" 2012 "US" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85
"44" "1041346521" 39.49345 -105.09272 "inv" 1999 "US" 0 101 217 -13 428 51 25 21 138 85 133 96 89 26 9017 284 -57 341 197 -8
"45" "1041352458" 39.5478 -105.09638 "inv" 1981 "US" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193
"46" "1041353383" 39.5478 -105.09638 "inv" 1981 "US" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209
"47" "1041354053" 39.5478 -105.09638 "inv" 1981 "US" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179
"48" "1041356225" 39.36876 -104.86373 "inv" 1976 "US" 1313 109 217 8 139 18 7 25 48 26 32 32 180 43 8153 342 -74 416 144 211
"49" "1041356244" 39.25406 -104.88854 "inv" 1973 "US" 470 96 201 -10 218 31 7 39 86 25 31 77 130 35 8233 304 -62 366 -5 196
"50" "1041357140" 39.82732 -104.84098 "inv" 1986 "US" 2357 49 147 -41 464 62 15 41 172 55 170 55 172 44 7354 254 -130 384 124 -41
"51" "1041359104" 39.71404 -104.80303 "inv" 1991 "US" 1679 98 209 -4 410 69 13 50 175 42 150 42 155 39 8346 308 -89 397 183 -4
"52" "1041359484" 40.35681 -105.59448 "inv" 1991 "US" 432 109 206 18 449 58 12 39 171 50 57 154 128 37 7316 311 -32 343 23 201
"53" "1041359776" 39.76994 -105.35325 "inv" 1995 "US" 362 102 195 12 300 51 6 58 145 27 29 131 136 40 7127 301 -39 340 17 191
"54" "1041365556" 40.98352 -105.40019 "inv" 2000 "US" 1422 69 196 -55 348 65 9 60 165 31 131 31 155 35 9670 307 -134 441 166 -55
"55" "1041369992" 39.75659 -104.85655 "inv" 2008 "US" 1892 54 174 -58 332 56 14 46 143 43 96 43 153 36 9014 283 -139 422 93 -58
"56" "1041371584" 39.54385 -105.27328 "inv" 2004 "US" 1493 93 207 -17 354 62 8 56 157 27 128 27 162 39 8698 309 -106 415 183 -17
"57" "1041371994" 39.47672 -104.92311 "inv" 1961 "US" 1517 91 205 -17 357 63 8 57 159 27 130 27 161 39 8632 307 -105 412 181 -17
"58" "1041374251" 39.93158 -104.87229 "inv" 1976 "US" 860 103 231 -22 507 88 11 65 254 33 220 33 163 36 9750 329 -112 441 204 -22
"59" "1041374873" 39.405 -104.9972 "inv" 1943 "US" 1321 83 185 -10 251 29 9 26 78 40 50 65 171 43 7581 313 -83 396 115 178
"60" "1041738302" 59.19856 10.87356 "nat" 1905 "NO" 1591 44 156 -60 514 88 18 50 220 69 182 69 143 36 8440 257 -136 393 128 -60
"61" "1041738328" 58.1286 8.05735 "nat" 1905 "NO" 241 162 253 78 1024 195 5 80 514 29 29 512 147 42 6979 364 19 345 83 253
"62" "1042743326" 38.80778 -119.77778 "inv" 2008 "US" 1258 70 170 -27 285 34 11 32 99 39 46 97 160 41 7662 290 -92 382 -21 165
"63" "1045038462" 49.9775 6.96028 "nat" 1997 "DE" 1558 86 203 -25 359 62 6 67 178 22 156 22 171 39 8842 313 -115 428 176 -25
"64" "1046606659" 37.13717 -118.05363 "inv" 1988 "US" 339 104 214 -6 187 30 5 45 79 22 26 70 129 34 8516 312 -61 373 0 207
"65" "125533543" 39.27083 -103.70972 "inv" 2000 "US" 1720 45 148 -51 457 78 15 52 203 57 171 57 145 39 7778 249 -122 371 122 -51
"66" "126128833" 48.60556 -120.20111 "inv" 2004 "US" 188 119 217 25 226 34 5 45 94 24 28 85 131 38 7458 318 -23 341 30 211
"67" "126128843" 47.09847 -120.6983 "inv" 2006 "US" 1530 93 212 -20 390 70 7 69 195 24 182 24 170 39 8992 316 -111 427 185 -20
"68" "126128853" 47.44978 -120.58787 "inv" 2006 "US" 1591 127 233 25 245 46 7 54 113 27 90 47 184 44 8144 339 -70 409 227 164
"69" "164347419" 47.59833 -122.335 "inv" 2007 "US" 1056 58 156 -36 867 120 29 36 328 116 128 312 147 39 7466 276 -93 369 -28 151
"70" "164347423" 48.47667 -123.03167 "inv" 2007 "US" 1390 97 217 -18 345 62 7 61 162 25 136 25 170 38 9095 324 -112 436 191 -18
"71" "164347440" 48.06667 -123.06167 "inv" 2005 "US" 34 153 244 64 487 64 16 35 183 66 78 158 97 32 7046 313 19 294 80 240
"72" "164347447" 47.54833 -120.25333 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12
"73" "164347451" 45.71167 -121.655 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12
"74" "164347460" 47.70333 -122.09167 "inv" 2000 "US" 26 74 147 7 1273 161 58 31 452 194 271 296 46 22 5583 181 -21 202 87 91
"75" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91
"76" "164347463" 46.25667 -118.84667 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92
"77" "164347464" 47.77167 -120.97167 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92
"78" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148
"79" "176910247" 38.31639 -103.34917 "inv" 2000 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106
"80" "176910249" 39.28789 -102.98763 "inv" 1972 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186
"81" "176910251" 39.27083 -103.70972 "inv" 2000 "US" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182
"82" "176910253" 40.06444 -106.20583 "inv" 2004 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186
"83" "176910255" 45.306 -85.095 "inv" 1995 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106
"84" "176910258" 48.5905 -120.35481 "inv" 1978 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148
"85" "176910259" 48.5905 -120.35481 "inv" 1978 "US" 726 103 194 22 296 36 11 31 96 41 55 87 167 45 6746 321 -45 366 25 188
"86" "185840775" 40.1886 -105.1803 "inv" NA "US" 80 113 182 51 1112 196 12 68 550 66 71 507 116 44 5155 273 10 263 55 180
"87" "185840776" 39.422 -104.9571 "inv" NA "US" 142 110 199 24 525 103 5 76 282 30 30 263 125 39 6888 295 -25 320 29 199
"88" "185840778" 39.5001 -105.0537 "inv" NA "US" 1117 73 138 20 1346 236 10 71 674 61 75 616 123 48 4761 231 -25 256 24 136
"89" "185840779" 39.6467 -105.1551 "inv" NA "US" 994 82 165 7 235 33 10 38 93 33 45 84 162 47 6210 288 -55 343 11 162
"90" "185840781" 40.2669 -105.539 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"91" "185841559" 39.6468 -104.8314 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"92" "185841619" 40.1829 -105.3288 "inv" NA "US" 842 94 190 5 498 61 15 34 174 61 75 162 138 38 7251 305 -49 354 12 186
"93" "185841620" 39.9906 -105.4333 "inv" NA "US" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212
"94" "185841621" 40.9955 -103.9435 "inv" NA "US" 872 83 171 2 359 47 12 36 134 45 53 119 130 39 6668 277 -49 326 6 170
"95" "185841718" 40.0129 -105.2967 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180
