Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
US015-6	8	F	control	CA009	27	inv	28.2	16	15.2	4.7	3.33932197794407	2.72129542785223	1.54756250871601	4	-0.126742515368559
US017-1	12	I	drought	US001	30	inv	41.5	39	20.8	5.4	3.72569342723665	3.03495298670727	1.68639895357023	6.2449979983984	1.66316349322513
US017-2	19	G	drought	US001	7	inv	40.4	59	20.4	4.8	3.6988297849671	3.01553490085017	1.56861591791385	7.68114574786861	1.79221421325957
US017-3	14	I	control	US001	9	inv	45.8	82	24.4	4.4	3.82428409112014	3.19458313229916	1.48160454092422	9.05538513813742	2.47564168312047
US017-4	5	S	drought	US001	4	inv	21.2	19	10.8	4.2	3.05400118167797	2.37954613413017	1.43508452528932	4.35889894354067	-1.1321141812616
US017-5	13	J	control	US001	29	inv	39.2	17	21.7	6.5	3.66867674679642	3.07731226054641	1.87180217690159	4.12310562561766	1.36968169513548
US017-6	10	J	control	US001	14	inv	23.2	16	12.7	4	3.14415227867226	2.54160199346455	1.38629436111989	4	-0.905091940276245
US017-7	6	J	control	US001	9	inv	42	32	21.3	4.5	3.73766961828337	3.05870707271538	1.50407739677627	5.65685424949238	1.32532700088593
US017-8	4	J	control	US001	30	inv	21.5	19	11.8	2.9	3.06805293513362	2.46809953147162	1.06471073699243	4.35889894354067	-1.47368117776941
US017-9	2	F	control	US001	7	inv	34.1	54	19.2	6.1	3.52929738428947	2.95491027903374	1.80828877117927	7.34846922834953	1.69412218231461
US018-2	3	P	control	BG001	4	nat	30.7	15	19.7	5.5	3.42426265459315	2.98061863574394	1.70474809223843	3.87298334620742	0.579472316814226
US018-3	16	G	drought	BG001	5	nat	24.8	13	12.2	4.2	3.21084365317094	2.50143595173921	1.43508452528932	3.60555127546399	-0.903616514222003
US018-4	15	H	drought	BG001	25	nat	34.9	24	17.4	5.1	3.55248682920838	2.85647020622048	1.62924053973028	4.89897948556636	0.724333702493903
US018-5	15	D	drought	BG001	5	nat	28.1	30	13.9	4.6	3.3357695763397	2.63188884013665	1.52605630349505	5.47722557505166	0.0671268950005286
US018-7	6	S	control	BG001	4	nat	31.2	23	15.2	4.3	3.44041809481544	2.72129542785223	1.45861502269952	4.79583152331272	0.0967749985782823
US018-9	17	I	control	BG001	25	nat	45	19	23.2	5.9	3.80666248977032	3.14415227867226	1.77495235091167	4.35889894354067	1.6005229530784
US019-2	13	B	control	CA010	1	inv	31.5	42	17.1	4.5	3.44998754583159	2.83907846350861	1.50407739677627	6.48074069840786	0.773721809106075
US019-4	3	G	control	CA010	4	inv	27.1	18	15.2	5.2	3.29953372788566	2.72129542785223	1.64865862558738	4.24264068711928	0.0125405557782116
US019-5	8	N	control	CA010	5	inv	33.6	26	16.9	3.6	3.51452606696916	2.82731362192903	1.28093384546206	5.09901951359278	0.204181280865431
US019-6	8	S	control	CA010	4	inv	37.2	25	20.6	6.2	3.6163087612791	3.02529107579554	1.82454929205105	5	1.36742844502909
US019-7	2	B	control	CA010	3	inv	37.5	19	21.1	7.8	3.62434093297637	3.04927304048202	2.05412373369555	4.35889894354067	1.56665344911786
US019-8	17	T	control	CA010	3	inv	41.9	14	21.8	8.8	3.73528582692809	3.08190996979504	2.17475172148416	3.74165738677394	1.7866891570533
US020-2	8	J	control	TR001	22	nat	30.2	28	16.4	5.2	3.40784192438082	2.79728133483015	1.64865862558738	5.29150262212918	0.547472606396569
US020-7	16	K	drought	TR001	22	nat	28.7	9	15.5	4	3.35689712276558	2.7408400239252	1.38629436111989	3	-0.536992142966824
US022-1	13	O	control	TR001	18	nat	30.7	17	16.4	5.1	3.42426265459315	2.79728133483015	1.62924053973028	4.12310562561766	0.254642778447694
US022-2	17	O	control	TR001	20	nat	34.8	33	17.5	5.2	3.54961738678043	2.86220088092947	1.64865862558738	5.74456264653803	0.96540270475293
US022-3	18	O	control	TR001	25	nat	36.2	16	19	5.3	3.58905911883173	2.94443897916644	1.66770682055808	4	0.742383916726919
US022-4	10	C	control	TR001	25	nat	31	17	15.1	4.2	3.43398720448515	2.71469474382088	1.43508452528932	4.12310562561766	-0.121651697928549
US022-5	15	R	drought	TR001	17	nat	36.9	38	18	4.9	3.60821155104648	2.89037175789616	1.58923520511658	6.16441400296898	1.11786072321623
US022-6	16	F	drought	TR001	20	nat	31.2	23	17.5	4.8	3.44041809481544	2.86220088092947	1.56861591791385	4.79583152331272	0.464283865648785
US022-7	10	B	control	GR002	11	nat	17.7	22	9	2.5	2.87356463957978	2.19722457733622	0.916290731874155	4.69041575982343	-2.29315706604976
US022-8	10	E	control	TR001	18	nat	28.4	14	14.6	3.6	3.34638914516716	2.68102152871429	1.28093384546206	3.74165738677394	-0.603000387579392
US022-9	19	E	drought	TR001	17	nat	24.5	56	13.2	3.4	3.19867311755068	2.58021682959233	1.22377543162212	7.48331477354788	-0.120134030206075
US023-1	10	N	control	GR002	15	nat	29.2	14	15.4	4.6	3.37416870927424	2.73436750941958	1.52605630349505	3.74165738677394	-0.149372489818959
US023-2	9	C	control	GR002	21	nat	18.9	13	11.4	3.9	2.9391619220656	2.43361335540045	1.3609765531356	3.60555127546399	-1.50072416974638
US023-3	3	R	control	GR002	12	nat	39.5	17	19	4.1	3.67630067190708	2.94443897916644	1.41098697371026	4.12310562561766	0.552489523728513
US023-4	18	J	control	GR002	12	nat	32.6	16	17.4	3.4	3.48431228837266	2.85647020622048	1.22377543162212	4	-0.144198347391608
US023-5	15	J	drought	GR001	2	nat	31.5	30	16.1	4.8	3.44998754583159	2.77881927199042	1.56861591791385	5.47722557505166	0.517706860475557
US023-7	5	Q	drought	GR002	21	nat	38.7	12	20	4.5	3.65583960003574	2.99573227355399	1.50407739677627	3.46410161513775	0.564579618827327
US023-8	18	P	control	GR002	24	nat	33.1	23	17.1	6	3.49953328238302	2.83907846350861	1.79175946922805	4.79583152331272	0.814515037176367
US023-9	5	L	drought	GR002	15	nat	30.3	15	14.9	4.1	3.41114771251532	2.70136121295141	1.41098697371026	3.87298334620742	-0.269965451433516
US026-2	19	R	drought	GR001	19	nat	33.2	14	17.3	4.2	3.50254987592244	2.85070650150373	1.43508452528932	3.74165738677394	0.0939459717798974
US026-3	13	N	control	GR001	19	nat	33.8	14	22.1	5.2	3.52046080248897	3.09557760852371	1.64865862558738	3.74165738677394	0.788665016096276
US026-6	4	F	drought	GR001	15	nat	35.5	18	18.5	6	3.56953269648137	2.91777073208428	1.79175946922805	4.24264068711928	0.900364780471553
US026-8	9	N	control	GR001	15	nat	40.2	17	20.1	6.5	3.69386699562498	3.00071981506503	1.87180217690159	4.12310562561766	1.28687691939331
US026-9	4	P	control	GR001	2	nat	34.9	15	17.2	6.2	3.55248682920838	2.84490938381941	1.82454929205105	3.87298334620742	0.714849535094013
