Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
EDGE-55	5	C	drought	CA009	72	inv	17.1	19	9	3.4	2.83907846350861	2.19722457733622	1.22377543162212	4.35889894354067	-2.01052162686234
EDGE-6	9	H	control	RO005	30	nat	32.4	18	17.1	5.7	3.47815842279828	2.83907846350861	1.7404661748405	4.24264068711928	0.577065413934768
EDGE-70	9	L	control	GR001	15	nat	26.1	13	13.9	4.3	3.26193531432865	2.63188884013665	1.45861502269952	3.60555127546399	-0.595335647924085
EDGE-83	3	N	control	CA009	72	inv	17.4	13	10.2	3.3	2.85647020622048	2.32238772029023	1.19392246847243	3.60555127546399	-2.0182380462108
EDGE-9	18	U	control	CA008	7	inv	25.9	14	13.2	4.4	3.25424296870549	2.58021682959233	1.48160454092422	3.74165738677394	-0.62196247474662
GR001-1	9	Q	control	GR001	29	nat	2.5	5	1.7	1.2	0.916290731874155	0.53062825106217	0.182321556793955	2.23606797749979	-9.30663916800862
GR001-2	18	N	control	GR001	27	nat	25.6	14	16.8	6.5	3.24259235148552	2.82137888640921	1.87180217690159	3.74165738677394	0.262594262682419
GR001-3	2	K	control	GR001	2	nat	34.5	19	17.9	5	3.54095932403731	2.88480071284671	1.6094379124341	4.35889894354067	0.590872722634517
GR001-4	16	U	drought	GR001	19	nat	39.7	18	20.4	5.6	3.68135118769314	3.01553490085017	1.7227665977411	4.24264068711928	1.12056141364033
GR001-7	15	C	drought	GR001	2	nat	27.1	19	14.1	5.1	3.29953372788566	2.64617479738412	1.62924053973028	4.35889894354067	-0.101594585078953
GR001-8	5	D	drought	GR001	15	nat	24.2	13	16.6	6.4	3.18635263316264	2.8094026953625	1.85629799036563	3.60555127546399	0.108159928019535
GR001-9	14	E	control	GR001	25	nat	34	54	17.4	4.2	3.52636052461616	2.85647020622048	1.43508452528932	7.34846922834953	1.03342395145684
GR002-2	12	M	drought	GR002	21	nat	6.8	7	3.7	1.7	1.91692261218206	1.30833281965018	0.53062825106217	2.64575131106459	-6.08296554619337
GR002-4	18	T	control	GR002	12	nat	30.9	15	16.2	4.3	3.4307561839037	2.78501124223834	1.45861502269952	3.87298334620742	-0.0473608262644475
GR002-7	3	Q	control	GR002	27	nat	28.6	27	15	4	3.35340671782581	2.70805020110221	1.38629436111989	5.19615242270663	-0.0473409410084725
GR002-8	17	U	control	GR002	27	nat	27.2	16	14.4	4.2	3.30321697330195	2.66722820658195	1.43508452528932	4	-0.414588192303455
GR002-9	15	O	drought	GR002	27	nat	28.7	21	14.6	4.6	3.35689712276558	2.68102152871429	1.52605630349505	4.58257569495584	-0.0482950349657673
GR003-1	4	I	control	GR003	28	nat	16.2	13	10.4	3.5	2.78501124223834	2.34180580614733	1.25276296849537	3.60555127546399	-2.01169536220086
GR003-7	18	G	control	GR003	27	nat	22.4	21	12.4	3.5	3.10906095886099	2.51769647261099	1.25276296849537	4.58257569495584	-1.0282103249244
HU001-1	10	S	control	HU001	3	nat	19.2	11	11.5	3.2	2.95491027903374	2.4423470353692	1.16315080980568	3.3166247903554	-1.803047785083
HU001-2	14	R	control	HU001	4	nat	34.3	54	17.8	5.6	3.53514535417189	2.87919845729804	1.7227665977411	7.34846922834953	1.46945263812422
HU001-3	12	R	drought	HU001	5	nat	28.6	12	16.7	4	3.35340671782581	2.81540871942271	1.38629436111989	3.46410161513775	-0.310735387153152
HU001-4	3	C	control	HU001	6	nat	33	15	17.3	5.9	3.49650756146648	2.85070650150373	1.77495235091167	3.87298334620742	0.576267875628004
HU001-5	2	D	control	HU001	1	nat	12.5	6	12.5	1.6	2.52572864430826	2.52572864430826	0.470003629245736	2.44948974278318	-3.44245267502115
HU001-6	9	R	control	HU001	1	nat	45.2	60	22.8	7.7	3.81109708683819	3.1267605359604	2.04122032885964	7.74596669241483	2.78058799769122
HU001-7	12	G	drought	HU001	3	nat	34.3	15	18.3	5.3	3.53514535417189	2.90690105984738	1.66770682055808	3.87298334620742	0.574717885833848
HU001-9	9	E	control	HU001	2	nat	7.6	9	4.2	1.1	2.02814824729229	1.43508452528932	0.0953101798043249	3	-6.2246072830563
RO001-1	16	C	drought	RO001	11	nat	35.2	21	19	4.6	3.56104608260405	2.94443897916644	1.52605630349505	4.58257569495584	0.655698289321872
RO001-2	19	S	drought	RO001	11	nat	31.2	13	15.4	4.1	3.44041809481544	2.73436750941958	1.41098697371026	3.60555127546399	-0.242883524387126
RO001-3	17	H	control	RO001	29	nat	31.4	56	16.2	4.8	3.44680789291421	2.78501124223834	1.56861591791385	7.48331477354788	1.02120739777121
RO001-4	16	L	drought	RO001	27	nat	38.4	52	20.2	5.5	3.64805745959368	3.00568260440716	1.70474809223843	7.21110255092798	1.77051357105999
RO001-5	3	S	control	RO001	10	nat	39.1	21	20.7	6.3	3.66612246699132	3.03013370027132	1.84054963339749	4.58257569495584	1.36463727051304
RO001-6	17	F	control	RO001	27	nat	36.5	18	19.3	5.5	3.59731226058845	2.96010509591084	1.70474809223843	4.24264068711928	0.888895992370815
