Pop	LfCount2	LfLgth2	LfWidth2	Rosediam2	Origin	Latitude	Longitude	PC1
1	BG001	23.8571428571429	13.7214285714286	3.85714285714286	25.825	nat	43.3819444444444	28.4575	-1.72814732019819
2	CA001	36.5	17.2333333333333	4.91666666666667	31.8333333333333	inv	49.0149388888889	-122.882097222222	1.24757552409751
3	CA008	14	13.2	4.4	25.9	inv	49.0120833333333	-118.645711111111	-1.85175084647347
4	CA009	25.3888888888889	15.6611111111111	4.62222222222222	29.9555555555556	inv	49.2961027777778	-118.473830555556	-0.10601561011832
5	CA010	21.1034482758621	17.2689655172414	5.62068965517241	32.6103448275862	inv	49.3201805555556	-118.370436111111	1.20115635388059
6	GR001	18.6666666666667	16.64	5.10666666666667	30.46	nat	40.1566666666667	22.5480555555556	0.268374769333256
7	GR002	15.9285714285714	13.8071428571429	3.76428571428571	26.5285714285714	nat	40.6213888888889	23.0786111111111	-2.09296913295497
8	GR003	17	11.4	3.5	19.3	nat	40.8508333333333	25.7930555555556	-3.60215474539185
9	HU001	23.0666666666667	14.78	4.52666666666667	26.38	nat	47.6419444444444	18.7825	-0.886835409760171
10	RO001	23.7727272727273	17.1545454545455	4.63636363636364	31.9909090909091	nat	44.1102777777778	28.6369444444444	0.395499157327559
11	RO005	20	16.6888888888889	4.9	31.9888888888889	nat	45.4978611111111	27.9118055555556	0.330278257528655
12	RU008	34.5555555555556	18.4666666666667	4.96666666666667	34.4888888888889	nat	43.06000278	44.05	1.76912971937522
13	TR001	23.4444444444444	16.9666666666667	4.56666666666667	32.3888888888889	nat	41.7511111111111	27.2477777777778	0.318594584314312
14	UA004	32	22.2	4.8	44	nat	48.6460277777778	30.7750833333333	3.39307132424283
15	US001	35.8333333333333	17.6722222222222	4.81111111111111	33.7555555555556	inv	45.6152333333333	-120.787533333333	1.43319443150909
16	US002	15.1666666666667	16.6083333333333	4.00833333333333	30.8583333333333	inv	46.1822666666667	-118.82615	-0.802918627751811
17	US003	41.4	17.43	4.36	28.65	inv	46.60415	-116.64175	0.713917571039764
