gbifID	species	basisOfRecord	year	eventDate	countryCode	decimalLongitude	decimalLatitude	locality	genus	specificEpithet	collectionCode	institutionCode	datasetKey
1041319204	Centaurea diffusa	PRESERVED_SPECIMEN	1983	1983-08-19T22:00:00.000+0000	US	-105.18559	39.74706	S. Table Mt.; on mesatop near old road	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
60070453	Centaurea diffusa	UNKNOWN	1982	1982-07-20T22:00:00.000+0000	US	-111.83	41.56	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
1041352458	Centaurea diffusa	PRESERVED_SPECIMEN	1981	1981-07-05T22:00:00.000+0000	US	-105.09638	39.5478	"Chatfield Arboretum site, area 3C, Deer Creek stream bed near schoolhouse; growing by collection #464"	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
1041353383	Centaurea diffusa	PRESERVED_SPECIMEN	1981	1981-07-05T22:00:00.000+0000	US	-105.09638	39.5478	"Chatfield Arboretum site, area 3C, Deer Creek stream bed near schoolhouse; growing by collection #465"	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
1041354053	Centaurea diffusa	PRESERVED_SPECIMEN	1981	1981-07-05T22:00:00.000+0000	US	-105.09638	39.5478	"Chatfield Arboretum site, area 3E, north side of cement drive through of Deer Creek"	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
51793388	Centaurea diffusa	PRESERVED_SPECIMEN	1979	1979-06-24T23:00:00.000+0000	US	-121.3058	45.6853	"Columbia Gorge Plateau, 10 K. west of The Dalles."	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
1030499212	Centaurea diffusa	PRESERVED_SPECIMEN	1979	1979-08-27T23:00:00.000+0000	US	-83.71667	43.6	"Quanicassee Site, Field Unit QNC- 12"	Centaurea	diffusa	Vascular Plants	MSC	c01696db-a5fe-4d3a-8b26-90760604774b
216493128	Centaurea diffusa	PRESERVED_SPECIMEN	1978	1978-08-08T23:00:00.000+0000	US	-118.964	41.906	"Duffurena Grade, 4.1 air miles NE of Range HQ Duffurena Ranch"	Centaurea	diffusa	Herbarium	NY	7133ff0a-f762-11e1-a439-00145eb45e9a
60070295	Centaurea diffusa	UNKNOWN	1978	1978-08-08T23:00:00.000+0000	US	-118.96	41.9	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
176910259	Centaurea diffusa	PRESERVED_SPECIMEN	1978	1978-09-13T23:00:00.000+0000	US	-120.35481	48.5905	"Winthrop, 11 mi NW"	Centaurea	diffusa	KANU	KU	95c938a8-f762-11e1-a439-00145eb45e9a
176910258	Centaurea diffusa	PRESERVED_SPECIMEN	1978	1978-09-13T23:00:00.000+0000	US	-120.35481	48.5905	"Winthrop, 11 mi NW"	Centaurea	diffusa	KANU	KU	95c938a8-f762-11e1-a439-00145eb45e9a
60070254	Centaurea diffusa	UNKNOWN	1977	1977-08-22T23:00:00.000+0000	US	-119.81	39.52	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
415904179	Centaurea diffusa	PRESERVED_SPECIMEN	1976	1976-07-23T23:00:00.000+0000	US	-71.8	42.26666	Worcester	Centaurea	diffusa	CONN	UConn	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc
1041374251	Centaurea diffusa	PRESERVED_SPECIMEN	1976	1976-07-30T23:00:00.000+0000	US	-104.87229	39.93158	Adams County Nature Preserve	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
60070244	Centaurea diffusa	UNKNOWN	1976	1976-08-19T23:00:00.000+0000	US	-119.81	39.52	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
60070118	Centaurea diffusa	UNKNOWN	1976	1976-08-26T23:00:00.000+0000	US	-109.34	38.6	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
1041356225	Centaurea diffusa	PRESERVED_SPECIMEN	1976	1976-11-07T23:00:00.000+0000	US	-104.86373	39.36876	from roadside (I-25) just south of Castle Rock	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
441720169	Centaurea diffusa	PRESERVED_SPECIMEN	1975	1975-09-20T23:00:00.000+0000	US	-121.13333	48.76667	Ca 1 mile west of Diablo.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
70463083	Centaurea diffusa	PRESERVED_SPECIMEN	1975	1975-09-20T23:00:00.000+0000	US	-121.13333	48.76667	Ca 1 mile west of Diablo.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
1041356244	Centaurea diffusa	PRESERVED_SPECIMEN	1973	1973-07-29T23:00:00.000+0000	US	-104.88854	39.25406	I-25 from north of Castle Rock to Monument Hill	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
1020861541	Centaurea diffusa	PRESERVED_SPECIMEN	1972	1972-05-12T23:00:00.000+0000	US	-122.6107213	40.56688549	"Trinity National Forest. P. G. & E. pipeline access road, along South Fork Mountain Road (Road 4N12) 3.5 miles north of Highway 36 & South Fork Mountain Summit."	Centaurea	diffusa	VascularPlants	CDA	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
176910249	Centaurea diffusa	PRESERVED_SPECIMEN	1972	1972-07-06T23:00:00.000+0000	US	-102.98763	39.28789	Flagler Recreation Area	Centaurea	diffusa	KANU	KU	95c938a8-f762-11e1-a439-00145eb45e9a
51792737	Centaurea diffusa	PRESERVED_SPECIMEN	1971	1971-08-26T23:00:00.000+0000	US	-117.4286	45.4102	"On the bank of the Lostine River at the log bridge. About 5 miles south of Lostine, Oregon."	Centaurea	diffusa	ORE	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793231	Centaurea diffusa	PRESERVED_SPECIMEN	1971	1971-08-26T23:00:00.000+0000	US	-117.4286	45.4102	"Bank of the Lostine River at the log bridge. About 5 miles south of Lostine, Oregon."	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793186	Centaurea diffusa	PRESERVED_SPECIMEN	1967	1967-01-08T23:00:00.000+0000	US	-119.5526	45.3573	"Willow Creek, above Heppner."	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
1020861615	Centaurea diffusa	PRESERVED_SPECIMEN	1967	1967-08-14T23:00:00.000+0000	US	-121.9325265	41.94897027	"Butte Valley. West side of Highway 97 to Weed, 3 miles south of Macdoel."	Centaurea	diffusa	VascularPlants	CDA	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106
51793190	Centaurea diffusa	PRESERVED_SPECIMEN	1966	1966-08-27T23:00:00.000+0000	US	-117.3431	45.3746	Black Marble Quarry Road.	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793008	Centaurea diffusa	PRESERVED_SPECIMEN	1966	1966-08-27T23:00:00.000+0000	US	-117.3431	45.3746	Black Marble Quarry Road.	Centaurea	diffusa	ORE	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
924817534	Centaurea diffusa	PRESERVED_SPECIMEN	1964	1964-08-28T23:00:00.000+0000	US	-85.41639	44.89556	Elk Rapids	Centaurea	diffusa	Plants	KSTC	5325ba61-44e7-4d92-ac11-868b3294b3bb
924817466	Centaurea diffusa	PRESERVED_SPECIMEN	1964	1964-08-28T23:00:00.000+0000	US	-85.41639	44.89556	Elk Rapids	Centaurea	diffusa	Plants	KSTC	5325ba61-44e7-4d92-ac11-868b3294b3bb
924817442	Centaurea diffusa	PRESERVED_SPECIMEN	1963	1963-07-13T23:00:00.000+0000	US	-105.05917	39.38553	"Sedalia, 7 mi SW on Hwy 67"	Centaurea	diffusa	Plants	KSTC	5325ba61-44e7-4d92-ac11-868b3294b3bb
1041371994	Centaurea diffusa	PRESERVED_SPECIMEN	1961	1961-08-25T23:00:00.000+0000	US	-104.92311	39.47672	"roadside ditch, east side of Colo. Hwy. 177, cir, 0.45 mi. east & south from a point opposite the stone shelter house for Daniels Park"	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
51793095	Centaurea diffusa	PRESERVED_SPECIMEN	1960	1960-08-07T23:00:00.000+0000	US	-120.73	45.4842	"Moro, Oregon"	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793083	Centaurea diffusa	PRESERVED_SPECIMEN	1960	1960-08-04T23:00:00.000+0000	US	-119.5567	45.3533	"Heppner, in several city lots."	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793908	Centaurea diffusa	PRESERVED_SPECIMEN	1956	1956-10-31T23:00:00.000+0000	US	-121.1775	45.5947	The Dalles.	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793887	Centaurea diffusa	PRESERVED_SPECIMEN	1955	1955-06-03T23:00:00.000+0000	US	-120.6667	45.4167	NA	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793897	Centaurea diffusa	PRESERVED_SPECIMEN	1955	1955-08-17T23:00:00.000+0000	US	-120.73	45.4842	Near Moro	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
70463069	Centaurea diffusa	PRESERVED_SPECIMEN	1952	1952-06-25T23:00:00.000+0000	US	-119.98611	46.96004	Along causeway 1 mile north of Vantage Bridge over Columbia River.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
441720163	Centaurea diffusa	PRESERVED_SPECIMEN	1952	1952-06-25T23:00:00.000+0000	US	-119.98611	46.96004	Along causeway 1 mile north of Vantage Bridge over Columbia River.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
