"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1021948581" "1021948581" 34.2115 -117.07683 "inv" 1994 "US" 5 119 213 23 424 45 28 13 118 89 110 100 70 25 7457 260 -20 280 85 28 1.48123670682657 0.114086277549149 2.74953622922681
"1021986510" "1021986510" 34.21167 -117.07667 "inv" 1999 "US" 2 121 213 26 448 49 30 14 129 95 113 108 71 25 7361 261 -17 278 88 30 1.5492039953658 0.346043798700034 2.71558307180105
"1022124251" "1022124251" 34.2 -117.06667 "inv" 1999 "US" 18 116 213 16 418 46 27 15 123 85 116 94 75 25 7690 265 -27 292 193 23 1.50097149633397 -0.161521642107722 2.92216567498454
"1022182581" "1022182581" 37.47389 -119.75944 "inv" 2008 "US" 81 107 211 -7 483 68 27 29 171 88 163 95 95 28 8514 278 -54 332 195 6 1.06008830856382 -0.666520029865189 2.02391269046999
"1022393412" "1022393412" 38.31154707 -120.2766356 "inv" 2001 "US" 134 44 205 -129 342 39 19 20 106 62 106 72 116 24 13191 291 -189 480 205 -117 0.540871175652203 -6.50802522053403 0.226986374224425
"1022454156" "1022454156" 38.51734129 -120.4728428 "inv" 2000 "US" 41 174 285 61 200 30 3 54 79 12 12 74 119 33 8804 356 1 355 71 285 -4.18843573799121 0.554531541504011 5.60230296642573
"1022527660" "1022527660" 37.78965918 -120.1400258 "inv" 2002 "US" 141 9 158 -142 662 80 29 29 221 98 221 126 86 19 11565 233 -199 432 158 -61 2.90411487829974 -5.00352130989161 -2.45074599671456
"1022527929" "1022527929" 37.78965918 -120.1400258 "inv" 2002 "US" 224 100 219 -21 508 77 23 40 202 74 196 76 101 28 9354 290 -68 358 200 -11 0.587461902694244 -1.22251833440173 1.716601213237
"1022589258" "1022589258" 37.47389 -119.74278 "inv" 2008 "US" 253 130 221 39 612 77 25 30 217 88 100 194 105 34 7167 301 -5 306 56 217 -0.858178463660012 1.82641996082004 2.19404670245175
"1030499212" "1030499212" 43.6 -83.71667 "inv" 1979 "US" 6 144 225 65 726 120 23 48 308 83 83 235 75 30 6308 279 33 246 88 225 -0.331472745953246 4.15151326723431 2.29639545251701
