Tagged	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	m1.comments
TR003-6	12	8.4	2.8	5/25/2011	
SAND-6	8	9.9	1.9	5/25/2011	
RO003-2	9	4.4	0.5	5/24/2011	
RU001-4	9	6	1.6	5/24/2011	
US014-5	7	7.8	1.6	5/24/2011	
HU001-7	9	4.3	1.1	5/24/2011	
RU008-2	9	7.1	1.6	5/24/2011	
US017-1	9	8.1	2	5/24/2011	
CA001-7	9	5.2	1.9	5/24/2011	EATEN
CA009-9	14	9.8	1.7	5/24/2011	
CA001-8	12	5.1	1.6	5/24/2011	
GR002-2	3	1.4	0.3	5/24/2011	
CA010-9	9	7.3	2.2	5/24/2011	
CA010-7	15	7.9	1.7	5/24/2011	
UA008-3	8	4.9	1.2	5/24/2011	
HU001-3	7	5.5	1.1	5/24/2011	
US003-1	8	6.2	1.6	5/24/2011	EATEN
SERG-7	11	4.9	1.5	5/24/2011	
US019-2	12	9.1	2.7	5/26/2011	
CORY1-4	4	2.2	0.7	5/26/2011	
US013-8	1	1	0.3	5/26/2011	EATEN
EDGE-85				5/26/2011	
US017-5	8	9.1	2.2	5/26/2011	EATEN
US020-1	7	5.9	1	5/26/2011	
RU008-6	12	8.5	3.2	5/26/2011	
TR001-4	10	8.7	2.1	5/26/2011	
US026-3	6	9.1	1.9	5/26/2011	
US022-1	9	7.1	1.5	5/26/2011	
RO005-2	9	8.1	1.6	5/26/2011	
SERG-6	7	2.9	2.1	5/26/2011	EATEN
BG001-1	10	6.2	2	5/26/2011	
RO001-8	9	8.5	1.5	5/26/2011	
US015-7	9	4.9	1.5	5/26/2011	
CA008-8	14	7.4	2.6	5/26/2011	
GR001-9	10	5.4	1.7	5/26/2011	
US014-4	12	6.5	1.2	5/26/2011	LF MINER
RO003-1	5	4.2	1.2	5/26/2011	
US017-3	14	9.5	2.2	5/26/2011	
US001-6	22	8.7	3	5/26/2011	
TR004-7	11	8.9	2.6	5/26/2011	
SAND-1	22	7.5	2.9	5/26/2011	
RU008-3	5	2.9	0.9	5/26/2011	
TR004-3	10	6.8	1.7	5/26/2011	
HU001-2	16	6.6	1.8	5/26/2011	
SAND-3	14	6.6	1.8	5/26/2011	
US015-4	7	4.8	1.3	5/26/2011	
RU008-1	14	5.3	1.5	5/24/2011	EATEN
GR001-7	7	7.5	1.5	5/24/2011	
US018-5	8	7.1	1.2	5/24/2011	
SAND-8	8	7.2	2	5/24/2011	
US001-7	7	6.6	1.6	5/24/2011	EATEN
US018-4	8	7.2	2.1	5/24/2011	
US020-8	8	4.1	1.5	5/24/2011	
US023-5	10	8.2	2.8	5/24/2011	
RO002-7	5	2.3	0.8	5/24/2011	
US013-4	9	7.4	1.8	5/24/2011	
SERG-9	9	6.2	2.4	5/24/2011	
BG001-2	8	5.4	1.5	5/24/2011	EATEN
GR002-9	11	9	3.2	5/30/2011	"missed, measured later"
US019-9	8	6.2	1.6	5/24/2011	
US022-5	10	7.2	1.4	5/24/2011	
TR003-8	8	8.2	1.6	5/24/2011	
UA008-7	6	5.5	1.6	5/24/2011	
US013-3	5	3.3	1.6	5/24/2011	
SERG-3	10	3.8	1.5	5/24/2011	
RO001-1	9	6.6	1.5	5/24/2011	
SAND-2	13	5.9	1.6	5/24/2011	EATEN
US022-6	7	7.1	1.2	5/24/2011	
US018-3	8	4.5	1	5/24/2011	EATEN
UA003-6	10	6.6	2.4	5/24/2011	
RU001-2	4	4.2	0.7	5/24/2011	
TR001-5	8	6.7	1.8	5/24/2011	
US020-7	5	6.3	1.1	5/24/2011	
RO001-4	18	6.5	1.6	5/24/2011	EATEN
UA006-4	5	5.6	0.9	5/24/2011	
RU008-9	15	8.6	1.9	5/24/2011	
US003-4	9	5.7	1.5	5/24/2011	
CA009-7	10	8.2	2.2	5/30/2011	"missed, measured later"
US015-5	6	3.2	1.2	5/24/2011	EATEN
GR001-4	9	7.5	2.3	5/24/2011	EATEN
US015-9	4	0.8	0.6	5/26/2011	
GR003-5	6	7.8	2.6	5/26/2011	
RO001-6	8	8.2	2.4	5/26/2011	EATEN
RO001-7	21	8.3	1.5	5/26/2011	
RO001-3	11	6.4	2.8	5/26/2011	
US018-9	8	8.7	1.6	5/26/2011	
US003-5	24	6.4	1.8	5/26/2011	EATEN
US014-6	4	2.5	0.8	5/26/2011	
SERG-4	11	6.6	2.5	5/26/2011	
US022-2	8	7.2	1.3	5/26/2011	
CA009-5	10	9.1	2.3	5/26/2011	
US013-9	9	5	1.4	5/26/2011	
RO005-5	9	6.1	1.3	5/26/2011	
US019-8	8	8.2	2.3	5/26/2011	
GR002-8	6	5.8	0.8	5/26/2011	
UA006-9	9	7.9	2.1	5/26/2011	
BG001-4	9	7.2	2.1	5/26/2011	
GR003-7	12	4.8	1.5	5/26/2011	
TR001-6	14	8.4	2.3	5/26/2011	
RO005-1	16	6.2	2.2	5/26/2011	EATEN
US023-4	9	7	1.5	5/26/2011	EATEN
RU001-9	3	1.7	0.5	5/26/2011	
CORY2-6	1	6	1.7	5/26/2011	EATEN
GR001-2	8	8.1	2	5/26/2011	
US022-3	8	9.2	2.2	5/26/2011	
US023-8	10	8.2	2.2	5/26/2011	
US012-8	12	8.8	2.1	5/26/2011	
SERG-8	8	6	2.1	5/26/2011	EATEN
GR002-4	8	8.4	1.7	5/26/2011	
EDGE-9	6	4.1	1.1	5/26/2011	
CORY2-9	20	6.9	1.4	5/24/2011	
US014-1	8	6.2	1.8	5/24/2011	
US022-9	6	3.7	0.8	5/24/2011	
SAND-5	13	8.8	2.2	5/24/2011	
US017-2	10	7.1	1.6	5/24/2011	
RO002-6	9	5.7	1.8	5/24/2011	
TR001-2	9	8.6	1.5	5/24/2011	
US020-6	6	6.9	1.3	5/24/2011	
US014-7	7	5.2	1.2	5/24/2011	EATEN
TR004-2	6	3.2	1.3	5/24/2011	
US002-1	9	5.4	1.5	5/24/2011	
UA003-4	4	2.2	0.7	5/24/2011	
CA009-3	19	6.6	1.9	5/24/2011	
UA006-8	10	9.2	2	5/24/2011	
US026-2	8	7.6	1.6	5/24/2011	
RO001-2	6	6	1.3	5/24/2011	
UA007-6	7	7	1.9	5/24/2011	
