Pop	Row	Column	Trt	Mom	Origin	tagged	color	Bolt.date	BoltedatH	MaxBoltHtH	Min.Rose.diamH	Rose.AreaH.m2	CrownDiam.mm	Shoot.mass.gH	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4	time	m.date	lfl	lfw	lfc	rd	Harvest.date
24	BG001	15	D	drought	5	nat	US018-5	black	NA	No	NA	44	0.16241555	26.4	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	21	4	NA	47	117
25	BG001	15	H	drought	25	nat	US018-4	black	NA	No	NA	47	0.184563125	30.8	62	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	25	5	NA	50	117
26	BG001	15	H	drought	25	nat	US018-4	black	NA	No	NA	47	0.184563125	30.8	62	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	17.4	5.1	24	34.9	117
27	BG001	15	H	drought	25	nat	US018-4	black	NA	No	NA	47	0.184563125	30.8	62	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	7.2	2.1	8	NA	117
28	BG001	15	N	drought	5	nat	BG001-2	black	NA	No	NA	48	0.1922598	24.4	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	27	4.5	NA	51	117
29	BG001	15	N	drought	5	nat	BG001-2	black	NA	No	NA	48	0.1922598	24.4	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	5.4	1.5	8	NA	117
30	BG001	15	N	drought	5	nat	BG001-2	black	NA	No	NA	48	0.1922598	24.4	40	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	10	3.4	38	21.3	117
31	BG001	16	G	drought	5	nat	US018-3	black	NA	No	NA	35	0.096208438	19.8	26	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	20	4.5	NA	35	117
32	BG001	16	G	drought	5	nat	US018-3	black	NA	No	NA	35	0.096208438	19.8	26	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	4.5	1	8	NA	117
33	BG001	16	G	drought	5	nat	US018-3	black	NA	No	NA	35	0.096208438	19.8	26	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	12.2	4.2	13	24.8	117
